Triênio,Curso
2020-2022,Campus UnB — Ceilândia / DF
2020-2022,Enfermagem (Bacharelado)
2020-2022,Farmácia (Bacharelado)
2020-2022,Fisioterapia (Bacharelado)
2020-2022,Fonoaudiologia (Bacharelado)
2020-2022,Saúde Coletiva (Bacharelado)
2020-2022,Terapia Ocupacional (Bacharelado)
2020-2022,Campus UnB — Darcy Ribeiro (Plano Piloto) / DF
2020-2022,Administração (Bacharelado)
2020-2022,Administração (Bacharelado)
2020-2022,Agronomia (Bacharelado)
2020-2022,Arquitetura e Urbanismo (Bacharelado)
2020-2022,Arquitetura e Urbanismo (Bacharelado)
2020-2022,Arquivologia (Bacharelado)
2020-2022,Artes Cênicas - Interpretação Teatral (Bacharelado) *
2020-2022,Artes Visuais (Bacharelado)*
2020-2022,Artes Visuais (Licenciatura)*
2020-2022,Biblioteconomia (Bacharelado)
2020-2022,Biotecnologia (Bacharelado)
2020-2022,Ciência da Computação (Bacharelado)
2020-2022,Ciência Política (Bacharelado)
2020-2022,Ciências Ambientais (Bacharelado)
2020-2022,Ciências Biológicas (Bacharelado)
2020-2022,Ciências Contábeis (Bacharelado)
2020-2022,Ciências Contábeis (Bacharelado)
2020-2022,Ciências Econômicas (Bacharelado)
2020-2022,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura)
2020-2022,Computação (Licenciatura)
2020-2022,Comunicação Organizacional (Bacharelado)
2020-2022,Comunicação Social – Audiovisual (Bacharelado)
2020-2022,Comunicação Social - Publicidade e Propaganda (Bacharelado)
2020-2022,Design – Programação Visual/ Projeto do Produto (Bacharelado)
2020-2022,Direito (Bacharelado)
2020-2022,Direito (Bacharelado)
2020-2022,Educação Física (Bacharelado)
2020-2022,Educação Física (Licenciatura)
2020-2022,Enfermagem (Bacharelado)
2020-2022,Engenharia Ambiental (Bacharelado)
2020-2022,Engenharia Civil (Bacharelado)
2020-2022,Engenharia de Computação (Bacharelado)
2020-2022,Engenharia de Produção (Bacharelado)
2020-2022,Engenharia de Redes de Comunicação (Bacharelado)
2020-2022,Engenharia Elétrica (Bacharelado)
2020-2022,Engenharia Florestal (Bacharelado)
2020-2022,Engenharia Mecânica (Bacharelado)
2020-2022,Engenharia Mecatrônica – Controle e Automação (Bacharelado)
2020-2022,Engenharia Química (Bacharelado)
2020-2022,Estatística (Bacharelado)
2020-2022,Farmácia (Bacharelado)
2020-2022,Farmácia (Bacharelado)
2020-2022,Filosofia (Bacharelado/Licenciatura)
2020-2022,Filosofia (Licenciatura)
2020-2022,Física (Bacharelado)
2020-2022,Geofísica (Bacharelado)
2020-2022,Geografia (Bacharelado/Licenciatura)
2020-2022,Geologia (Bacharelado)
2020-2022,Gestão de Agronegócio (Bacharelado)
2020-2022,Gestão de Políticas Públicas (Bacharelado)
2020-2022,História (Bacharelado/Licenciatura)
2020-2022,História (Licenciatura)
2020-2022,Jornalismo (Bacharelado)
2020-2022,Letras – Português do Brasil como Segunda Língua (Licenciatura)
2020-2022,Letras – Tradução – Francês (Bacharelado)
2020-2022,Letras – Tradução – Inglês (Bacharelado)
2020-2022,Letras – Tradução Espanhol (Bacharelado)
2020-2022,Licenciatura em Artes Cênicas*
2020-2022,Licenciatura em Ciências Biológicas
2020-2022,Licenciatura em Física
2020-2022,Licenciatura em Matemática
2020-2022,Licenciatura em Química
2020-2022,Língua e Literatura Japonesa (Licenciatura)
2020-2022,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)
2020-2022,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)
2020-2022,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)
2020-2022,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)
2020-2022,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)
2020-2022,Língua Portuguesa e Respectiva Literatura (Licenciatura)
2020-2022,Matemática (Bacharelado/ Licenciatura)
2020-2022,Medicina (Bacharelado)
2020-2022,Medicina Veterinária (Bacharelado)
2020-2022,Museologia (Bacharelado)
2020-2022,Música (Bacharelado)*
2020-2022,Música (Licenciatura)*
2020-2022,Nutrição (Bacharelado)
2020-2022,Odontologia (Bacharelado)
2020-2022,Pedagogia (Licenciatura)
2020-2022,Pedagogia (Licenciatura)
2020-2022,Psicologia (Bacharelado / Licenciatura / Psicólogo)
2020-2022,Química (Bacharelado)
2020-2022,Química Tecnológica (Bacharelado)
2020-2022,Relações Internacionais (Bacharelado)
2020-2022,Saúde Coletiva (Bacharelado)
2020-2022,Serviço Social (Bacharelado)
2020-2022,Serviço Social (Bacharelado)
2020-2022,"Teoria, Crítica e História da Arte (Bacharelado)"
2020-2022,Turismo (Bacharelado)
2020-2022,Campus UnB — Gama / DF
2020-2022,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**
2020-2022,Campus UnB — Planaltina / DF
2020-2022,Ciências Naturais (Licenciatura)
2020-2022,Ciências Naturais (Licenciatura)
2020-2022,Gestão Ambiental (Bacharelado)
2020-2022,Gestão do Agronegócio (Bacharelado)
