id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,classe,velocidade_min,velocidade_max,consistencia,mudancas_direcao,coef_var_min,coef_var_max
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,150,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,Oscilante,-0.468,12.491,50.0,1,-7.792,-77.298
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,152,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Queda,,-36.602,100.0,0,,-126.7
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,153,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,Crescimento,52.212,40.123,100.0,0,-149.988,-152.776
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,154,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,,-14.779,50.0,2,,328.597
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,155,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,4.014,34.714,50.0,1,-11.242,-220.375
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,158,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,,-27.268,66.7,2,,175.923
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,159,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Oscilante,2.87,2.402,66.7,1,-27.228,-666.26
Ciências Econômicas (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,162,Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,11.686,,40.0,4,34.504,
Ciências Econômicas (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,163,Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,6.25,5.766,60.0,3,59.614,59.403
Ciências Econômicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,164,Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-9.231,-23.51,75.0,2,-75.141,386.381
Ciências Econômicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,166,Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Crescimento,10.532,32.293,100.0,0,-47.344,97.171
Ciências Econômicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,167,Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-8.276,-23.554,75.0,2,1870.602,87.943
Ciências Econômicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,169,Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,3.808,12.134,66.7,2,-27.333,69.058
Ciências Naturais (Licenciatura) | Planaltina | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,171,Ciências Naturais (Licenciatura),Planaltina,Diurno,AC,Oscilante,0.048,7.118,50.0,3,-7.221,-384.137
Ciências Naturais (Licenciatura) | Planaltina | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,172,Ciências Naturais (Licenciatura),Planaltina,Noturno,AC,Oscilante,12.319,14.797,50.0,1,-19.374,-144.551
Ciências Naturais (Licenciatura) | Planaltina | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,174,Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R1_PPI,Queda,-30.158,-30.158,100.0,0,-61.61,-61.61
Ciências Naturais (Licenciatura) | Planaltina | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,175,Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R2_PPI,Queda,1.582,-29.12,100.0,0,-2.995,-93.587
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,177,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,Oscilante,14.478,1.686,50.0,3,-204.03,15.923
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,178,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,Oscilante,-8.125,-13.769,50.0,2,-110.047,411.181
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,179,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-2.153,-5.788,66.7,2,-28.137,11457.633
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,181,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,6.142,-15.43,66.7,2,-34.606,-114.814
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,182,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-1.04,9.011,66.7,1,-25.059,70.047
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,185,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,1.492,7.658,66.7,2,-15.126,288.421
Computação (Licenciatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,187,Computação (Licenciatura),Darcy Ribeiro,Noturno,AC,Oscilante,14.831,-3.568,60.0,3,-95.655,109.336
Computação (Licenciatura) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,188,Computação (Licenciatura),Darcy Ribeiro,Noturno,CN,Oscilante,-6.822,-6.822,66.7,2,-300.76,-300.76
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,190,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,Oscilante,-14.033,-14.033,66.7,1,-206.663,-239.538
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,191,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,-7.376,-8.701,66.7,2,-44.688,-192.417
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,194,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,Crescimento,-34.115,34.002,100.0,0,-35.325,-88.638
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,195,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,AC,Oscilante,13.867,1.006,60.0,4,-103.248,71.196
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,196,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,CN,Oscilante,9.291,-2.316,50.0,3,-177.55,-305.527
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,197,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,-10.691,-10.691,66.7,2,-33.678,-33.085
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,199,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Crescimento,29.964,8.831,100.0,0,-34.4,-32.851
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,201,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,2.818,,40.0,3,25.232,
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,202,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,1.052,-1.677,60.0,3,121.428,115.78
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,203,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,26.259,8.847,66.7,2,-316.467,1075.163
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,205,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Queda,10.734,-10.144,100.0,0,-116.829,124.231
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,206,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-3.133,0.5,50.0,1,295.597,149.186
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,208,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,-16.115,-27.776,66.7,1,-192.351,722.813
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,210,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,4.288,,40.0,3,26.448,
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,211,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,-1.303,-1.303,60.0,3,-465.019,-465.019
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,212,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Queda,-41.786,-18.412,100.0,0,-223.267,-841.58
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,213,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,11.544,-12.065,50.0,1,-39.785,-169.214
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,214,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-2.761,-2.423,50.0,3,-102.878,117.415
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,216,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,-18.325,-38.625,50.0,1,-52.293,-896.756
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,219,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,1.531,-3.043,60.0,3,14.866,18.361
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,220,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,-0.699,-5.815,60.0,3,609.43,406.111
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,221,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-12.582,-15.912,75.0,2,-225.141,-270.456
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,223,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,8.652,4.074,66.7,1,-43.831,-76.482
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,225,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,-9.701,-9.739,75.0,1,-242.815,819.293
Direito (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,227,Direito (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,8.916,6.493,50.0,2,12.389,16.001
Direito (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,228,Direito (Bacharelado),Darcy Ribeiro,Noturno,AC,Oscilante,9.582,,40.0,4,21.31,
Direito (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,229,Direito (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,3.509,0.571,60.0,3,22.765,18.0
Direito (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,230,Direito (Bacharelado),Darcy Ribeiro,Noturno,CN,Oscilante,5.201,0.875,60.0,3,36.185,30.789
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,231,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-8.33,-14.15,50.0,2,57.714,43.516
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,232,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,Oscilante,1.79,-5.434,75.0,1,1692.457,134.787
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,236,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,-2.181,-19.72,50.0,2,-566.572,72.242
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,237,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,Oscilante,7.118,-3.858,66.7,1,-110.203,92.206
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,241,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,20.577,-9.934,66.7,2,44.586,14.477
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,242,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,3.593,-0.394,50.0,2,43.738,19.819
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,246,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,0.717,-0.831,75.0,1,45.248,42.619
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,247,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Oscilante,-10.976,-17.072,50.0,1,-2991.754,117.093
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,250,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,AC,Crescimento,16.284,11.276,100.0,0,3541.599,28.55
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,251,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,15.616,1.7,66.7,1,329.631,103.57
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,252,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-3.295,18.124,66.7,1,-40.671,-939.884
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,253,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,-12.632,12.088,66.7,2,-42.306,-120.602
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,254,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,31.319,2.902,66.7,1,-178.603,99.203
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,255,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,23.112,-1.985,66.7,1,-62.939,264.03
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,256,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,AC,Oscilante,16.96,9.564,66.7,2,-92.24,56.611
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,257,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,CN,Oscilante,13.571,7.636,66.7,1,-345.296,-1610.85
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,258,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-2.459,-1.614,66.7,2,-36.684,-76.921
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,259,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,16.413,-1.347,66.7,1,-31.716,-11.133
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,260,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,18.141,-5.249,66.7,2,-86.793,-271.055
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,261,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,6.266,-19.171,66.7,1,-46.397,-197.912
Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,262,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,Crescimento,28.661,51.588,100.0,0,-159.308,297.006
Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,263,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,Crescimento,15.27,34.335,100.0,0,-40.055,-147.013
Enfermagem (Bacharelado) | Ceilândia | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,268,Enfermagem (Bacharelado),Ceilândia,Diurno,AC,Oscilante,3.769,4.388,60.0,2,62.184,44.454
Enfermagem (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,269,Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,9.42,,40.0,4,52.789,
Enfermagem (Bacharelado) | Ceilândia | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,270,Enfermagem (Bacharelado),Ceilândia,Diurno,CN,Oscilante,3.337,1.094,60.0,2,387.761,311.91
Enfermagem (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,271,Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,1.776,-4.241,60.0,3,58.164,63.632
Enfermagem (Bacharelado) | Ceilândia | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,272,Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,Oscilante,-8.373,-11.086,75.0,1,-219.7,186.865
Enfermagem (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,273,Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,4.165,-2.821,50.0,3,1588.06,70.237
Enfermagem (Bacharelado) | Ceilândia | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,276,Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,Oscilante,4.819,-10.727,66.7,1,-75.988,131.27
Enfermagem (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,277,Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,17.08,-1.29,66.7,1,-299.1,38.733
Enfermagem (Bacharelado) | Ceilândia | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,278,Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,Oscilante,-7.095,-11.349,50.0,3,220.12,87.822
Enfermagem (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,279,Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,4.639,0.506,50.0,1,141.309,61.501
Enfermagem (Bacharelado) | Ceilândia | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,283,Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,Oscilante,-14.242,-12.697,50.0,2,-100.164,-445.633
Enfermagem (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,284,Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,-8.149,-12.654,50.0,3,-224.485,155.088
Engenharia Ambiental (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,287,Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,-1.254,5.186,50.0,1,-285.665,66.045
Engenharia Ambiental (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,288,Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,-41.27,-41.27,66.7,2,238.903,238.903
Engenharia Ambiental (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,289,Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-18.836,-18.836,50.0,1,-4344.623,-4344.623
Engenharia Ambiental (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,291,Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-21.638,5.364,50.0,1,-56.663,223.823
Engenharia Ambiental (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,293,Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Crescimento,52.071,44.539,100.0,0,-775.109,115.679
Engenharia Civil (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,294,Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,16.348,,40.0,3,112.978,
Engenharia Civil (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,295,Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,-7.98,-14.926,60.0,3,199.438,193.057
Engenharia Civil (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,296,Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Crescimento,-4.351,19.309,100.0,0,-29.402,153.301
