id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,classe,velocidade_min,velocidade_max,consistencia,mudancas_direcao,coef_var_min,coef_var_max
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,30,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Crescimento,19.863,36.448,100.0,0,-615.796,201.203
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,31,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,Oscilante,22.619,-12.623,50.0,1,-110.094,-3179.216
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,33,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,7.082,1.541,66.7,1,-150.156,42.621
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,34,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,Oscilante,13.172,4.262,50.0,1,-83.201,-60.55
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,35,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-14.289,-8.653,50.0,1,123.259,67.149
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,36,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,-6.072,8.55,66.7,2,-43.607,135.25
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,39,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,7.835,-0.581,66.7,1,-890.733,61.926
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,40,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Oscilante,-7.335,-7.335,66.7,1,-86.082,-80.25
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,42,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,Oscilante,-2.891,13.044,75.0,2,-22.257,288.073
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,43,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN,Oscilante,40.724,40.724,50.0,1,-106.442,-106.442
