Subprograma,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima,trienio,ano_inicial,ano_final,indice_trienio,curso_campus,curso_turno,curso_modalidade,curso_campus_turno,curso_modalidade_campus,curso_modalidade_turno
2018-2020,2020,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-79.622,13.422,2018-2020,2018,2020,1,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R1_PPI,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R1_PPI | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-58.842,12.31,2018-2020,2018,2020,1,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R1_NPPI,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R1_NPPI | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-62.078,-12.864,2018-2020,2018,2020,1,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R2_PPI,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R2_PPI | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-34.495,6.009,2018-2020,2018,2020,1,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R2_NPPI,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R2_NPPI | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,CN,CN,False,,NEGROS,False,,-2.423,22.985,2018-2020,2018,2020,1,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | CN,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | CN | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,AC,AC,False,,,False,,-73.444,63.097,2018-2020,2018,2020,1,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | AC,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Darcy Ribeiro | Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | AC | Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Computação (Licenciatura),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,36.577,36.577,2018-2020,2018,2020,1,Computação (Licenciatura) | Darcy Ribeiro,Computação (Licenciatura) | Noturno,Computação (Licenciatura) | EP_R1_PPI,Computação (Licenciatura) | Darcy Ribeiro | Noturno,Computação (Licenciatura) | EP_R1_PPI | Darcy Ribeiro,Computação (Licenciatura) | EP_R1_PPI | Noturno
2018-2020,2020,Darcy Ribeiro,Computação (Licenciatura),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-28.675,14.464,2018-2020,2018,2020,1,Computação (Licenciatura) | Darcy Ribeiro,Computação (Licenciatura) | Noturno,Computação (Licenciatura) | EP_R2_NPPI,Computação (Licenciatura) | Darcy Ribeiro | Noturno,Computação (Licenciatura) | EP_R2_NPPI | Darcy Ribeiro,Computação (Licenciatura) | EP_R2_NPPI | Noturno
2018-2020,2020,Darcy Ribeiro,Computação (Licenciatura),Noturno,AC,AC,False,,,False,,-96.333,63.42,2018-2020,2018,2020,1,Computação (Licenciatura) | Darcy Ribeiro,Computação (Licenciatura) | Noturno,Computação (Licenciatura) | AC,Computação (Licenciatura) | Darcy Ribeiro | Noturno,Computação (Licenciatura) | AC | Darcy Ribeiro,Computação (Licenciatura) | AC | Noturno
2018-2020,2020,Darcy Ribeiro,Comunicação Organizacional (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-24.715,-24.715,2018-2020,2018,2020,1,Comunicação Organizacional (Bacharelado) | Darcy Ribeiro,Comunicação Organizacional (Bacharelado) | Noturno,Comunicação Organizacional (Bacharelado) | EP_R2_NPPI,Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno,Comunicação Organizacional (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Comunicação Organizacional (Bacharelado) | EP_R2_NPPI | Noturno
2018-2020,2020,Darcy Ribeiro,Comunicação Organizacional (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-41.513,4.914,2018-2020,2018,2020,1,Comunicação Organizacional (Bacharelado) | Darcy Ribeiro,Comunicação Organizacional (Bacharelado) | Noturno,Comunicação Organizacional (Bacharelado) | CN,Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno,Comunicação Organizacional (Bacharelado) | CN | Darcy Ribeiro,Comunicação Organizacional (Bacharelado) | CN | Noturno
2018-2020,2020,Darcy Ribeiro,Comunicação Organizacional (Bacharelado),Noturno,AC,AC,False,,,False,,-60.884,61.325,2018-2020,2018,2020,1,Comunicação Organizacional (Bacharelado) | Darcy Ribeiro,Comunicação Organizacional (Bacharelado) | Noturno,Comunicação Organizacional (Bacharelado) | AC,Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno,Comunicação Organizacional (Bacharelado) | AC | Darcy Ribeiro,Comunicação Organizacional (Bacharelado) | AC | Noturno
2018-2020,2020,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-43.64,29.027,2018-2020,2018,2020,1,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R1_PPI,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-49.871,2.367,2018-2020,2018,2020,1,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R1_NPPI,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-26.233,8.751,2018-2020,2018,2020,1,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R2_PPI,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-27.135,-14.554,2018-2020,2018,2020,1,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R2_NPPI,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,39.163,52.808,2018-2020,2018,2020,1,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | CN,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | CN | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,AC,AC,False,,,False,,42.875,95.093,2018-2020,2018,2020,1,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | AC,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | AC | Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-40.091,9.785,2018-2020,2018,2020,1,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | Diurno,Comunicação Social – Audiovisual (Bacharelado) | EP_R1_PPI,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social – Audiovisual (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-27.235,13.364,2018-2020,2018,2020,1,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | Diurno,Comunicação Social – Audiovisual (Bacharelado) | EP_R2_PPI,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social – Audiovisual (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-30.985,9.153,2018-2020,2018,2020,1,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | Diurno,Comunicação Social – Audiovisual (Bacharelado) | EP_R2_NPPI,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social – Audiovisual (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-49.161,-49.161,2018-2020,2018,2020,1,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | Diurno,Comunicação Social – Audiovisual (Bacharelado) | CN,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social – Audiovisual (Bacharelado) | CN | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,AC,AC,False,,,False,,47.993,110.494,2018-2020,2018,2020,1,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | Diurno,Comunicação Social – Audiovisual (Bacharelado) | AC,Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno,Comunicação Social – Audiovisual (Bacharelado) | AC | Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-36.333,-11.018,2018-2020,2018,2020,1,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R1_PPI,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-13.605,-0.286,2018-2020,2018,2020,1,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R1_NPPI,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-22.489,9.31,2018-2020,2018,2020,1,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R2_PPI,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,6.632,32.212,2018-2020,2018,2020,1,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | CN,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | CN | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,AC,AC,False,,,False,,79.753,125.943,2018-2020,2018,2020,1,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | AC,Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno,Design – Programação Visual/Projeto do Produto (Bacharelado) | AC | Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-16.819,65.641,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | EP_R1_PPI,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R1_PPI_PCD,EP_R1_PPI_PCD,True,R1,PPI,True,1.5,-15.077,-15.077,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | EP_R1_PPI_PCD,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | EP_R1_PPI_PCD | Darcy Ribeiro,Direito (Bacharelado) | EP_R1_PPI_PCD | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,35.037,69.129,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | EP_R1_NPPI,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,16.331,49.195,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | EP_R2_PPI,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,26.201,124.283,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | EP_R2_NPPI,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,67.814,109.896,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | CN,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | CN | Darcy Ribeiro,Direito (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Diurno,AC,AC,False,,,False,,101.827,146.068,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Diurno,Direito (Bacharelado) | AC,Direito (Bacharelado) | Darcy Ribeiro | Diurno,Direito (Bacharelado) | AC | Darcy Ribeiro,Direito (Bacharelado) | AC | Diurno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-26.837,12.579,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Noturno,Direito (Bacharelado) | EP_R1_PPI,Direito (Bacharelado) | Darcy Ribeiro | Noturno,Direito (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R1_PPI | Noturno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-30.887,1.416,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Noturno,Direito (Bacharelado) | EP_R1_NPPI,Direito (Bacharelado) | Darcy Ribeiro | Noturno,Direito (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R1_NPPI | Noturno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-10.395,45.688,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Noturno,Direito (Bacharelado) | EP_R2_PPI,Direito (Bacharelado) | Darcy Ribeiro | Noturno,Direito (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R2_PPI | Noturno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,20.26,66.642,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Noturno,Direito (Bacharelado) | EP_R2_NPPI,Direito (Bacharelado) | Darcy Ribeiro | Noturno,Direito (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Direito (Bacharelado) | EP_R2_NPPI | Noturno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,54.94,84.963,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Noturno,Direito (Bacharelado) | CN,Direito (Bacharelado) | Darcy Ribeiro | Noturno,Direito (Bacharelado) | CN | Darcy Ribeiro,Direito (Bacharelado) | CN | Noturno
2018-2020,2020,Darcy Ribeiro,Direito (Bacharelado),Noturno,AC,AC,False,,,False,,56.835,124.602,2018-2020,2018,2020,1,Direito (Bacharelado) | Darcy Ribeiro,Direito (Bacharelado) | Noturno,Direito (Bacharelado) | AC,Direito (Bacharelado) | Darcy Ribeiro | Noturno,Direito (Bacharelado) | AC | Darcy Ribeiro,Direito (Bacharelado) | AC | Noturno
2018-2020,2020,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-25.052,-25.052,2018-2020,2018,2020,1,Educação Física (Bacharelado) | Darcy Ribeiro,Educação Física (Bacharelado) | Diurno,Educação Física (Bacharelado) | EP_R1_PPI,Educação Física (Bacharelado) | Darcy Ribeiro | Diurno,Educação Física (Bacharelado) | EP_R1_PPI | Darcy Ribeiro,Educação Física (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-22.536,-22.536,2018-2020,2018,2020,1,Educação Física (Bacharelado) | Darcy Ribeiro,Educação Física (Bacharelado) | Diurno,Educação Física (Bacharelado) | EP_R1_NPPI,Educação Física (Bacharelado) | Darcy Ribeiro | Diurno,Educação Física (Bacharelado) | EP_R1_NPPI | Darcy Ribeiro,Educação Física (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-94.317,2.411,2018-2020,2018,2020,1,Educação Física (Bacharelado) | Darcy Ribeiro,Educação Física (Bacharelado) | Diurno,Educação Física (Bacharelado) | EP_R2_PPI,Educação Física (Bacharelado) | Darcy Ribeiro | Diurno,Educação Física (Bacharelado) | EP_R2_PPI | Darcy Ribeiro,Educação Física (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-84.571,3.39,2018-2020,2018,2020,1,Educação Física (Bacharelado) | Darcy Ribeiro,Educação Física (Bacharelado) | Diurno,Educação Física (Bacharelado) | EP_R2_NPPI,Educação Física (Bacharelado) | Darcy Ribeiro | Diurno,Educação Física (Bacharelado) | EP_R2_NPPI | Darcy Ribeiro,Educação Física (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-14.695,27.052,2018-2020,2018,2020,1,Educação Física (Bacharelado) | Darcy Ribeiro,Educação Física (Bacharelado) | Diurno,Educação Física (Bacharelado) | CN,Educação Física (Bacharelado) | Darcy Ribeiro | Diurno,Educação Física (Bacharelado) | CN | Darcy Ribeiro,Educação Física (Bacharelado) | CN | Diurno
2018-2020,2020,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,AC,AC,False,,,False,,-33.049,44.232,2018-2020,2018,2020,1,Educação Física (Bacharelado) | Darcy Ribeiro,Educação Física (Bacharelado) | Diurno,Educação Física (Bacharelado) | AC,Educação Física (Bacharelado) | Darcy Ribeiro | Diurno,Educação Física (Bacharelado) | AC | Darcy Ribeiro,Educação Física (Bacharelado) | AC | Diurno
