Subprograma,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima,trienio,ano_inicial,ano_final,indice_trienio,curso_campus,curso_turno,curso_modalidade,curso_campus_turno,curso_modalidade_campus,curso_modalidade_turno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-16.495,13.421,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R1_PPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R1_PPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-31.032,13.229,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R1_NPPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R1_NPPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-26.611,40.374,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R2_PPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R2_PPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-1.995,27.517,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | EP_R2_NPPI,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | EP_R2_NPPI | Ceilândia,Fisioterapia (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,10.489,34.882,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | CN,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | CN | Ceilândia,Fisioterapia (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,AC,AC,False,,,False,,5.582,54.666,2018-2020,2018,2020,1,Fisioterapia (Bacharelado) | Ceilândia,Fisioterapia (Bacharelado) | Diurno,Fisioterapia (Bacharelado) | AC,Fisioterapia (Bacharelado) | Ceilândia | Diurno,Fisioterapia (Bacharelado) | AC | Ceilândia,Fisioterapia (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-5.802,-5.802,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_PPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_PPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-33.514,0.916,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_NPPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R1_NPPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-40.393,-16.378,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_PPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_PPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-75.822,6.478,2018-2020,2018,2020,1,Fonoaudiologia (Bacharelado) | Ceilândia,Fonoaudiologia (Bacharelado) | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_NPPI,Fonoaudiologia (Bacharelado) | Ceilândia | Diurno,Fonoaudiologia (Bacharelado) | EP_R2_NPPI | Ceilândia,Fonoaudiologia (Bacharelado) | EP_R2_NPPI | Diurno
