id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,delta_min,delta_max,delta_min_pct,delta_max_pct,velocidade_min,velocidade_max,media_min,media_max,desvio_min,desvio_max,coef_var_min,coef_var_max,amplitude_media,amplitude_min,amplitude_max
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,17,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-82.562,-5.377,39.359,112.172,77.185,72.813,-93.487,184.997,15.437,14.563,-34.375,56.917,42.405,59.647,-123.361,104.798,91.291,45.7,121.921
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,18,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,-56.023,-22.112,-9.606,-14.127,33.911,-4.521,-60.53,47.064,8.478,-1.13,-50.545,-9.118,32.126,36.998,-63.56,-405.773,41.427,7.985,119.122
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,19,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,-64.547,-28.599,-64.547,19.269,35.948,83.816,-55.693,-129.853,17.974,41.908,-47.828,-3.813,18.105,53.1,-37.854,-1392.717,44.015,0.0,84.177
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,20,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-56.39,-56.39,-56.39,-56.39,0.0,0.0,-0.0,-0.0,,,-56.39,-56.39,,,,,0.0,0.0,0.0
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,21,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-73.408,-64.647,-29.038,-16.992,8.761,12.046,-11.935,-41.484,2.92,4.015,-70.283,-40.531,9.913,28.968,-14.105,-71.472,29.752,0.0,47.655
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,22,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-58.889,-35.875,21.927,1.054,23.014,-20.873,-39.08,-95.193,7.671,-6.958,-58.995,21.669,25.235,15.443,-42.775,71.267,80.664,36.929,119.523
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,23,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-58.036,-58.036,-13.042,-13.042,0.0,0.0,-0.0,-0.0,,,-58.036,-13.042,,,,,44.994,44.994,44.994
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,24,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-67.906,-61.917,-36.5,-4.933,5.989,31.567,-8.82,-86.485,1.996,10.522,-72.736,,9.394,,-12.915,,,,
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,25,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-62.778,-62.778,-36.2,-36.2,0.0,0.0,-0.0,-0.0,,,-62.778,-36.2,,,,,26.578,26.578,26.578
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,26,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,65.986,98.047,111.643,146.303,32.061,34.66,48.588,31.045,6.412,6.932,79.586,,13.352,,16.777,,,,
