id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,delta_min,delta_max,delta_min_pct,delta_max_pct,velocidade_min,velocidade_max,media_min,media_max,desvio_min,desvio_max,coef_var_min,coef_var_max,amplitude_media,amplitude_min,amplitude_max
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,190,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,4,36.577,-5.522,36.577,-5.522,-42.099,-42.099,-115.097,-115.097,-14.033,-14.033,-24.848,-20.584,51.351,49.305,-206.663,-239.538,4.264,0.0,17.056
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,191,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-28.675,-50.802,14.464,-11.64,-22.127,-26.104,77.165,-180.476,-7.376,-8.701,-39.236,-14.758,17.534,28.397,-44.688,-192.417,24.478,3.474,43.139
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,192,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-44.036,-44.036,-4.601,-4.601,0.0,0.0,-0.0,-0.0,,,-44.036,-4.601,,,,,39.435,39.435,39.435
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_NPPI_PCD | EP=True | R=R2 | GE=NPPI | PCD=True | SM=1.5,193,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI_PCD,1,18.874,18.874,18.874,18.874,0.0,0.0,0.0,0.0,,,18.874,18.874,,,,,0.0,0.0,0.0
Computação (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,194,Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-51.231,-85.346,-44.126,-10.124,-34.115,34.002,66.591,-77.057,-34.115,34.002,-68.288,-27.125,24.123,24.043,-35.325,-88.638,41.164,7.105,75.222
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,195,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-60.884,8.45,61.325,66.357,69.334,5.032,-113.879,8.205,13.867,1.006,-36.423,45.332,37.605,32.275,-103.248,71.196,81.755,57.907,122.209
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,196,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,CN,5,-41.513,-4.348,4.914,-4.348,37.165,-9.262,-89.526,-188.482,9.291,-2.316,-21.931,-12.646,38.939,38.636,-177.55,-305.527,9.285,0.0,46.427
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,197,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-24.715,-56.789,-24.715,-56.789,-32.074,-32.074,129.775,129.775,-10.691,-10.691,-41.926,-40.841,14.119,13.512,-33.678,-33.085,1.085,0.0,4.34
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,198,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-83.245,-83.245,15.877,15.877,0.0,0.0,-0.0,0.0,,,-83.245,15.877,,,,,99.122,99.122,99.122
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,199,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-76.574,-46.61,-23.424,-14.593,29.964,8.831,-39.131,-37.701,29.964,8.831,-61.592,-19.008,21.188,6.244,-34.4,-32.851,42.584,32.017,53.15
Comunicação Organizacional (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,200,Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1,-49.545,-49.545,-18.438,-18.438,0.0,0.0,-0.0,-0.0,,,-49.545,-18.438,,,,,31.107,31.107,31.107
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,201,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,6,42.875,56.963,95.093,86.414,14.088,-8.679,32.858,-9.127,2.818,-1.736,58.324,,14.716,,25.232,,,,
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,202,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,CN,6,39.163,44.425,52.808,44.425,5.262,-8.383,13.436,-15.874,1.052,-1.677,33.941,36.215,41.214,41.93,121.428,115.78,2.274,0.0,13.645
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,203,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-49.871,28.907,2.367,28.907,78.778,26.54,-157.964,1121.251,26.259,8.847,-10.932,2.127,34.597,22.871,-316.467,1075.163,13.06,0.0,52.238
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,204,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-29.329,-29.329,-29.329,-29.329,0.0,0.0,-0.0,-0.0,,,-29.329,-29.329,,,,,0.0,0.0,0.0
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,205,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-43.64,-11.438,29.027,-1.404,32.202,-30.431,-73.79,-104.837,10.734,-10.144,-16.369,13.048,19.124,16.21,-116.829,124.231,29.417,10.034,72.667
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,206,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-27.135,-39.668,-14.554,-12.554,-12.533,2.0,46.188,-13.742,-3.133,0.5,16.704,26.389,49.376,39.369,295.597,149.186,9.685,0.0,27.114
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,207,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,50.59,50.59,50.59,50.59,0.0,0.0,0.0,0.0,,,50.59,50.59,,,,,0.0,0.0,0.0
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,208,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-26.233,-74.578,8.751,-74.578,-48.345,-83.329,184.291,-952.223,-16.115,-27.776,-20.72,8.109,39.855,58.611,-192.351,722.813,28.829,0.0,41.339
Comunicação Social - Publicidade e Propaganda (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,209,Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-41.458,-41.458,-16.426,-16.426,0.0,0.0,-0.0,-0.0,,,-41.458,-16.426,,,,,25.032,25.032,25.032
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,210,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,6,47.993,69.433,110.494,134.182,21.44,23.688,44.673,21.438,4.288,4.738,62.082,,16.42,,26.448,,,,
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,211,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,CN,6,-49.161,-55.674,-49.161,-55.674,-6.513,-6.513,13.248,13.248,-1.303,-1.303,-8.319,-8.319,38.686,38.686,-465.019,-465.019,0.0,0.0,0.0
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,212,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,7.659,-34.127,7.659,-10.753,-41.786,-18.412,-545.58,-240.397,-41.786,-18.412,-13.234,-1.547,29.547,13.019,-223.267,-841.58,11.687,0.0,23.374
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,213,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-40.091,-17.004,9.785,-14.344,23.087,-24.129,-57.586,-246.592,11.544,-12.064,-31.153,-13.641,12.394,23.083,-39.785,-169.214,17.512,0.0,49.876
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,214,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-30.985,-42.029,9.153,-0.538,-11.044,-9.691,35.643,-105.878,-2.761,-2.423,-18.187,26.977,18.71,31.675,-102.878,117.415,45.164,2.205,90.037
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,215,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,41.977,41.977,41.977,41.977,0.0,0.0,0.0,0.0,,,41.977,41.977,,,,,0.0,0.0,0.0
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,216,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,-27.235,-63.885,13.364,-63.885,-36.65,-77.249,134.569,-578.038,-18.325,-38.624,-39.839,-5.726,20.833,51.348,-52.293,-896.756,34.113,0.0,61.739
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,217,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-32.295,-32.295,26.778,26.778,0.0,0.0,-0.0,0.0,,,-32.295,26.778,,,,,59.073,59.073,59.073
Comunicação Social – Audiovisual (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI_PCD | EP=True | R=R2 | GE=PPI | PCD=True | SM=1.5,218,Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD,1,-6.39,-6.39,-6.39,-6.39,0.0,0.0,-0.0,-0.0,,,-6.39,-6.39,,,,,0.0,0.0,0.0
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,219,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,6,79.753,87.407,125.943,110.73,7.654,-15.213,9.597,-12.079,1.531,-3.043,75.548,103.319,11.231,18.97,14.866,18.361,27.771,14.346,46.19
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,220,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,CN,6,6.632,3.136,32.212,3.136,-3.496,-29.076,-52.714,-90.264,-0.699,-5.815,8.046,12.309,49.034,49.989,609.43,406.111,4.263,0.0,25.58
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,221,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,-13.605,-63.935,-0.286,-63.935,-50.33,-63.649,369.938,22254.895,-12.582,-15.912,-17.612,-14.948,39.651,40.427,-225.141,-270.456,2.664,0.0,13.319
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,222,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-55.242,-55.242,-7.149,-7.149,0.0,0.0,-0.0,-0.0,,,-55.242,-7.149,,,,,48.093,48.093,48.093
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,223,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-36.333,-10.378,-11.018,1.203,25.955,12.221,-71.436,-110.918,8.652,4.074,-25.661,-8.35,11.247,6.386,-43.831,-76.482,17.311,11.581,25.315
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,224,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,26.07,26.07,26.07,26.07,0.0,0.0,0.0,0.0,,,26.07,26.07,,,,,0.0,0.0,0.0
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,225,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,-22.489,-61.294,9.31,-29.644,-38.805,-38.954,172.551,-418.41,-9.701,-9.738,-16.512,3.87,40.095,31.708,-242.815,819.293,20.383,0.0,31.799
Design – Programação Visual/Projeto do Produto (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,226,Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-44.318,-44.318,-44.259,-44.259,0.0,0.0,-0.0,-0.0,,,-44.318,-44.259,,,,,0.059,0.059,0.059
Direito (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,227,Direito (Bacharelado),Darcy Ribeiro,Diurno,AC,5,101.827,137.491,146.068,172.039,35.664,25.971,35.024,17.78,8.916,6.493,119.53,157.236,14.809,25.159,12.389,16.001,37.706,9.923,52.815
Direito (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,228,Direito (Bacharelado),Darcy Ribeiro,Noturno,AC,6,56.835,104.746,124.602,126.174,47.911,1.572,84.298,1.262,9.582,0.314,83.782,,17.854,,21.31,,,,
Direito (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,229,Direito (Bacharelado),Darcy Ribeiro,Diurno,CN,6,67.814,85.357,109.896,112.75,17.543,2.854,25.869,2.597,3.509,0.571,74.683,103.064,17.002,18.552,22.765,18.0,28.381,14.196,42.082
Direito (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,230,Direito (Bacharelado),Darcy Ribeiro,Noturno,CN,6,54.94,80.945,84.963,89.34,26.005,4.377,47.333,5.152,5.201,0.875,53.291,79.724,19.283,24.546,36.185,30.789,26.434,0.512,57.199
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,231,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,35.037,1.715,69.129,12.53,-33.322,-56.599,-95.105,-81.874,-8.33,-14.15,27.642,49.455,15.954,21.521,57.714,43.516,21.813,10.815,34.092
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,232,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,5,-30.887,-23.726,1.416,-20.32,7.161,-21.736,-23.185,-1535.028,1.79,-5.434,1.598,33.788,27.042,45.542,1692.457,134.787,32.19,3.406,69.508
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,233,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,14.584,14.584,66.246,66.246,0.0,0.0,0.0,0.0,,,14.584,66.246,,,,,51.662,51.662,51.662
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,234,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ,1,-26.945,-26.945,36.277,36.277,0.0,0.0,-0.0,0.0,,,-26.945,36.277,,,,,63.222,63.222,63.222
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI_PCD | EP=True | R=R1 | GE=NPPI | PCD=True | SM=1.5,235,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD,1,-22.954,-22.954,-22.954,-22.954,0.0,0.0,-0.0,-0.0,,,-22.954,-22.954,,,,,0.0,0.0,0.0
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,236,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5,-16.819,-25.544,65.641,-13.238,-8.725,-78.879,51.876,-120.167,-2.181,-19.72,-3.18,48.397,18.017,34.963,-566.572,72.242,51.577,12.306,82.46
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,237,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4,-26.837,-5.484,12.579,1.005,21.353,-11.574,-79.566,-92.01,7.118,-3.858,-11.526,18.857,12.702,17.387,-110.203,92.206,30.384,6.489,39.942
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPIQ | EP=True | R=R1 | GE=PPIQ | PCD=False | SM=1.0,238,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1,-87.773,-87.773,5.701,5.701,0.0,0.0,-0.0,0.0,,,-87.773,5.701,,,,,93.474,93.474,93.474
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPIQ | EP=True | R=R1 | GE=PPIQ | PCD=False | SM=1.0,239,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPIQ,1,-40.663,-40.663,-26.586,-26.586,0.0,0.0,-0.0,-0.0,,,-40.663,-26.586,,,,,14.077,14.077,14.077
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI_PCD | EP=True | R=R1 | GE=PPI | PCD=True | SM=1.5,240,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD,1,-15.077,-15.077,-15.077,-15.077,0.0,0.0,-0.0,-0.0,,,-15.077,-15.077,,,,,0.0,0.0,0.0
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,241,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,26.201,87.931,124.283,94.48,61.73,-29.803,235.602,-23.98,20.577,-9.934,77.338,116.418,34.482,16.854,44.586,14.477,39.08,6.549,98.082
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,242,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,5,20.26,34.633,66.642,65.065,14.373,-1.577,70.943,-2.366,3.593,-0.394,48.672,75.06,21.288,14.876,43.738,19.819,26.388,7.297,46.382
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,243,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,123.845,123.845,123.845,123.845,0.0,0.0,0.0,0.0,,,123.845,123.845,,,,,0.0,0.0,0.0
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,244,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,92.181,92.181,92.842,92.842,0.0,0.0,0.0,0.0,,,92.181,92.842,,,,,0.661,0.661,0.661
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ_PCD | EP=True | R=R2 | GE=NPPIQ | PCD=True | SM=1.0,245,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,27.527,27.527,27.527,27.527,0.0,0.0,0.0,0.0,,,27.527,27.527,,,,,0.0,0.0,0.0
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,246,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,16.331,19.197,49.195,45.871,2.866,-3.324,17.549,-6.757,0.716,-0.831,32.075,66.878,14.513,28.503,45.248,42.619,34.804,4.024,82.774
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,247,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,5,-10.395,-54.298,45.688,-22.6,-43.903,-68.288,422.347,-149.466,-10.976,-17.072,-1.249,36.922,37.361,43.233,-2991.754,117.093,38.171,19.909,56.083
Direito (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,248,Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,61.18,61.18,81.56,81.56,0.0,0.0,0.0,0.0,,,61.18,81.56,,,,,20.38,20.38,20.38
Direito (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,249,Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1,31.885,31.885,58.328,58.328,0.0,0.0,0.0,0.0,,,31.885,58.328,,,,,26.443,26.443,26.443
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,250,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,AC,4,-33.049,15.802,44.232,78.06,48.851,33.828,-147.814,76.479,16.284,11.276,0.64,55.282,22.666,15.783,3541.599,28.55,54.642,36.73,77.281
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,251,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,CN,4,-14.695,32.152,27.052,32.152,46.847,5.1,-318.796,18.853,15.616,1.7,6.536,16.973,21.545,17.579,329.631,103.57,10.437,0.0,41.747
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,252,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-22.536,-32.422,-22.536,31.837,-9.886,54.373,43.868,-241.272,-3.295,18.124,-34.362,-3.233,13.975,30.382,-40.671,-939.884,31.129,0.0,64.259
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,253,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-25.052,-62.949,-25.052,11.211,-37.897,36.263,151.273,-144.751,-12.632,12.088,-43.158,-14.608,18.258,17.617,-42.306,-120.602,28.55,0.0,74.16
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,254,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-84.571,9.385,3.39,12.097,93.956,8.707,-111.097,256.844,31.319,2.902,-24.54,18.05,43.83,17.906,-178.603,99.203,42.591,2.712,87.961
Educação Física (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,255,Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-94.317,-24.98,2.411,-3.544,69.337,-5.955,-73.515,-246.993,23.112,-1.985,-49.06,4.993,30.878,13.184,-62.939,264.03,54.053,21.436,96.728
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,256,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,AC,4,-64.096,-13.216,10.409,39.102,50.88,28.693,-79.381,275.656,16.96,9.564,-27.17,29.305,25.061,16.59,-92.24,56.611,56.475,31.096,74.505
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,257,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,CN,4,-20.627,20.087,-2.822,20.087,40.714,22.909,-197.382,-811.8,13.571,7.636,-5.435,-0.984,18.767,15.847,-345.296,-1610.85,4.451,0.0,17.805
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,258,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-43.227,-50.604,-20.021,-24.864,-7.377,-4.843,17.066,24.19,-2.459,-1.614,-60.013,-34.093,22.016,26.225,-36.684,-76.921,25.921,19.148,35.589
Educação Física (Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,259,Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-101.251,-52.013,-27.83,-31.87,49.238,-4.04,-48.63,14.517,16.413,-1.347,-70.712,-28.007,22.427,3.118,-31.716,-11.133,42.706,20.143,73.421
