id_oferta,id_oferta_num,curso,campus,turno,modalidade,observacoes_min,observacoes_max,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,media_historica_min,mediana_historica_min,minimo_historico_min,maximo_historico_min,amplitude_historica_min,desvio_historico_min,coef_var_min,consistencia_min,mudancas_min,volatilidade_min,media_historica_max,mediana_historica_max,minimo_historico_max,maximo_historico_max,amplitude_historica_max,desvio_historico_max,coef_var_max,consistencia_max,mudancas_max,volatilidade_max,persistencia_min,r2_persistencia_min,regressao_linear_min,r2_regressao_linear_min,regressao_ponderada_min,r2_regressao_ponderada_min,media_movel_min,r2_media_movel_min,persistencia_max,r2_persistencia_max,regressao_linear_max,r2_regressao_linear_max,regressao_ponderada_max,r2_regressao_ponderada_max,media_movel_max,r2_media_movel_max,ensemble_min,ensemble_mediana_min,ensemble_desvio_min,ensemble_amplitude_min,ensemble_n_modelos_min,ensemble_max,ensemble_mediana_max,ensemble_desvio_max,ensemble_amplitude_max,ensemble_n_modelos_max
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,12,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,1,-17.433,-17.433,18.394,18.394,-17.433,-17.433,-17.433,-17.433,0.0,0.0,0.0,100.0,0.0,0.0,18.394,18.394,18.394,18.394,0.0,0.0,0.0,100.0,0,0.0,-17.433,,,,,,-17.433,,18.394,,,,,,18.394,,-17.433,-17.433,0.0,0.0,2,18.394,18.394,0.0,0.0,2
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,13,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,1,-55.503,-55.503,-4.817,-4.817,-55.503,-55.503,-55.503,-55.503,0.0,0.0,0.0,100.0,0.0,0.0,-4.817,-4.817,-4.817,-4.817,0.0,0.0,0.0,100.0,0,0.0,-55.503,,,,,,-55.503,,-4.817,,,,,,-4.817,,-55.503,-55.503,0.0,0.0,2,-4.817,-4.817,0.0,0.0,2
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,14,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,4,-66.919,-51.29,-1.149,2.093,-41.334,-42.102,-66.919,-14.213,52.706,22.805,-55.171,66.667,1.0,37.412,4.658,1.368,-1.149,17.044,18.193,8.363,179.556,66.667,1,15.688,-51.29,,-24.937,0.138,-39.153,-0.056,-38.055,,2.093,,11.189,0.163,7.841,0.083,5.964,,-38.359,-38.604,10.772,26.353,4,6.772,6.903,3.795,9.096,4
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,15,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,3,-74.731,-84.174,-4.551,-84.174,-70.191,-74.731,-84.174,-51.667,32.507,16.722,-23.824,50.0,1.0,39.295,-31.612,-6.11,-84.174,-4.551,79.623,45.527,-144.02,100.0,0,54.097,-84.174,,-79.634,0.08,-88.896,-0.049,-71.764,,-84.174,,-111.235,0.765,-123.986,0.732,-44.882,,-81.117,-81.904,7.292,17.131,4,-91.069,-97.704,34.981,79.103,4
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,16,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,1,-25.422,-25.422,-3.245,-3.245,-25.422,-25.422,-25.422,-25.422,0.0,0.0,0.0,100.0,0.0,0.0,-3.245,-3.245,-3.245,-3.245,0.0,0.0,0.0,100.0,0,0.0,-25.422,,,,,,-25.422,,-3.245,,,,,,-3.245,,-25.422,-25.422,0.0,0.0,2,-3.245,-3.245,0.0,0.0,2
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,17,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,6,-82.562,-5.377,39.359,112.172,-34.375,-8.274,-95.148,-5.377,89.771,42.405,-123.361,60.0,2.0,70.645,56.917,67.5,-49.448,112.172,161.62,59.647,104.798,60.0,2,108.034,-5.377,,-21.67,0.026,-32.309,-0.013,-31.35,,112.172,,61.668,0.002,61.612,0.002,58.048,,-22.676,-26.51,12.494,26.932,4,73.375,61.64,25.92,54.124,4
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,18,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,5,-56.023,-22.112,-9.606,-14.127,-50.545,-56.023,-86.604,-13.14,73.464,32.126,-63.56,50.0,2.0,56.735,-9.118,-9.606,-66.324,32.518,98.842,36.998,-405.773,50.0,3,78.596,-22.112,,-44.693,0.009,-34.118,-0.079,-50.921,,-14.127,,-7.445,0.001,-5.445,-0.0,-8.349,,-37.961,-39.405,12.639,28.809,4,-8.842,-7.897,3.727,8.682,4
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,19,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,3,-64.547,-28.599,-64.547,19.269,-47.828,-50.337,-64.547,-28.599,35.948,18.105,-37.854,100.0,0.0,5.323,-3.813,19.269,-64.547,33.84,98.387,53.1,-1392.717,50.0,1,79.873,-28.599,,-16.298,0.995,-16.784,0.994,-41.836,,19.269,,57.272,0.434,41.891,0.354,10.157,,-25.879,-22.692,12.063,25.538,4,32.147,30.58,21.413,47.115,4
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,20,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,1,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,100.0,0.0,0.0,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,100.0,0,0.0,-56.39,,,,,,-56.39,,-56.39,,,,,,-56.39,,-56.39,-56.39,0.0,0.0,2,-56.39,-56.39,0.0,0.0,2
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,21,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,4,-73.408,-64.647,-29.038,-16.992,-70.283,-69.028,-82.722,-60.355,22.367,9.913,-14.105,66.667,2.0,22.043,-40.531,-31.206,-82.722,-16.992,65.73,28.968,-71.472,66.667,1,57.992,-64.647,,-69.304,0.003,-68.3,-0.003,-70.087,,-16.992,,-43.834,0.003,-29.821,-0.114,-41.192,,-68.084,-68.802,2.406,5.44,4,-32.96,-35.506,12.259,26.842,4
