trienio,indice_trienio,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima,id_curso,id_curso_campus,id_curso_turno,id_curso_modalidade,id_curso_campus_turno,id_oferta,id_oferta_num,amplitude,delta_min,delta_max,delta_amplitude,ordem,total_trienios
2018-2020,1,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-40.808,3.022,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,43.83,,,,1,6
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-5.786,-0.285,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,5.5009999999999994,35.022,-3.307,-38.329,2,6
2020-2022,3,2022,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-49.856,-49.856,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,0.0,-44.07,-49.571000000000005,-5.5009999999999994,3,6
2021-2023,4,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-4.981,44.699,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,49.68,44.875,94.555,49.68,4,6
2022-2024,5,2024,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-54.707,-48.66,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,6.047000000000004,-49.726,-93.359,-43.632999999999996,5,6
2023-2025,6,2025,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-12.58,6.842,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,19.422,42.127,55.501999999999995,13.374999999999996,6,6
2018-2020,1,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-3.806,1.212,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,5.018,,,,1,5
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-1.176,2.32,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,3.4959999999999996,2.63,1.1079999999999999,-1.5220000000000002,2,5
2020-2022,3,2022,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-48.922,19.031,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,67.953,-47.745999999999995,16.711,64.45700000000001,3,5
2021-2023,4,2023,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-6.548,-2.003,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,4.545,42.373999999999995,-21.034,-63.408,4,5
2023-2025,6,2025,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-54.846,-53.83,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | CN,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,1.0159999999999982,-48.297999999999995,-51.827,-3.5290000000000017,5,5
2018-2020,1,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-90.624,-3.524,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R1_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,87.1,,,,1,4
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-15.383,-0.009,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R1_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,15.373999999999999,75.241,3.515,-71.726,2,4
2020-2022,3,2022,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-41.769,16.153,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R1_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,57.922,-26.386,16.162,42.548,3,4
2021-2023,4,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-59.221,-21.197,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | EP_R1_NPPI,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,38.024,-17.451999999999998,-37.349999999999994,-19.897999999999996,4,4
