Curso,Campus,Turno,Modalidade,Triênios,Primeira Nota,Última Nota,Média Histórica,Mediana Histórica,Mínimo Histórico,Máximo Histórico,Previsão,Δ Média,Δ Última,Índice de Estabilidade,Estabilidade,CV (%),Desvio,Amplitude,Volatilidade,Mudanças
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-74.0,-14.42,-7.94,2.97,-74.0,36.32,9.96,17.9,24.38,41.95,Moderada,-615.8,48.87,110.32,72.62,1.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-32.38,-32.38,-32.38,-32.38,-32.38,-32.38,-32.38,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-44.53,-23.28,-16.89,-19.85,-44.53,16.65,-17.67,-0.78,5.61,47.05,Moderada,-150.16,25.36,61.18,48.65,1.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,23.19,-33.97,34.6,49.82,-33.97,74.54,-7.0,-41.59,26.97,28.97,Baixa,123.26,42.64,108.51,56.13,1.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,65.5,65.5,65.5,65.5,65.5,65.5,65.5,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-33.64,-10.14,-2.72,2.18,-33.64,18.42,0.75,3.47,10.89,51.4,Moderada,-890.73,24.19,52.06,39.68,1.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,12.66,12.66,12.66,12.66,12.66,12.66,12.66,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-31.82,48.14,24.09,33.66,-31.82,61.62,45.03,20.94,-3.11,28.84,Baixa,153.95,37.09,93.44,50.01,2.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,6,-66.22,23.27,-25.27,-26.27,-66.22,23.27,14.8,40.07,-8.47,46.14,Moderada,-145.63,36.8,89.49,45.85,2.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,-65.03,-19.79,-29.21,-19.79,-65.03,-2.82,-5.65,23.56,14.14,41.94,Moderada,-110.09,32.16,62.21,55.99,1.0
