Curso,Campus,Turno,Modalidade,Triênios,Primeira Nota,Última Nota,Média Histórica,Mediana Histórica,Mínimo Histórico,Máximo Histórico,Previsão,Δ Média,Δ Última,Índice de Estabilidade,Estabilidade,CV (%),Desvio,Amplitude,Volatilidade,Mudanças
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-23.76,-21.74,-29.48,-25.85,-44.5,-21.74,-27.64,1.84,-5.9,53.41,Moderada,-35.06,10.34,22.76,20.11,1.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-33.16,-33.16,-33.16,-33.16,-33.16,-33.16,-33.16,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-20.74,-15.55,-20.31,-18.14,-30.87,-14.08,-18.85,1.46,-3.31,50.99,Moderada,-37.41,7.6,16.79,16.61,2.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-48.06,16.43,-16.57,-17.32,-48.06,16.43,17.31,33.87,0.88,46.33,Moderada,-160.28,26.55,64.48,25.75,2.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,13.77,13.77,13.77,13.77,13.77,13.77,13.77,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-68.38,-30.79,-49.21,-48.84,-68.38,-30.79,-28.78,20.43,2.01,59.79,Moderada,-31.29,15.4,37.59,8.37,0.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-37.15,-37.15,-37.15,-37.15,-37.15,-37.15,-37.15,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,6,78.3,135.83,120.7,125.41,78.3,143.98,137.5,16.81,1.68,37.16,Baixa,20.41,24.63,65.68,27.08,2.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,CN,6,44.9,117.65,89.84,87.32,44.9,137.02,114.28,24.44,-3.37,29.91,Baixa,37.58,33.76,92.12,51.22,2.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,-75.28,8.65,1.77,8.99,-75.28,46.78,19.45,17.69,10.81,25.93,Baixa,2590.03,45.78,122.06,68.28,1.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-38.26,-38.26,-38.26,-38.26,-38.26,-38.26,-38.26,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5,-34.94,-18.1,-8.11,-7.92,-34.94,11.4,-11.06,-2.95,7.04,57.11,Moderada,-238.25,19.32,46.34,27.94,1.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,9.8,77.54,88.26,107.15,9.8,131.85,99.08,10.82,21.54,28.53,Baixa,54.46,48.06,122.05,62.4,1.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,118.29,118.29,118.29,118.29,118.29,118.29,118.29,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,42.86,42.86,42.86,42.86,42.86,42.86,42.86,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1,-10.52,-10.52,-10.52,-10.52,-10.52,-10.52,-10.52,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,12.34,-12.09,24.25,29.63,-12.09,53.97,7.13,-17.11,19.22,34.68,Baixa,104.07,25.24,66.06,40.2,1.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,48.88,48.88,48.88,48.88,48.88,48.88,48.88,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD,1,-13.05,-13.05,-13.05,-13.05,-13.05,-13.05,-13.05,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,AC,5,-86.73,-60.71,-70.23,-63.62,-88.63,-51.44,-57.72,12.5,2.99,45.17,Moderada,-23.6,16.57,37.19,28.64,3.0
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,CN,4,-35.35,-39.99,-32.33,-36.65,-39.99,-16.03,-40.24,-7.91,-0.25,52.97,Moderada,-34.12,11.03,23.96,20.62,1.0
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1,-6.83,-6.83,-6.83,-6.83,-6.83,-6.83,-6.83,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,-49.6,-29.41,-10.99,-29.41,-49.6,46.05,-5.32,5.67,24.1,38.35,Baixa,-458.81,50.42,95.65,120.99,1.0
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,-59.99,-51.52,-38.6,-39.35,-59.99,-15.69,-43.35,-4.76,8.17,48.07,Moderada,-53.52,20.65,44.3,36.49,1.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-77.99,17.85,-21.98,8.72,-102.26,17.85,-6.82,15.16,-24.67,39.07,Baixa,-243.37,53.5,120.11,92.45,4.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,CN,5,5.87,-0.63,-4.82,-0.63,-30.28,25.61,-3.84,0.98,-3.22,46.12,Moderada,-475.19,22.92,55.89,50.1,3.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,-33.95,-49.3,-39.73,-35.94,-49.3,-33.95,-48.57,-8.84,0.73,58.84,Moderada,-21.02,8.35,15.35,8.05,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-24.06,-24.06,-24.06,-24.06,-24.06,-24.06,-24.06,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2,-45.2,-59.86,-52.53,-52.53,-59.86,-45.2,-65.96,-13.44,-6.11,61.61,Alta,-19.73,10.36,14.66,0.0,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-26.02,-75.96,-45.56,-40.12,-75.96,-26.02,-73.36,-27.8,2.61,59.05,Moderada,-50.18,22.86,49.94,11.29,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-50.33,-50.33,-50.33,-50.33,-50.33,-50.33,-50.33,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,-43.27,-21.69,-34.24,-37.76,-43.27,-21.69,-21.98,12.26,-0.29,59.49,Moderada,-32.75,11.22,21.58,7.48,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-81.15,-81.15,-81.15,-81.15,-81.15,-81.15,-81.15,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,AC,5,-71.3,-27.79,-50.11,-62.18,-71.3,-20.05,-35.6,14.5,-7.82,44.69,Moderada,-48.49,24.3,51.25,43.57,2.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,CN,3,-2.47,-40.83,-37.84,-40.83,-70.2,-2.47,-51.74,-13.9,-10.9,38.85,Baixa,-89.78,33.97,67.74,68.67,1.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,-54.03,-54.97,-57.05,-54.97,-62.15,-54.03,-55.81,1.24,-0.85,50.99,Moderada,-7.79,4.44,8.12,10.83,1.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,2,-50.72,1.49,-24.62,-24.62,-50.72,1.49,23.25,47.86,21.76,62.32,Alta,-149.99,36.92,52.21,0.0,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,-68.68,-60.65,-68.45,-68.68,-76.04,-60.65,-61.21,7.25,-0.56,49.63,Moderada,-11.24,7.7,15.39,16.08,1.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-36.71,-36.71,-36.71,-36.71,-36.71,-36.71,-36.71,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,-37.93,-29.32,-43.37,-45.12,-53.94,-29.32,-34.58,8.79,-5.26,52.37,Moderada,-27.23,11.81,24.62,19.88,1.0
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1,-72.81,-72.81,-72.81,-72.81,-72.81,-72.81,-72.81,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,39.61,98.04,79.39,91.4,39.61,105.6,91.94,12.55,-6.09,30.64,Baixa,34.5,27.39,65.99,43.65,4.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,CN,6,52.18,83.43,45.16,45.44,13.26,83.43,66.86,21.7,-16.57,30.29,Baixa,59.61,26.92,70.17,45.31,3.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,-19.71,-56.63,-34.66,-37.55,-60.91,1.52,-50.0,-15.34,6.64,43.77,Moderada,-75.14,26.04,62.43,48.8,2.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-30.93,-30.93,-30.93,-30.93,-30.93,-30.93,-30.93,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-31.96,-10.9,-22.82,-25.59,-31.96,-10.9,-8.08,14.74,2.82,61.22,Alta,-47.34,10.8,21.06,5.88,0.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-31.16,-64.26,3.01,-8.93,-64.26,74.42,-43.22,-46.23,21.04,25.33,Baixa,1870.6,56.34,138.68,73.93,1.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,18.82,18.82,18.82,18.82,18.82,18.82,18.82,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-48.68,-37.25,-37.67,-39.01,-48.68,-23.99,-31.61,6.07,5.65,53.23,Moderada,-27.33,10.3,24.69,15.44,1.0
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-17.7,-17.7,-17.7,-17.7,-17.7,-17.7,-17.7,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Naturais (Licenciatura),Planaltina,Diurno,AC,5,-78.58,-78.39,-79.82,-78.58,-85.5,-71.51,-79.14,0.68,-0.75,50.36,Moderada,-7.22,5.76,13.99,12.57,3.0
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R1_PPI,2,-19.53,-49.69,-34.61,-34.61,-49.69,-19.53,-62.26,-27.64,-12.57,63.21,Alta,-61.61,21.32,30.16,0.0,0.0
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R2_PPI,2,-38.14,-36.56,-37.35,-37.35,-38.14,-36.56,-36.3,1.06,0.26,61.61,Alta,-3.0,1.12,1.58,0.0,0.0
Ciências Naturais (Licenciatura),Planaltina,Noturno,AC,3,-76.85,-52.22,-63.86,-62.53,-76.85,-52.22,-47.78,16.09,4.44,57.92,Moderada,-19.37,12.37,24.64,2.84,0.0
Ciências Naturais (Licenciatura),Planaltina,Noturno,CN,1,-90.2,-90.2,-90.2,-90.2,-90.2,-90.2,-90.2,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Naturais (Licenciatura),Planaltina,Noturno,EP_R2_PPI,1,-37.16,-37.16,-37.16,-37.16,-37.16,-37.16,-37.16,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,-73.44,-15.53,-16.42,-7.67,-73.44,11.53,-4.89,11.53,10.64,41.69,Moderada,-204.03,33.5,84.98,49.02,3.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,5,-2.42,-34.92,-17.39,-9.21,-40.83,0.43,-34.33,-16.93,0.6,49.08,Moderada,-110.05,19.14,41.26,32.18,3.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-58.84,-65.3,-55.38,-61.89,-65.3,-32.43,-66.33,-10.95,-1.03,48.96,Moderada,-28.14,15.58,32.87,29.5,1.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-30.93,-30.93,-30.93,-30.93,-30.93,-30.93,-30.93,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-79.62,-61.2,-55.54,-53.51,-79.62,-35.5,-53.74,1.79,7.45,47.18,Moderada,-34.61,19.22,44.12,32.99,1.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-34.49,-37.62,-37.97,-36.06,-51.12,-28.66,-35.7,2.27,1.92,48.11,Moderada,-25.06,9.52,22.45,20.7,2.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-91.42,-91.42,-91.42,-91.42,-91.42,-91.42,-91.42,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,-32.2,-32.2,-32.2,-32.2,-32.2,-32.2,-32.2,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-62.08,-57.6,-67.77,-66.29,-80.88,-57.6,-63.22,4.54,-5.62,51.58,Moderada,-15.13,10.25,23.28,18.9,1.0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-70.92,-70.92,-70.92,-70.92,-70.92,-70.92,-70.92,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,AC,6,-96.33,-22.18,-45.56,-24.34,-105.03,-2.43,-37.78,7.77,-15.6,41.22,Moderada,-95.66,43.58,102.6,68.09,2.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,CN,4,-3.31,-23.78,-13.76,-13.55,-63.59,35.66,-14.78,-1.02,9.01,37.2,Baixa,-300.76,41.37,99.25,91.86,2.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,1,-65.74,-65.74,-65.74,-65.74,-65.74,-65.74,-65.74,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,4,36.58,-5.52,-24.85,-27.44,-81.1,36.58,-24.94,-0.09,-19.42,39.9,Baixa,-206.66,51.35,117.67,89.96,1.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-28.68,-50.8,-39.24,-39.74,-57.12,-20.34,-46.3,-7.06,4.5,44.29,Moderada,-44.69,17.53,36.78,38.26,2.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-44.04,-44.04,-44.04,-44.04,-44.04,-44.04,-44.04,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI_PCD,1,18.87,18.87,18.87,18.87,18.87,18.87,18.87,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-51.23,-85.35,-68.29,-68.29,-85.35,-51.23,-99.56,-31.27,-14.22,60.67,Alta,-35.33,24.12,34.12,0.0,0.0
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-60.88,8.45,-36.42,-25.15,-98.3,8.45,-19.18,17.24,-27.63,41.72,Moderada,-103.25,37.6,106.75,65.76,2.0
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,CN,5,-41.51,-4.35,-21.93,-9.15,-78.07,23.43,3.62,25.55,7.97,38.53,Baixa,-177.55,38.94,101.5,64.23,3.0
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-24.72,-56.79,-41.93,-43.1,-56.79,-24.72,-56.92,-14.99,-0.13,47.72,Moderada,-33.68,14.12,32.07,20.23,2.0
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-83.24,-83.24,-83.24,-83.24,-83.24,-83.24,-83.24,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-76.57,-46.61,-61.59,-61.59,-76.57,-46.61,-34.12,27.47,12.48,61.27,Alta,-34.4,21.19,29.96,0.0,0.0
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1,-49.54,-49.54,-49.54,-49.54,-49.54,-49.54,-49.54,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,6,42.88,56.96,58.32,59.72,40.41,77.92,54.62,-3.71,-2.35,38.6,Baixa,25.23,14.72,37.51,25.4,4.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,CN,6,39.16,44.42,33.94,41.79,-45.96,66.56,23.62,-10.32,-20.8,23.56,Baixa,121.43,41.21,112.52,73.59,3.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-49.87,28.91,-10.93,-11.38,-49.87,28.91,27.32,38.25,-1.58,41.88,Moderada,-316.47,34.6,78.78,49.78,2.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-29.33,-29.33,-29.33,-29.33,-29.33,-29.33,-29.33,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-43.64,-11.44,-16.37,-11.47,-43.64,1.11,-5.82,10.55,5.62,47.72,Moderada,-116.83,19.12,44.75,30.13,2.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-27.14,-39.67,16.7,22.82,-39.67,73.45,-15.71,-32.41,23.96,27.03,Baixa,295.6,49.38,113.11,66.82,1.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,50.59,50.59,50.59,50.59,50.59,50.59,50.59,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-26.23,-74.58,-20.72,-11.63,-74.58,14.96,-61.71,-40.99,12.87,42.98,Moderada,-192.35,39.85,89.53,59.48,1.0
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-41.46,-41.46,-41.46,-41.46,-41.46,-41.46,-41.46,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,6,47.99,69.43,62.08,64.29,39.97,86.51,63.41,1.33,-6.02,40.04,Moderada,26.45,16.42,46.54,25.58,2.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,CN,6,-49.16,-55.67,-8.32,1.48,-55.67,48.63,-35.24,-26.92,20.43,42.67,Moderada,-465.02,38.69,104.31,61.69,3.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,7.66,-34.13,-13.23,-13.23,-34.13,7.66,-51.54,-38.3,-17.41,65.28,Alta,-223.27,29.55,41.79,0.0,0.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-40.09,-17.0,-31.15,-36.36,-40.09,-17.0,-14.46,16.69,2.54,59.57,Moderada,-39.78,12.39,23.09,11.06,0.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-30.98,-42.03,-18.19,-15.58,-42.03,5.23,-32.5,-14.31,9.53,55.46,Moderada,-102.88,18.71,47.26,24.59,1.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,41.98,41.98,41.98,41.98,41.98,41.98,41.98,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,-27.24,-63.88,-39.84,-28.4,-63.88,-27.24,-67.13,-27.29,-3.25,56.11,Moderada,-52.29,20.83,36.65,24.27,0.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-32.3,-32.3,-32.3,-32.3,-32.3,-32.3,-32.3,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD,1,-6.39,-6.39,-6.39,-6.39,-6.39,-6.39,-6.39,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,6,79.75,87.41,75.55,78.81,54.84,87.41,76.92,1.37,-10.49,44.31,Moderada,14.87,11.23,32.57,18.71,2.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,CN,6,6.63,3.14,8.05,15.33,-82.23,61.42,-13.2,-21.24,-16.33,23.76,Baixa,609.43,49.03,143.65,85.19,2.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,-13.6,-63.94,-17.61,-13.6,-63.94,38.43,-43.5,-25.89,20.43,41.31,Moderada,-225.14,39.65,102.36,65.49,2.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-55.24,-55.24,-55.24,-55.24,-55.24,-55.24,-55.24,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-36.33,-10.38,-25.66,-27.97,-36.33,-10.38,-9.77,15.89,0.61,63.4,Alta,-43.83,11.25,25.96,4.96,0.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,26.07,26.07,26.07,26.07,26.07,26.07,26.07,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,-22.49,-61.29,-16.51,-22.49,-61.29,47.46,-58.01,-41.5,3.29,46.25,Moderada,-242.82,40.1,108.76,55.86,1.0
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-44.32,-44.32,-44.32,-44.32,-44.32,-44.32,-44.32,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,AC,5,101.83,137.49,119.53,120.42,101.83,137.49,132.06,12.53,-5.43,40.48,Moderada,12.39,14.81,35.66,22.98,2.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,CN,6,67.81,85.36,74.68,71.43,50.94,101.12,76.66,1.98,-8.7,39.05,Baixa,22.76,17.0,50.18,28.77,2.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,35.04,1.72,27.64,28.51,1.72,44.67,8.28,-19.37,6.56,39.27,Baixa,57.71,15.95,42.96,18.4,2.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,14.58,14.58,14.58,14.58,14.58,14.58,14.58,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD,1,-22.95,-22.95,-22.95,-22.95,-22.95,-22.95,-22.95,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5,-16.82,-25.54,-3.18,1.03,-25.54,19.39,-11.55,-8.37,14.0,57.92,Moderada,-566.57,18.02,44.94,28.99,1.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1,-87.77,-87.77,-87.77,-87.77,-87.77,-87.77,-87.77,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD,1,-15.08,-15.08,-15.08,-15.08,-15.08,-15.08,-15.08,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,26.2,87.93,77.34,91.28,26.2,100.6,102.31,24.97,14.38,30.77,Baixa,44.59,34.48,74.4,42.47,1.0
