id_oferta,id_oferta_num,curso,campus,turno,modalidade,n_trienios,media_ponderada_min,media_ponderada_max,desvio_ponderado_min,desvio_ponderado_max,slope_ponderada_min,slope_ponderada_max,momentum_min,momentum_max,aceleracao_min,aceleracao_max,curvatura_min,curvatura_max
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,20,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-56.39,-56.39,0.0,0.0,,,0.0,0.0,,,,
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,21,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-70.087,-41.192,8.932,27.905,0.8938,5.6854,0.196,-0.661,2.511,35.0325,1.2555,17.51625
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,22,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-57.895,17.893,24.723,14.67,6.8458,-11.6232,1.1,-3.776,23.226,-20.3565,11.613,-10.17825
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,23,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-58.036,-13.042,0.0,0.0,,,0.0,0.0,,,,
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,24,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-71.935,-18.144,9.006,13.459,4.7336,11.17246,0.802,5.261,15.65,16.133,7.825,6.663833
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,25,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-62.778,-36.2,0.0,0.0,,,0.0,0.0,,,,
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,26,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,82.826,118.18,13.134,26.807,3.6739,4.41394,3.24,1.658,6.11375,19.473,-0.268375,2.012294
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,27,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6,32.026,61.487,29.246,26.667,3.93621,-3.46106,7.936,-2.511,0.72975,11.1665,-6.984232,-0.559679
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,28,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6,54.478,54.836,15.614,15.522,1.56679,1.031,0.069,-0.824,-5.41575,-3.5405,1.855232,2.524964
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,29,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,6,-14.246,-13.62,33.009,32.131,16.26869,15.32954,11.024,9.459,-10.1405,-6.8535,3.799321,4.97325
