id_oferta,id_oferta_num,curso,campus,turno,modalidade,observacoes_min,observacoes_max,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,media_historica_min,mediana_historica_min,minimo_historico_min,maximo_historico_min,amplitude_historica_min,desvio_historico_min,coef_var_min,consistencia_min,mudancas_min,volatilidade_min,media_historica_max,mediana_historica_max,minimo_historico_max,maximo_historico_max,amplitude_historica_max,desvio_historico_max,coef_var_max,consistencia_max,mudancas_max,volatilidade_max,persistencia_min,persistencia_max,regressao_linear_min,regressao_linear_max,regressao_ponderada_min,regressao_ponderada_max,media_movel_min,media_movel_max,ensemble_min,ensemble_max,ensemble_mediana_min,ensemble_mediana_max,ensemble_desvio_min,ensemble_desvio_max,ensemble_amplitude_min,ensemble_amplitude_max,ensemble_n_modelos_min,ensemble_n_modelos_max,intervalo_previsto,delta_media_min,delta_media_max,delta_ultima_min,delta_ultima_max,estab_coef_var,estab_amplitude,estab_volatilidade,estab_mudancas,estab_observacoes,indice_estabilidade,classe_estabilidade
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,6,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,4,-64.264,-45.664,-17.504,6.082,-43.377,-40.222,-64.264,-28.8,35.464,15.577,-35.91,66.667,1.0,25.462,-8.615,-5.711,-34.78,11.743,46.523,21.557,-250.23,66.667,2,47.455,-45.664,6.082,-30.922,-2.556,-40.192,-0.233,-40.886,-7.403,-39.416,-1.028,-40.539,-1.394,6.163,5.602,14.742,13.485,4,4,38.388,3.961,7.587,6.248,-7.11,64.39790575916231,46.46596858638743,38.481675392670155,37.56544502617801,64.9673202614379,50.38,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,9,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,3,2.342,-46.477,2.342,-16.586,-38.741,-46.477,-72.089,2.342,74.431,37.814,-97.606,50.0,1.0,70.741,-8.798,-12.149,-16.586,2.342,18.928,9.899,-112.519,100.0,0,7.109,-46.477,-16.586,-87.56,-27.726,-70.886,-26.05,-46.878,-11.952,-62.95,-20.578,-58.882,-21.318,19.986,7.558,41.083,15.773,4,4,42.372,-24.209,-11.78,-16.473,-3.992,81.15183246073299,17.539267015706805,5.890052356020947,37.56544502617801,49.73856209150327,38.38,Baixa
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,11,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,4,-30.302,-63.326,31.847,12.204,-28.627,-21.404,-63.326,-8.376,54.95,25.012,-87.372,66.667,1.0,36.858,15.661,13.598,3.601,31.847,28.246,11.83,75.538,66.667,1,13.402,-63.326,12.204,-54.427,-1.919,-68.977,3.173,-33.787,12.145,-55.129,6.401,-58.877,7.659,15.437,6.984,35.19,14.123,4,4,61.53,-26.502,-9.26,8.197,-5.803,79.05759162303664,29.450261780104714,27.552356020942405,37.56544502617801,64.9673202614379,47.72,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,13,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,1,-55.503,-55.503,-4.817,-4.817,-55.503,-55.503,-55.503,-55.503,0.0,0.0,0.0,100.0,0.0,0.0,-4.817,-4.817,-4.817,-4.817,0.0,0.0,0.0,100.0,0,0.0,-55.503,-4.817,,,,,-55.503,-4.817,-55.503,-4.817,-55.503,-4.817,0.0,0.0,0.0,0.0,2,2,50.686,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,15,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,3,-74.731,-84.174,-4.551,-84.174,-70.191,-74.731,-84.174,-51.667,32.507,16.722,-23.824,50.0,1.0,39.295,-31.612,-6.11,-84.174,-4.551,79.623,45.527,-144.02,100.0,0,54.097,-84.174,-84.174,-79.634,-111.235,-88.896,-123.986,-71.764,-44.882,-81.117,-91.069,-81.904,-97.704,7.292,34.981,17.131,79.103,4,4,-9.952,-10.926,-59.457,3.057,-6.895,57.72251308900523,48.167539267015705,24.345549738219894,37.56544502617801,49.73856209150327,43.51,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,17,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,6,-82.562,-5.377,39.359,112.172,-34.375,-8.274,-95.148,-5.377,89.771,42.405,-123.361,60.0,2.0,70.645,56.917,67.5,-49.448,112.172,161.62,59.647,104.798,60.0,2,108.034,-5.377,112.172,-21.67,61.668,-32.309,61.612,-31.35,58.048,-22.676,73.375,-26.51,61.64,12.494,25.92,26.932,54.124,4,4,96.051,11.699,16.458,-17.299,-38.797,85.60209424083769,9.685863874345547,6.020942408376961,17.212041884816752,95.29411764705881,42.76,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,18,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,5,-56.023,-22.112,-9.606,-14.127,-50.545,-56.023,-86.604,-13.14,73.464,32.126,-63.56,50.0,2.0,56.735,-9.118,-9.606,-66.324,32.518,98.842,36.998,-405.773,50.0,3,78.596,-22.112,-14.127,-44.693,-7.445,-34.118,-5.445,-50.921,-8.349,-37.961,-8.842,-39.405,-7.897,12.639,3.727,28.809,8.682,4,4,29.119,12.584,0.276,-15.849,5.285,73.95287958115183,18.19371727748691,12.565445026178013,17.212041884816752,82.2875816993464,40.84,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,19,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,3,-64.547,-28.599,-64.547,19.269,-47.828,-50.337,-64.547,-28.599,35.948,18.105,-37.854,100.0,0.0,5.323,-3.813,19.269,-64.547,33.84,98.387,53.1,-1392.717,50.0,1,79.873,-28.599,19.269,-16.298,57.272,-16.784,41.891,-41.836,10.157,-25.879,32.147,-22.692,30.58,12.063,21.413,25.538,47.115,4,4,58.026,21.949,35.96,2.72,12.878,65.31413612565444,45.68062827225131,55.23560209424083,74.54188481675392,49.73856209150327,58.1,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,20,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,1,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,100.0,0.0,0.0,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,100.0,0,0.0,-56.39,-56.39,,,,,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,21,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,4,-73.408,-64.647,-29.038,-16.992,-70.283,-69.028,-82.722,-60.355,22.367,9.913,-14.105,66.667,2.0,22.043,-40.531,-31.206,-82.722,-16.992,65.73,28.968,-71.472,66.667,1,57.992,-64.647,-16.992,-69.304,-43.834,-68.3,-29.821,-70.087,-41.192,-68.084,-32.96,-68.802,-35.506,2.406,12.259,5.44,26.842,4,4,35.124,2.199,7.571,-3.437,-15.968,53.66492146596858,56.28272251308901,42.40837696335078,17.212041884816752,64.9673202614379,46.91,Moderada
