turno,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Diurno,1807,-7.016,-15.366,50.361,-102.261,183.5,27.054,20.155,52.48,-96.948,211.738,34.913,37.715,0.0,244.789,-717.761,193.98
Noturno,499,-33.314,-38.182,37.101,-105.487,104.746,-0.289,-6.562,43.29,-105.487,159.558,33.479,38.328,0.0,187.951,-111.367,-14976.883
