curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Ciências Econômicas (Bacharelado),CN,6,52.181,83.431,54.601,83.431,31.25,28.83,13.26,83.431,13.26,83.431,45.157,45.56,0.403,2.42,0.0,59.614,59.403
Ciências Econômicas (Bacharelado),EP_R1_NPPI,5,-19.708,-56.632,37.407,-56.632,-36.924,-94.039,-60.912,1.518,-56.632,37.407,-34.657,10.474,45.131,72.619,0.0,-75.141,386.381
Ciências Econômicas (Bacharelado),EP_R1_NPPIQ,1,-30.927,-30.927,-30.927,-30.927,0.0,0.0,-30.927,-30.927,-30.927,-30.927,-30.927,-30.927,0.0,0.0,0.0,,
Ciências Econômicas (Bacharelado),EP_R1_PPI,3,-31.962,-10.898,3.364,67.95,21.064,64.586,-31.962,-10.898,3.364,67.95,-22.817,33.463,56.28,78.848,35.326,-47.344,97.171
Ciências Econômicas (Bacharelado),EP_R2_NPPI,5,-31.155,-64.258,71.256,-22.961,-33.103,-94.217,-64.258,74.425,-22.961,116.541,3.012,58.102,55.09,102.411,6.922,1870.602,87.943
Ciências Econômicas (Bacharelado),EP_R2_NPPIQ,1,18.823,18.823,94.124,94.124,0.0,0.0,18.823,18.823,94.124,94.124,18.823,94.124,75.301,75.301,75.301,,
Ciências Econômicas (Bacharelado),EP_R2_PPI,4,-48.677,-37.254,23.009,59.411,11.423,36.402,-48.677,-23.99,7.712,59.411,-37.674,36.404,74.078,96.665,31.702,-27.333,69.058
Ciências Econômicas (Bacharelado),EP_R2_PPIQ,1,-17.699,-17.699,30.922,30.922,0.0,0.0,-17.699,-17.699,30.922,30.922,-17.699,30.922,48.621,48.621,48.621,,
Ciências Naturais (Licenciatura),AC,8,-78.584,-78.391,-15.361,13.11,0.193,28.471,-85.5,-52.216,-85.5,21.657,-73.836,-13.486,60.35,94.368,0.0,-15.495,-264.352
Ciências Naturais (Licenciatura),CN,1,-90.203,-90.203,-90.203,-90.203,0.0,0.0,-90.203,-90.203,-90.203,-90.203,-90.203,-90.203,0.0,0.0,0.0,,
Ciências Naturais (Licenciatura),EP_R1_PPI,2,-19.534,-49.692,-19.534,-49.692,-30.158,-30.158,-49.692,-19.534,-49.692,-19.534,-34.613,-34.613,0.0,0.0,0.0,-61.61,-61.61
Ciências Naturais (Licenciatura),EP_R2_PPI,3,-38.144,-37.156,-7.442,-37.156,0.988,-29.714,-38.144,-36.562,-37.156,-7.442,-37.287,-27.053,10.234,30.702,0.0,-2.143,-62.789
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),AC,5,-73.444,-15.532,63.097,69.84,57.912,6.743,-73.444,11.533,63.097,94.463,-16.418,74.396,90.814,136.541,70.082,-204.03,15.923
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),CN,5,-2.423,-34.923,22.985,-32.091,-32.5,-55.076,-40.831,0.428,-32.091,22.985,-17.392,5.378,22.77,49.279,2.832,-110.047,411.181
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R1_NPPI,4,-58.842,-65.302,12.31,-5.054,-6.46,-17.364,-65.302,-32.433,-16.98,12.31,-55.379,0.12,55.5,75.145,15.453,-28.137,11457.633
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R1_NPPIQ,1,-30.926,-30.926,-30.926,-30.926,0.0,0.0,-30.926,-30.926,-30.926,-30.926,-30.926,-30.926,0.0,0.0,0.0,,
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R1_PPI,4,-79.622,-61.197,13.422,-32.867,18.425,-46.289,-79.622,-35.497,-32.867,13.422,-55.535,-18.897,36.638,93.044,5.982,-34.606,-114.814
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_NPPI,4,-34.495,-37.615,6.009,33.041,-3.12,27.032,-51.116,-28.663,6.009,62.948,-37.972,33.266,71.238,91.611,40.504,-25.059,70.047
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_NPPIQ,1,-91.423,-91.423,-6.3,-6.3,0.0,0.0,-91.423,-91.423,-6.3,-6.3,-91.423,-6.3,85.123,85.123,85.123,,
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_NPPIQ_PCD,1,-32.205,-32.205,-32.205,-32.205,0.0,0.0,-32.205,-32.205,-32.205,-32.205,-32.205,-32.205,0.0,0.0,0.0,,
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_PPI,4,-62.078,-57.603,-12.864,10.11,4.475,22.974,-80.884,-57.603,-12.864,28.724,-67.767,6.148,73.915,99.226,49.214,-15.126,288.421
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_PPIQ,1,-70.919,-70.919,-49.487,-49.487,0.0,0.0,-70.919,-70.919,-49.487,-49.487,-70.919,-49.487,21.432,21.432,21.432,,
Computação (Licenciatura),AC,6,-96.333,-22.177,63.42,45.581,74.156,-17.839,-105.03,-2.433,-44.569,74.983,-45.556,40.884,86.44,159.753,55.03,-95.655,109.336
Computação (Licenciatura),CN,4,-3.314,-23.781,-3.314,-23.781,-20.467,-20.467,-63.586,35.66,-63.586,35.66,-13.755,-13.755,0.0,0.0,0.0,-300.76,-300.76
Computação (Licenciatura),EP_R1_NPPI,1,-65.745,-65.745,-51.109,-51.109,0.0,0.0,-65.745,-65.745,-51.109,-51.109,-65.745,-51.109,14.636,14.636,14.636,,
Computação (Licenciatura),EP_R1_PPI,4,36.577,-5.522,36.577,-5.522,-42.099,-42.099,-81.096,36.577,-81.096,36.577,-24.848,-20.584,4.264,17.056,0.0,-206.663,-239.538
Computação (Licenciatura),EP_R2_NPPI,4,-28.675,-50.802,14.464,-11.64,-22.127,-26.104,-57.125,-20.342,-53.651,14.464,-39.236,-14.758,24.478,43.139,3.474,-44.688,-192.417
Computação (Licenciatura),EP_R2_NPPIQ,1,-44.036,-44.036,-4.601,-4.601,0.0,0.0,-44.036,-44.036,-4.601,-4.601,-44.036,-4.601,39.435,39.435,39.435,,
Computação (Licenciatura),EP_R2_NPPI_PCD,1,18.874,18.874,18.874,18.874,0.0,0.0,18.874,18.874,18.874,18.874,18.874,18.874,0.0,0.0,0.0,,
Computação (Licenciatura),EP_R2_PPI,2,-51.231,-85.346,-44.126,-10.124,-34.115,34.002,-85.346,-51.231,-44.126,-10.124,-68.288,-27.125,41.164,75.222,7.105,-35.325,-88.638
Comunicação Organizacional (Bacharelado),AC,6,-60.884,8.45,61.325,66.357,69.334,5.032,-98.302,8.45,-18.384,66.357,-36.423,45.332,81.755,122.209,57.907,-103.248,71.196
Comunicação Organizacional (Bacharelado),CN,5,-41.513,-4.348,4.914,-4.348,37.165,-9.262,-78.071,23.426,-78.071,23.426,-21.931,-12.646,9.285,46.427,0.0,-177.55,-305.527
Comunicação Organizacional (Bacharelado),EP_R2_NPPI,4,-24.715,-56.789,-24.715,-56.789,-32.074,-32.074,-56.789,-24.715,-56.789,-24.715,-41.926,-40.841,1.085,4.34,0.0,-33.678,-33.085
Comunicação Organizacional (Bacharelado),EP_R2_NPPIQ,1,-83.245,-83.245,15.877,15.877,0.0,0.0,-83.245,-83.245,15.877,15.877,-83.245,15.877,99.122,99.122,99.122,,
Comunicação Organizacional (Bacharelado),EP_R2_PPI,2,-76.574,-46.61,-23.424,-14.593,29.964,8.831,-76.574,-46.61,-23.424,-14.593,-61.592,-19.008,42.584,53.15,32.017,-34.4,-32.851
Comunicação Organizacional (Bacharelado),EP_R2_PPIQ,1,-49.545,-49.545,-18.438,-18.438,0.0,0.0,-49.545,-49.545,-18.438,-18.438,-49.545,-18.438,31.107,31.107,31.107,,
Comunicação Social - Publicidade e Propaganda (Bacharelado),AC,6,42.875,56.963,95.093,86.414,14.088,-8.679,40.414,77.921,48.42,120.186,58.324,85.924,31.52,57.702,8.006,25.232,30.27
Comunicação Social - Publicidade e Propaganda (Bacharelado),CN,6,39.163,44.425,52.808,44.425,5.262,-8.383,-45.956,66.561,-45.956,66.561,33.941,36.215,2.274,13.645,0.0,121.428,115.78
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R1_NPPI,4,-49.871,28.907,2.367,28.907,78.778,26.54,-49.871,28.907,-26.988,28.907,-10.932,2.127,13.06,52.238,0.0,-316.467,1075.163
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R1_NPPIQ,1,-29.329,-29.329,-29.329,-29.329,0.0,0.0,-29.329,-29.329,-29.329,-29.329,-29.329,-29.329,0.0,0.0,0.0,,
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R1_PPI,4,-43.64,-11.438,29.027,-1.404,32.202,-30.431,-43.64,1.108,-1.404,29.027,-16.369,13.048,29.417,72.667,10.034,-116.829,124.231
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_NPPI,5,-27.135,-39.668,-14.554,-12.554,-12.533,2.0,-39.668,73.446,-14.554,73.446,16.704,26.389,9.685,27.114,0.0,295.597,149.186
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_NPPIQ,1,50.59,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,50.59,50.59,50.59,0.0,0.0,0.0,,
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_PPI,4,-26.233,-74.578,8.751,-74.578,-48.345,-83.329,-74.578,14.955,-74.578,56.294,-20.72,8.109,28.829,41.339,0.0,-192.351,722.813
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_PPIQ,1,-41.458,-41.458,-16.426,-16.426,0.0,0.0,-41.458,-41.458,-16.426,-16.426,-41.458,-16.426,25.032,25.032,25.032,,
Comunicação Social – Audiovisual (Bacharelado),AC,6,47.993,69.433,110.494,134.182,21.44,23.688,39.969,86.509,57.784,175.444,62.082,116.203,54.596,88.935,17.815,26.448,37.138
Comunicação Social – Audiovisual (Bacharelado),CN,6,-49.161,-55.674,-49.161,-55.674,-6.513,-6.513,-55.674,48.632,-55.674,48.632,-8.319,-8.319,0.0,0.0,0.0,-465.019,-465.019
Comunicação Social – Audiovisual (Bacharelado),EP_R1_NPPI,2,7.659,-34.127,7.659,-10.753,-41.786,-18.412,-34.127,7.659,-10.753,7.659,-13.234,-1.547,11.687,23.374,0.0,-223.267,-841.58
Comunicação Social – Audiovisual (Bacharelado),EP_R1_PPI,3,-40.091,-17.004,9.785,-14.344,23.087,-24.129,-40.091,-17.004,-36.365,9.785,-31.153,-13.641,17.512,49.876,0.0,-39.785,-169.214
Comunicação Social – Audiovisual (Bacharelado),EP_R2_NPPI,5,-30.985,-42.029,9.153,-0.538,-11.044,-9.691,-42.029,5.234,-0.538,74.452,-18.187,26.977,45.164,90.037,2.205,-102.878,117.415
Comunicação Social – Audiovisual (Bacharelado),EP_R2_NPPIQ,1,41.977,41.977,41.977,41.977,0.0,0.0,41.977,41.977,41.977,41.977,41.977,41.977,0.0,0.0,0.0,,
Comunicação Social – Audiovisual (Bacharelado),EP_R2_PPI,3,-27.235,-63.885,13.364,-63.885,-36.65,-77.249,-63.885,-27.235,-63.885,33.343,-39.839,-5.726,34.113,61.739,0.0,-52.293,-896.756
Comunicação Social – Audiovisual (Bacharelado),EP_R2_PPIQ,1,-32.295,-32.295,26.778,26.778,0.0,0.0,-32.295,-32.295,26.778,26.778,-32.295,26.778,59.073,59.073,59.073,,
Comunicação Social – Audiovisual (Bacharelado),EP_R2_PPI_PCD,1,-6.39,-6.39,-6.39,-6.39,0.0,0.0,-6.39,-6.39,-6.39,-6.39,-6.39,-6.39,0.0,0.0,0.0,,
Design – Programação Visual/Projeto do Produto (Bacharelado),AC,6,79.753,87.407,125.943,110.73,7.654,-15.213,54.836,87.407,69.182,125.943,75.548,103.319,27.771,46.19,14.346,14.866,18.361
Design – Programação Visual/Projeto do Produto (Bacharelado),CN,6,6.632,3.136,32.212,3.136,-3.496,-29.076,-82.226,61.424,-82.226,61.424,8.046,12.309,4.263,25.58,0.0,609.43,406.111
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R1_NPPI,5,-13.605,-63.935,-0.286,-63.935,-50.33,-63.649,-63.935,38.427,-63.935,38.427,-17.612,-14.948,2.664,13.319,0.0,-225.141,-270.456
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R1_NPPIQ,1,-55.242,-55.242,-7.149,-7.149,0.0,0.0,-55.242,-55.242,-7.149,-7.149,-55.242,-7.149,48.093,48.093,48.093,,
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R1_PPI,4,-36.333,-10.378,-11.018,1.203,25.955,12.221,-36.333,-10.378,-12.16,1.203,-25.661,-8.35,17.311,25.315,11.581,-43.831,-76.482
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R2_NPPI,1,26.07,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,26.07,26.07,26.07,0.0,0.0,0.0,,
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R2_PPI,5,-22.489,-61.294,9.31,-29.644,-38.805,-38.954,-61.294,47.464,-29.644,47.464,-16.512,3.87,20.383,31.799,0.0,-242.815,819.293
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R2_PPIQ,1,-44.318,-44.318,-44.259,-44.259,0.0,0.0,-44.318,-44.318,-44.259,-44.259,-44.318,-44.259,0.059,0.059,0.059,,
Direito (Bacharelado),AC,11,101.827,104.746,146.068,126.174,2.919,-19.894,56.835,137.491,82.163,176.907,100.031,137.928,35.596,67.767,6.135,24.398,21.546
Direito (Bacharelado),CN,12,67.814,80.945,109.896,89.34,13.131,-20.556,30.06,101.124,30.572,130.856,63.987,91.394,27.408,57.199,0.512,32.227,26.325
Direito (Bacharelado),EP_R1_NPPI,10,35.037,-23.726,69.129,-20.32,-58.763,-89.449,-30.887,44.672,-20.32,96.173,14.62,41.622,27.002,69.508,3.406,171.21,83.083
Direito (Bacharelado),EP_R1_NPPIQ,2,14.584,-26.945,66.246,36.277,-41.529,-29.969,-26.945,14.584,36.277,66.246,-6.18,51.262,57.442,63.222,51.662,-475.13,41.34
Direito (Bacharelado),EP_R1_NPPI_PCD,1,-22.954,-22.954,-22.954,-22.954,0.0,0.0,-22.954,-22.954,-22.954,-22.954,-22.954,-22.954,0.0,0.0,0.0,,
Direito (Bacharelado),EP_R1_PPI,9,-16.819,-25.544,65.641,-13.238,-8.725,-78.879,-26.837,19.392,-13.238,69.167,-6.889,35.268,42.158,82.46,6.489,-225.875,88.17
Direito (Bacharelado),EP_R1_PPIQ,2,-87.773,-40.663,5.701,-26.586,47.11,-32.287,-87.773,-40.663,-26.586,5.701,-64.218,-10.442,53.775,93.474,14.077,-51.873,-218.629
Direito (Bacharelado),EP_R1_PPI_PCD,1,-15.077,-15.077,-15.077,-15.077,0.0,0.0,-15.077,-15.077,-15.077,-15.077,-15.077,-15.077,0.0,0.0,0.0,,
Direito (Bacharelado),EP_R2_NPPI,9,26.201,34.633,124.283,65.065,8.432,-59.218,20.26,100.598,61.664,133.701,61.412,93.442,32.029,98.082,6.549,48.87,28.159
Direito (Bacharelado),EP_R2_NPPIQ,2,123.845,92.181,123.845,92.842,-31.664,-31.003,92.181,123.845,92.842,123.845,108.013,108.344,0.331,0.661,0.0,20.729,20.234
Direito (Bacharelado),EP_R2_NPPIQ_PCD,1,27.527,27.527,27.527,27.527,0.0,0.0,27.527,27.527,27.527,27.527,27.527,27.527,0.0,0.0,0.0,,
Direito (Bacharelado),EP_R2_PPI,10,16.331,-54.298,49.195,-22.6,-70.629,-71.795,-54.298,48.707,-22.6,114.506,15.413,51.9,36.487,82.774,4.024,207.46,73.143
Direito (Bacharelado),EP_R2_PPIQ,2,61.18,31.885,81.56,58.328,-29.295,-23.232,31.885,61.18,58.328,81.56,46.532,69.944,23.412,26.443,20.38,44.517,23.487
Educação Física (Bacharelado),AC,4,-33.049,15.802,44.232,78.06,48.851,33.828,-33.049,15.802,44.232,78.06,0.64,55.282,54.642,77.281,36.73,3541.599,28.55
Educação Física (Bacharelado),CN,4,-14.695,32.152,27.052,32.152,46.847,5.1,-14.695,32.152,-7.405,32.152,6.536,16.973,10.437,41.747,0.0,329.631,103.57
Educação Física (Bacharelado),EP_R1_NPPI,4,-22.536,-32.422,-22.536,31.837,-9.886,54.373,-54.427,-22.536,-33.945,31.837,-34.362,-3.233,31.129,64.259,0.0,-40.671,-939.884
Educação Física (Bacharelado),EP_R1_PPI,4,-25.052,-62.949,-25.052,11.211,-37.897,36.263,-62.949,-25.052,-26.608,11.211,-43.158,-14.608,28.55,74.16,0.0,-42.306,-120.602
Educação Física (Bacharelado),EP_R2_NPPI,4,-84.571,9.385,3.39,12.097,93.956,8.707,-84.571,9.385,3.39,44.154,-24.54,18.05,42.591,87.961,2.712,-178.603,99.203
Educação Física (Bacharelado),EP_R2_PPI,4,-94.317,-24.98,2.411,-3.544,69.337,-5.955,-94.317,-24.98,-3.544,24.338,-49.06,4.993,54.053,96.728,21.436,-62.939,264.03
Educação Física (Licenciatura),AC,4,-64.096,-13.216,10.409,39.102,50.88,28.693,-64.096,-10.111,10.409,46.723,-27.17,29.305,56.475,74.505,31.096,-92.24,56.611
Educação Física (Licenciatura),CN,4,-20.627,20.087,-2.822,20.087,40.714,22.909,-20.627,20.087,-18.38,20.087,-5.435,-0.984,4.451,17.805,0.0,-345.296,-1610.85
Educação Física (Licenciatura),EP_R1_NPPI,4,-43.227,-50.604,-20.021,-24.864,-7.377,-4.843,-92.355,-43.227,-73.207,-18.279,-60.013,-34.093,25.921,35.589,19.148,-36.684,-76.921
Educação Física (Licenciatura),EP_R1_PPI,4,-101.251,-52.013,-27.83,-31.87,49.238,-4.04,-101.251,-52.013,-31.87,-24.238,-70.712,-28.007,42.706,73.421,20.143,-31.716,-11.133
Educação Física (Licenciatura),EP_R2_NPPI,4,-70.759,-16.337,-0.024,-15.772,54.422,-15.748,-70.759,-14.459,-19.463,13.1,-30.861,-5.54,25.321,70.735,0.565,-86.793,-271.055
Educação Física (Licenciatura),EP_R2_PPI,4,-91.266,-72.467,22.938,-34.575,18.799,-57.513,-91.266,-21.729,-42.643,22.938,-63.982,-15.068,48.914,114.204,15.739,-46.397,-197.912
Educação Física Ciclo Básico (Bacharelado/Licenciatura),AC,2,-27.052,1.609,-13.512,38.076,28.661,51.588,-27.052,1.609,-13.512,38.076,-12.721,12.282,25.004,36.467,13.54,-159.308,297.006
Educação Física Ciclo Básico (Bacharelado/Licenciatura),CN,2,-34.592,-19.322,-33.682,0.653,15.27,34.335,-34.592,-19.322,-33.682,0.653,-26.957,-16.514,10.442,19.975,0.91,-40.055,-147.013
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R1_NPPIQ,1,-69.589,-69.589,-46.355,-46.355,0.0,0.0,-69.589,-69.589,-46.355,-46.355,-69.589,-46.355,23.234,23.234,23.234,,
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R2_NPPI,1,-72.598,-72.598,-29.223,-29.223,0.0,0.0,-72.598,-72.598,-29.223,-29.223,-72.598,-29.223,43.375,43.375,43.375,,
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R2_NPPIQ,1,-16.974,-16.974,0.769,0.769,0.0,0.0,-16.974,-16.974,0.769,0.769,-16.974,0.769,17.743,17.743,17.743,,
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R2_PPIQ,1,-86.267,-86.267,-8.852,-8.852,0.0,0.0,-86.267,-86.267,-8.852,-8.852,-86.267,-8.852,77.415,77.415,77.415,,
Enfermagem (Bacharelado),AC,12,9.2,53.833,70.871,90.752,44.633,19.881,2.383,59.656,9.145,128.899,31.686,73.319,43.657,86.437,6.762,62.16,43.108
Enfermagem (Bacharelado),CN,12,6.016,39.99,17.233,39.99,33.974,22.757,-45.031,49.514,-45.031,61.195,17.978,21.42,3.442,30.084,0.0,138.243,127.506
Enfermagem (Bacharelado),EP_R1_NPPI,10,-16.36,-9.897,12.216,1.734,6.463,-10.482,-49.851,26.39,-32.128,52.752,-4.966,15.399,20.365,47.978,3.013,-447.409,141.481
Enfermagem (Bacharelado),EP_R1_NPPIQ,2,-46.839,-31.522,3.143,17.682,15.317,14.539,-46.839,-31.522,3.143,17.682,-39.18,10.412,49.593,49.982,49.204,-27.643,98.733
Enfermagem (Bacharelado),EP_R1_PPI,8,-50.128,-7.654,18.233,20.717,42.474,2.484,-58.894,17.032,-13.949,48.519,-20.832,23.981,44.813,83.482,21.721,-137.015,75.475
Enfermagem (Bacharelado),EP_R2_NPPI,10,12.11,6.012,43.716,18.469,-6.098,-25.247,-16.271,64.649,-1.68,75.478,16.483,34.622,18.138,35.826,0.765,169.15,72.672
Enfermagem (Bacharelado),EP_R2_NPPIQ,2,8.744,28.885,18.405,42.362,20.141,23.957,8.744,28.885,18.405,42.362,18.815,30.384,11.569,13.477,9.661,75.696,55.754
Enfermagem (Bacharelado),EP_R2_NPPIQ_PCD,1,-43.64,-43.64,-43.64,-43.64,0.0,0.0,-43.64,-43.64,-43.64,-43.64,-43.64,-43.64,0.0,0.0,0.0,,
Enfermagem (Bacharelado),EP_R2_PPI,10,-20.508,-52.781,11.174,-29.624,-32.273,-40.798,-77.474,19.771,-42.493,42.63,-23.912,5.716,29.629,62.236,10.177,-135.578,562.003
Enfermagem (Bacharelado),EP_R2_PPIQ,2,-46.024,-32.977,-16.22,21.488,13.047,37.708,-46.024,-32.977,-16.22,21.488,-39.5,2.634,42.134,54.465,29.804,-23.356,1012.285
Engenharia Ambiental (Bacharelado),AC,5,-48.911,-53.928,18.608,39.353,-5.017,20.745,-53.928,26.947,18.608,139.431,-13.066,71.733,84.8,147.265,48.72,-285.665,66.045
Engenharia Ambiental (Bacharelado),CN,4,72.619,-51.192,72.619,-51.192,-123.811,-123.811,-51.192,72.619,-51.192,72.619,24.706,24.706,0.0,0.0,0.0,238.903,238.903
Engenharia Ambiental (Bacharelado),EP_R1_NPPI,3,-15.863,-53.536,-15.863,-53.536,-37.673,-37.673,-53.536,65.209,-53.536,65.209,-1.397,-1.397,0.0,0.0,0.0,-4344.623,-4344.623
Engenharia Ambiental (Bacharelado),EP_R1_PPI,1,-72.216,-72.216,-72.216,-72.216,0.0,0.0,-72.216,-72.216,-72.216,-72.216,-72.216,-72.216,0.0,0.0,0.0,,
Engenharia Ambiental (Bacharelado),EP_R2_NPPI,3,-14.794,-58.071,1.282,12.011,-43.277,10.729,-58.071,-14.794,-2.954,12.011,-42.634,3.446,46.081,70.082,16.076,-56.663,223.823
Engenharia Ambiental (Bacharelado),EP_R2_NPPIQ,1,-44.993,-44.993,-34.671,-34.671,0.0,0.0,-44.993,-44.993,-34.671,-34.671,-44.993,-34.671,10.322,10.322,10.322,,
Engenharia Ambiental (Bacharelado),EP_R2_PPI,4,-45.951,110.263,-23.355,110.263,156.214,133.618,-56.495,110.263,-23.355,110.263,-10.393,48.584,58.977,125.105,0.0,-775.109,115.679
Engenharia Civil (Bacharelado),AC,6,-10.667,71.072,147.15,110.0,81.739,-37.15,-14.958,96.375,63.663,147.15,40.516,113.618,84.274,157.817,29.159,112.978,27.327
Engenharia Civil (Bacharelado),CN,6,66.75,26.849,101.479,26.849,-39.901,-74.63,-48.61,66.75,-48.61,101.479,19.213,25.001,5.788,34.729,0.0,199.438,193.057
Engenharia Civil (Bacharelado),EP_R1_NPPI,3,-10.46,-19.162,-10.46,28.158,-8.702,38.618,-19.162,-10.46,-10.46,28.158,-14.798,13.766,28.565,47.32,0.0,-29.402,153.301
Engenharia Civil (Bacharelado),EP_R1_NPPIQ,1,-46.606,-46.606,-6.776,-6.776,0.0,0.0,-46.606,-46.606,-6.776,-6.776,-46.606,-6.776,39.83,39.83,39.83,,
Engenharia Civil (Bacharelado),EP_R1_PPI,4,5.858,-33.289,5.858,-33.289,-39.147,-39.147,-39.011,5.858,-33.289,18.511,-23.772,-7.672,16.101,47.159,0.0,-84.986,-312.437
Engenharia Civil (Bacharelado),EP_R2_NPPI,4,-68.924,-29.887,39.037,76.766,39.037,37.729,-68.924,-6.562,39.037,82.763,-30.5,63.041,93.541,107.961,60.158,-89.636,32.286
Engenharia Civil (Bacharelado),EP_R2_NPPIQ,1,19.123,19.123,44.103,44.103,0.0,0.0,19.123,19.123,44.103,44.103,19.123,44.103,24.98,24.98,24.98,,
Engenharia Civil (Bacharelado),EP_R2_PPI,3,-27.977,-43.065,1.668,-7.167,-15.088,-8.835,-43.065,-16.736,-7.167,85.341,-29.259,26.614,55.873,102.077,29.645,-45.152,191.818
Engenharia Civil (Bacharelado),EP_R2_PPIQ,1,-20.258,-20.258,41.376,41.376,0.0,0.0,-20.258,-20.258,41.376,41.376,-20.258,41.376,61.634,61.634,61.634,,
Engenharia Elétrica (Bacharelado),AC,5,-54.46,97.075,165.36,144.38,151.535,-20.98,-54.46,125.478,-11.328,165.36,31.445,123.592,92.147,219.82,30.822,264.102,61.384
Engenharia Elétrica (Bacharelado),CN,4,-12.144,19.288,-12.144,19.288,31.432,31.432,-12.144,85.127,-12.144,85.127,42.557,42.557,0.0,0.0,0.0,110.207,110.207
Engenharia Elétrica (Bacharelado),EP_R1_NPPI,2,-26.903,-22.252,-26.903,6.079,4.651,32.982,-26.903,-22.252,-26.903,6.079,-24.578,-10.412,14.166,28.331,0.0,-13.381,-223.99
Engenharia Elétrica (Bacharelado),EP_R1_PPI,4,-62.725,21.442,10.242,51.5,84.167,41.258,-62.725,21.442,-12.839,51.5,-13.514,12.242,25.756,72.967,0.0,-264.351,227.272
Engenharia Elétrica (Bacharelado),EP_R2_NPPI,4,-45.468,25.261,145.719,75.92,70.729,-69.799,-45.468,25.261,66.75,145.719,-15.286,105.9,121.186,191.187,50.659,-192.916,38.07
Engenharia Elétrica (Bacharelado),EP_R2_NPPIQ,1,-6.585,-6.585,58.012,58.012,0.0,0.0,-6.585,-6.585,58.012,58.012,-6.585,58.012,64.597,64.597,64.597,,
Engenharia Elétrica (Bacharelado),EP_R2_PPI,4,-25.08,51.632,33.134,72.957,76.712,39.823,-38.064,51.632,19.809,72.957,-5.188,39.95,45.138,58.214,21.325,-764.712,57.412
Engenharia Elétrica (Bacharelado),EP_R2_PPIQ,1,-23.359,-23.359,-23.359,-23.359,0.0,0.0,-23.359,-23.359,-23.359,-23.359,-23.359,-23.359,0.0,0.0,0.0,,
Engenharia Florestal (Bacharelado),AC,5,-65.083,-69.015,17.752,65.667,-3.932,47.915,-71.066,-50.298,17.752,65.667,-61.697,42.234,103.93,134.682,82.835,-15.334,44.79
Engenharia Florestal (Bacharelado),CN,5,-27.121,-59.51,8.294,-59.51,-32.389,-67.804,-59.51,-21.139,-59.51,8.294,-34.463,-27.38,7.083,35.415,0.0,-42.755,-89.311
Engenharia Florestal (Bacharelado),EP_R1_NPPI,2,-2.213,-15.457,-2.213,9.613,-13.244,11.826,-15.457,-2.213,-2.213,9.613,-8.835,3.7,12.535,25.07,0.0,-105.998,226.007
Engenharia Florestal (Bacharelado),EP_R1_PPI,2,-72.218,-21.467,20.162,-21.467,50.751,-41.629,-72.218,-21.467,-21.467,20.162,-46.842,-0.652,46.19,92.38,0.0,-76.611,-4511.287
Engenharia Florestal (Bacharelado),EP_R2_NPPI,3,-29.541,-13.984,-29.541,-13.984,15.557,15.557,-52.846,-13.984,-50.215,-13.984,-32.124,-31.247,0.877,2.631,0.0,-60.888,-58.168
