curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Arquivologia (Bacharelado),EP_R2_NPPI,3,-55.757,-34.645,-55.757,-30.382,21.112,25.375,-59.094,-34.645,-59.094,-30.382,-49.832,-48.411,1.421,4.263,0.0,-26.605,-32.436
Arquivologia (Bacharelado),EP_R2_NPPIQ,1,-70.619,-70.619,-31.332,-31.332,0.0,0.0,-70.619,-70.619,-31.332,-31.332,-70.619,-31.332,39.287,39.287,39.287,,
Arquivologia (Bacharelado),EP_R2_PPI,2,-36.22,-66.41,-34.267,-66.41,-30.19,-32.143,-66.41,-36.22,-66.41,-34.267,-51.315,-50.338,0.976,1.953,0.0,-41.601,-45.151
Artes Cênicas (Bacharelado),AC,6,-35.963,23.679,47.134,42.35,59.642,-4.784,-35.963,27.497,22.845,88.886,-7.114,42.471,49.585,124.411,1.726,-429.767,58.285
Artes Cênicas (Bacharelado),EP_R1_NPPI,1,-64.508,-64.508,-64.508,-64.508,0.0,0.0,-64.508,-64.508,-64.508,-64.508,-64.508,-64.508,0.0,0.0,0.0,,
Artes Cênicas (Bacharelado),EP_R1_PPI,3,-5.726,-42.49,-5.726,-42.49,-36.764,-36.764,-42.49,0.432,-42.49,0.432,-15.928,-15.928,0.0,0.0,0.0,-145.709,-145.709
Artes Cênicas (Bacharelado),EP_R2_NPPI,3,19.746,-19.882,19.746,-1.832,-39.628,-21.578,-19.882,19.746,-6.534,19.746,-2.223,3.793,6.017,18.05,0.0,-906.864,369.438
Artes Cênicas (Bacharelado),EP_R2_NPPIQ,1,-30.791,-30.791,18.165,18.165,0.0,0.0,-30.791,-30.791,18.165,18.165,-30.791,18.165,48.956,48.956,48.956,,
Artes Cênicas (Bacharelado),EP_R2_NPPIQ_PCD,1,-33.372,-33.372,-33.372,-33.372,0.0,0.0,-33.372,-33.372,-33.372,-33.372,-33.372,-33.372,0.0,0.0,0.0,,
Artes Cênicas (Bacharelado),EP_R2_PPI,1,-58.968,-58.968,-58.968,-58.968,0.0,0.0,-58.968,-58.968,-58.968,-58.968,-58.968,-58.968,0.0,0.0,0.0,,
