curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),CN,5,-17.392,-9.211,19.139,-40.831,0.428,5.378,8.448,22.115,-32.091,22.985,22.77,18.832,2.832,49.279,-110.047,411.181
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R1_NPPI,4,-55.379,-61.891,15.582,-65.302,-32.433,0.12,2.576,13.778,-16.98,12.31,55.5,27.43,15.453,75.145,-28.137,11457.633
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R1_NPPIQ,1,-30.926,-30.926,,-30.926,-30.926,-30.926,-30.926,,-30.926,-30.926,0.0,,0.0,0.0,,
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R1_PPI,4,-55.535,-53.51,19.219,-79.622,-35.497,-18.897,-28.071,21.696,-32.867,13.422,36.638,38.707,5.982,93.044,-34.606,-114.814
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_NPPI,4,-37.972,-36.055,9.516,-51.116,-28.663,33.266,32.052,23.301,6.009,62.948,71.238,22.209,40.504,91.611,-25.059,70.047
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_NPPIQ,1,-91.423,-91.423,,-91.423,-91.423,-6.3,-6.3,,-6.3,-6.3,85.123,,85.123,85.123,,
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_NPPIQ_PCD,1,-32.205,-32.205,,-32.205,-32.205,-32.205,-32.205,,-32.205,-32.205,0.0,,0.0,0.0,,
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_PPI,4,-67.767,-66.29,10.25,-80.884,-57.603,6.148,4.367,17.734,-12.864,28.724,73.915,20.98,49.214,99.226,-15.126,288.421
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),EP_R2_PPIQ,1,-70.919,-70.919,,-70.919,-70.919,-49.487,-49.487,,-49.487,-49.487,21.432,,21.432,21.432,,
Computação (Licenciatura),AC,6,-45.556,-24.338,43.576,-105.03,-2.433,40.884,54.5,44.702,-44.569,74.983,86.44,39.002,55.03,159.753,-95.655,109.336
Computação (Licenciatura),CN,4,-13.755,-13.548,41.37,-63.586,35.66,-13.755,-13.548,41.37,-63.586,35.66,0.0,0.0,0.0,0.0,-300.76,-300.76
Computação (Licenciatura),EP_R1_NPPI,1,-65.745,-65.745,,-65.745,-65.745,-51.109,-51.109,,-51.109,-51.109,14.636,,14.636,14.636,,
Computação (Licenciatura),EP_R1_PPI,4,-24.848,-27.435,51.351,-81.096,36.577,-20.584,-18.908,49.305,-81.096,36.577,4.264,8.528,0.0,17.056,-206.663,-239.538
Computação (Licenciatura),EP_R2_NPPI,4,-39.236,-39.738,17.534,-57.125,-20.342,-14.758,-9.923,28.397,-53.651,14.464,24.478,19.641,3.474,43.139,-44.688,-192.417
Computação (Licenciatura),EP_R2_NPPIQ,1,-44.036,-44.036,,-44.036,-44.036,-4.601,-4.601,,-4.601,-4.601,39.435,,39.435,39.435,,
Computação (Licenciatura),EP_R2_NPPI_PCD,1,18.874,18.874,,18.874,18.874,18.874,18.874,,18.874,18.874,0.0,,0.0,0.0,,
Computação (Licenciatura),EP_R2_PPI,2,-68.288,-68.288,24.123,-85.346,-51.231,-27.125,-27.125,24.043,-44.126,-10.124,41.164,48.166,7.105,75.222,-35.325,-88.638
Comunicação Organizacional (Bacharelado),AC,6,-36.423,-25.148,37.605,-98.302,8.45,45.332,59.586,32.275,-18.384,66.357,81.755,22.446,57.907,122.209,-103.248,71.196
Comunicação Organizacional (Bacharelado),CN,5,-21.931,-9.15,38.939,-78.071,23.426,-12.646,-4.348,38.636,-78.071,23.426,9.285,20.763,0.0,46.427,-177.55,-305.527
Comunicação Organizacional (Bacharelado),EP_R2_NPPI,4,-41.926,-43.099,14.119,-56.789,-24.715,-40.84,-40.929,13.512,-56.789,-24.715,1.085,2.17,0.0,4.34,-33.678,-33.085
Comunicação Organizacional (Bacharelado),EP_R2_NPPIQ,1,-83.245,-83.245,,-83.245,-83.245,15.877,15.877,,15.877,15.877,99.122,,99.122,99.122,,
Comunicação Organizacional (Bacharelado),EP_R2_PPI,2,-61.592,-61.592,21.188,-76.574,-46.61,-19.008,-19.008,6.244,-23.424,-14.593,42.584,14.943,32.017,53.15,-34.4,-32.851
Comunicação Organizacional (Bacharelado),EP_R2_PPIQ,1,-49.545,-49.545,,-49.545,-49.545,-18.438,-18.438,,-18.438,-18.438,31.107,,31.107,31.107,,
Comunicação Social - Publicidade e Propaganda (Bacharelado),AC,6,58.324,59.724,14.716,40.414,77.921,85.924,86.414,26.009,48.42,120.186,31.52,23.047,8.006,57.702,25.232,30.27
Comunicação Social - Publicidade e Propaganda (Bacharelado),CN,6,33.941,41.794,41.214,-45.956,66.561,36.215,48.616,41.93,-45.956,66.561,2.274,5.571,0.0,13.645,121.428,115.78
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R1_NPPI,4,-10.932,-11.382,34.597,-49.871,28.907,2.127,3.295,22.871,-26.988,28.907,13.06,26.119,0.0,52.238,-316.467,1075.163
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R1_NPPIQ,1,-29.329,-29.329,,-29.329,-29.329,-29.329,-29.329,,-29.329,-29.329,0.0,,0.0,0.0,,
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R1_PPI,4,-16.369,-11.472,19.124,-43.64,1.108,13.048,12.285,16.21,-1.404,29.027,29.417,29.513,10.034,72.667,-116.829,124.231
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_NPPI,5,16.704,22.817,49.376,-39.668,73.446,26.389,31.547,39.369,-14.554,73.446,9.685,11.188,0.0,27.114,295.597,149.186
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_NPPIQ,1,50.59,50.59,,50.59,50.59,50.59,50.59,,50.59,50.59,0.0,,0.0,0.0,,
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_PPI,4,-20.72,-11.628,39.855,-74.578,14.955,8.109,25.36,58.611,-74.578,56.294,28.829,19.397,0.0,41.339,-192.351,722.813
Comunicação Social - Publicidade e Propaganda (Bacharelado),EP_R2_PPIQ,1,-41.458,-41.458,,-41.458,-41.458,-16.426,-16.426,,-16.426,-16.426,25.032,,25.032,25.032,,
Comunicação Social – Audiovisual (Bacharelado),AC,6,62.082,64.294,16.42,39.969,86.509,116.203,110.494,43.155,57.784,175.444,54.596,27.118,17.815,88.935,26.448,37.138
Comunicação Social – Audiovisual (Bacharelado),CN,6,-8.319,1.484,38.686,-55.674,48.632,-8.319,1.484,38.686,-55.674,48.632,0.0,0.0,0.0,0.0,-465.019,-465.019
Comunicação Social – Audiovisual (Bacharelado),EP_R1_NPPI,2,-13.234,-13.234,29.547,-34.127,7.659,-1.547,-1.547,13.019,-10.753,7.659,11.687,16.528,0.0,23.374,-223.267,-841.58
Comunicação Social – Audiovisual (Bacharelado),EP_R1_PPI,3,-31.153,-36.365,12.394,-40.091,-17.004,-13.641,-14.344,23.083,-36.365,9.785,17.512,28.06,0.0,49.876,-39.785,-169.214
Comunicação Social – Audiovisual (Bacharelado),EP_R2_NPPI,5,-18.187,-15.585,18.71,-42.029,5.234,26.977,9.153,31.675,-0.538,74.452,45.164,31.4,2.205,90.037,-102.878,117.415
Comunicação Social – Audiovisual (Bacharelado),EP_R2_NPPIQ,1,41.977,41.977,,41.977,41.977,41.977,41.977,,41.977,41.977,0.0,,0.0,0.0,,
Comunicação Social – Audiovisual (Bacharelado),EP_R2_PPI,3,-39.839,-28.396,20.833,-63.885,-27.235,-5.726,13.364,51.348,-63.885,33.343,34.113,31.376,0.0,61.739,-52.293,-896.756
Comunicação Social – Audiovisual (Bacharelado),EP_R2_PPIQ,1,-32.295,-32.295,,-32.295,-32.295,26.778,26.778,,26.778,26.778,59.073,,59.073,59.073,,
Comunicação Social – Audiovisual (Bacharelado),EP_R2_PPI_PCD,1,-6.39,-6.39,,-6.39,-6.39,-6.39,-6.39,,-6.39,-6.39,0.0,,0.0,0.0,,
Design – Programação Visual/Projeto do Produto (Bacharelado),AC,6,75.548,78.81,11.231,54.836,87.407,103.319,107.888,18.97,69.182,125.943,27.771,11.903,14.346,46.19,14.866,18.361
Design – Programação Visual/Projeto do Produto (Bacharelado),CN,6,8.046,15.33,49.034,-82.226,61.424,12.309,28.12,49.989,-82.226,61.424,4.263,10.443,0.0,25.58,609.43,406.111
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R1_NPPI,5,-17.612,-13.605,39.651,-63.935,38.427,-14.948,-3.349,40.427,-63.935,38.427,2.664,5.956,0.0,13.319,-225.141,-270.456
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R1_NPPIQ,1,-55.242,-55.242,,-55.242,-55.242,-7.149,-7.149,,-7.149,-7.149,48.093,,48.093,48.093,,
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R1_PPI,4,-25.661,-27.966,11.247,-36.333,-10.378,-8.35,-11.221,6.386,-12.16,1.203,17.311,6.481,11.581,25.315,-43.831,-76.482
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R2_NPPI,1,26.07,26.07,,26.07,26.07,26.07,26.07,,26.07,26.07,0.0,,0.0,0.0,,
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R2_PPI,5,-16.512,-22.489,40.095,-61.294,47.464,3.87,9.31,31.708,-29.644,47.464,20.383,14.921,0.0,31.799,-242.815,819.293
Design – Programação Visual/Projeto do Produto (Bacharelado),EP_R2_PPIQ,1,-44.318,-44.318,,-44.318,-44.318,-44.259,-44.259,,-44.259,-44.259,0.059,,0.059,0.059,,
Direito (Bacharelado),AC,11,100.031,101.827,24.406,56.835,137.491,137.928,130.082,29.718,82.163,176.907,35.596,19.266,6.135,67.767,24.398,21.546
Direito (Bacharelado),CN,12,63.987,67.314,20.621,30.06,101.124,91.394,90.31,24.06,30.572,130.856,27.408,14.815,0.512,57.199,32.227,26.325
Direito (Bacharelado),EP_R1_NPPI,10,14.62,25.149,25.031,-30.887,44.672,41.622,54.002,34.581,-20.32,96.173,27.002,18.189,3.406,69.508,171.21,83.083
Direito (Bacharelado),EP_R1_NPPIQ,2,-6.18,-6.18,29.365,-26.945,14.584,51.262,51.262,21.191,36.277,66.246,57.442,8.174,51.662,63.222,-475.13,41.34
Direito (Bacharelado),EP_R1_NPPI_PCD,1,-22.954,-22.954,,-22.954,-22.954,-22.954,-22.954,,-22.954,-22.954,0.0,,0.0,0.0,,
Direito (Bacharelado),EP_R1_PPI,9,-6.889,-5.484,15.562,-26.837,19.392,35.268,42.274,31.096,-13.238,69.167,42.158,23.325,6.489,82.46,-225.875,88.17
Direito (Bacharelado),EP_R1_PPIQ,2,-64.218,-64.218,33.312,-87.773,-40.663,-10.442,-10.442,22.83,-26.586,5.701,53.775,56.142,14.077,93.474,-51.873,-218.629
Direito (Bacharelado),EP_R1_PPI_PCD,1,-15.077,-15.077,,-15.077,-15.077,-15.077,-15.077,,-15.077,-15.077,0.0,,0.0,0.0,,
Direito (Bacharelado),EP_R2_NPPI,9,61.412,59.961,30.012,20.26,100.598,93.442,94.48,26.312,61.664,133.701,32.029,27.766,6.549,98.082,48.87,28.159
Direito (Bacharelado),EP_R2_NPPIQ,2,108.013,108.013,22.39,92.181,123.845,108.344,108.344,21.922,92.842,123.845,0.331,0.467,0.0,0.661,20.729,20.234
Direito (Bacharelado),EP_R2_NPPIQ_PCD,1,27.527,27.527,,27.527,27.527,27.527,27.527,,27.527,27.527,0.0,,0.0,0.0,,
Direito (Bacharelado),EP_R2_PPI,10,15.413,25.044,31.976,-54.298,48.707,51.9,50.963,37.961,-22.6,114.506,36.487,21.545,4.024,82.774,207.46,73.143
Direito (Bacharelado),EP_R2_PPIQ,2,46.532,46.532,20.715,31.885,61.18,69.944,69.944,16.428,58.328,81.56,23.412,4.287,20.38,26.443,44.517,23.487
Educação Física (Bacharelado),AC,4,0.64,9.904,22.666,-33.049,15.802,55.282,49.417,15.783,44.232,78.06,54.642,18.653,36.73,77.281,3541.599,28.55
Educação Física (Bacharelado),CN,4,6.536,4.344,21.545,-14.695,32.152,16.973,21.572,17.579,-7.405,32.152,10.437,20.874,0.0,41.747,329.631,103.57
Educação Física (Bacharelado),EP_R1_NPPI,4,-34.362,-30.242,13.975,-54.427,-22.536,-3.232,-5.411,30.382,-33.945,31.837,31.129,27.415,0.0,64.259,-40.671,-939.884
Educação Física (Bacharelado),EP_R1_PPI,4,-43.158,-42.316,18.258,-62.949,-25.052,-14.608,-21.516,17.617,-26.608,11.211,28.55,32.421,0.0,74.16,-42.306,-120.602
Educação Física (Bacharelado),EP_R2_NPPI,4,-24.54,-11.488,43.83,-84.571,9.385,18.05,12.328,17.906,3.39,44.154,42.591,44.667,2.712,87.961,-178.603,99.203
Educação Física (Bacharelado),EP_R2_PPI,4,-49.06,-38.472,30.878,-94.317,-24.98,4.993,-0.411,13.184,-3.544,24.338,54.053,32.726,21.436,96.728,-62.939,264.03
Educação Física (Licenciatura),AC,4,-27.17,-17.236,25.061,-64.096,-10.111,29.305,30.043,16.59,10.409,46.723,56.475,19.311,31.096,74.505,-92.24,56.611
Educação Física (Licenciatura),CN,4,-5.435,-10.6,18.767,-20.627,20.087,-0.984,-2.821,15.847,-18.38,20.087,4.451,8.902,0.0,17.805,-345.296,-1610.85
Educação Física (Licenciatura),EP_R1_NPPI,4,-60.014,-52.236,22.016,-92.355,-43.227,-34.093,-22.443,26.225,-73.207,-18.279,25.921,6.994,19.148,35.589,-36.684,-76.921
Educação Física (Licenciatura),EP_R1_PPI,4,-70.712,-64.793,22.427,-101.251,-52.013,-28.007,-27.96,3.118,-31.87,-24.238,42.706,23.93,20.143,73.421,-31.716,-11.133
Educação Física (Licenciatura),EP_R2_NPPI,4,-30.861,-19.113,26.785,-70.759,-14.459,-5.54,-7.898,15.016,-19.463,13.1,25.321,32.683,0.565,70.735,-86.793,-271.055
Educação Física (Licenciatura),EP_R2_PPI,4,-63.982,-71.466,29.686,-91.266,-21.729,-15.068,-20.283,29.82,-42.643,22.938,48.914,44.459,15.739,114.204,-46.397,-197.912
Educação Física Ciclo Básico (Bacharelado/Licenciatura),AC,2,-12.721,-12.721,20.266,-27.052,1.609,12.282,12.282,36.478,-13.512,38.076,25.004,16.212,13.54,36.467,-159.308,297.006
Educação Física Ciclo Básico (Bacharelado/Licenciatura),CN,2,-26.957,-26.957,10.798,-34.592,-19.322,-16.514,-16.514,24.279,-33.682,0.653,10.442,13.481,0.91,19.975,-40.055,-147.013
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R1_NPPIQ,1,-69.589,-69.589,,-69.589,-69.589,-46.355,-46.355,,-46.355,-46.355,23.234,,23.234,23.234,,
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R2_NPPI,1,-72.598,-72.598,,-72.598,-72.598,-29.223,-29.223,,-29.223,-29.223,43.375,,43.375,43.375,,
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R2_NPPIQ,1,-16.974,-16.974,,-16.974,-16.974,0.769,0.769,,0.769,0.769,17.743,,17.743,17.743,,
Educação Física Ciclo Básico (Bacharelado/Licenciatura),EP_R2_PPIQ,1,-86.267,-86.267,,-86.267,-86.267,-8.852,-8.852,,-8.852,-8.852,77.415,,77.415,77.415,,
Enfermagem (Bacharelado),AC,12,31.686,29.028,19.696,2.383,59.656,73.319,73.121,31.606,9.145,128.899,43.657,25.252,6.762,86.437,62.16,43.108
Enfermagem (Bacharelado),CN,12,17.978,21.607,24.853,-45.031,49.514,21.42,21.607,27.311,-45.031,61.195,3.442,8.988,0.0,30.084,138.243,127.506
Enfermagem (Bacharelado),EP_R1_NPPI,10,-4.966,-1.969,22.219,-49.851,26.39,15.399,13.419,21.786,-32.128,52.752,20.365,16.523,3.013,47.978,-447.409,141.481
Enfermagem (Bacharelado),EP_R1_NPPIQ,2,-39.18,-39.18,10.831,-46.839,-31.522,10.412,10.412,10.281,3.143,17.682,49.593,0.55,49.204,49.982,-27.643,98.733
Enfermagem (Bacharelado),EP_R1_PPI,8,-20.832,-21.662,28.543,-58.894,17.032,23.981,25.036,18.1,-13.949,48.519,44.813,23.478,21.721,83.482,-137.015,75.475
Enfermagem (Bacharelado),EP_R2_NPPI,10,16.483,9.061,27.882,-16.271,64.649,34.622,38.558,25.16,-1.68,75.478,18.138,11.099,0.765,35.826,169.15,72.672
Enfermagem (Bacharelado),EP_R2_NPPIQ,2,18.815,18.815,14.242,8.744,28.885,30.384,30.384,16.94,18.405,42.362,11.569,2.698,9.661,13.477,75.696,55.754
Enfermagem (Bacharelado),EP_R2_NPPIQ_PCD,1,-43.64,-43.64,,-43.64,-43.64,-43.64,-43.64,,-43.64,-43.64,0.0,,0.0,0.0,,
Enfermagem (Bacharelado),EP_R2_PPI,10,-23.912,-19.895,32.42,-77.474,19.771,5.716,15.334,32.125,-42.493,42.63,29.629,14.619,10.177,62.236,-135.578,562.003
Enfermagem (Bacharelado),EP_R2_PPIQ,2,-39.5,-39.5,9.226,-46.024,-32.977,2.634,2.634,26.664,-16.22,21.488,42.134,17.438,29.804,54.465,-23.356,1012.285
Engenharia Ambiental (Bacharelado),AC,5,-13.066,-7.834,37.326,-53.928,26.947,71.733,67.115,47.376,18.608,139.431,84.8,38.352,48.72,147.265,-285.665,66.045
Engenharia Ambiental (Bacharelado),CN,4,24.706,38.7,59.025,-51.192,72.619,24.706,38.7,59.025,-51.192,72.619,0.0,0.0,0.0,0.0,238.903,238.903
Engenharia Ambiental (Bacharelado),EP_R1_NPPI,3,-1.397,-15.863,60.68,-53.536,65.209,-1.397,-15.863,60.68,-53.536,65.209,0.0,0.0,0.0,0.0,-4344.623,-4344.623
Engenharia Ambiental (Bacharelado),EP_R1_PPI,1,-72.216,-72.216,,-72.216,-72.216,-72.216,-72.216,,-72.216,-72.216,0.0,,0.0,0.0,,
Engenharia Ambiental (Bacharelado),EP_R2_NPPI,3,-42.634,-55.038,24.158,-58.071,-14.794,3.446,1.282,7.714,-2.954,12.011,46.081,27.499,16.076,70.082,-56.663,223.823
Engenharia Ambiental (Bacharelado),EP_R2_NPPIQ,1,-44.993,-44.993,,-44.993,-44.993,-34.671,-34.671,,-34.671,-34.671,10.322,,10.322,10.322,,
Engenharia Ambiental (Bacharelado),EP_R2_PPI,4,-10.393,-47.67,80.557,-56.495,110.263,48.584,53.714,56.202,-23.355,110.263,58.977,57.819,0.0,125.105,-775.109,115.679
Engenharia Civil (Bacharelado),AC,6,40.516,50.636,45.774,-14.958,96.375,113.618,120.301,31.049,63.663,147.15,84.274,60.771,29.159,157.817,112.978,27.327
Engenharia Civil (Bacharelado),CN,6,19.213,21.768,38.317,-48.61,66.75,25.001,21.768,48.266,-48.61,101.479,5.788,14.178,0.0,34.729,199.438,193.057
Engenharia Civil (Bacharelado),EP_R1_NPPI,3,-14.798,-14.773,4.351,-19.162,-10.46,13.766,23.601,21.104,-10.46,28.158,28.565,25.139,0.0,47.32,-29.402,153.301
Engenharia Civil (Bacharelado),EP_R1_NPPIQ,1,-46.606,-46.606,,-46.606,-46.606,-6.776,-6.776,,-6.776,-6.776,39.83,,39.83,39.83,,
Engenharia Civil (Bacharelado),EP_R1_PPI,4,-23.772,-30.968,20.203,-39.011,5.858,-7.672,-7.954,23.969,-33.289,18.511,16.101,22.244,0.0,47.159,-84.986,-312.437
Engenharia Civil (Bacharelado),EP_R2_NPPI,4,-30.5,-23.257,27.339,-68.924,-6.562,63.04,65.181,20.353,39.037,82.763,93.541,22.572,60.158,107.961,-89.636,32.286
Engenharia Civil (Bacharelado),EP_R2_NPPIQ,1,19.123,19.123,,19.123,19.123,44.103,44.103,,44.103,44.103,24.98,,24.98,24.98,,
Engenharia Civil (Bacharelado),EP_R2_PPI,3,-29.259,-27.977,13.211,-43.065,-16.736,26.614,1.668,51.051,-7.167,85.341,55.873,40.136,29.645,102.077,-45.152,191.818
Engenharia Civil (Bacharelado),EP_R2_PPIQ,1,-20.258,-20.258,,-20.258,-20.258,41.376,41.376,,41.376,41.376,61.634,,61.634,61.634,,
Engenharia Elétrica (Bacharelado),AC,5,31.445,41.135,83.046,-54.46,125.478,123.592,156.3,75.866,-11.328,165.36,92.147,80.03,30.822,219.82,264.102,61.384
Engenharia Elétrica (Bacharelado),CN,4,42.557,48.622,46.901,-12.144,85.127,42.557,48.622,46.901,-12.144,85.127,0.0,0.0,0.0,0.0,110.207,110.207
Engenharia Elétrica (Bacharelado),EP_R1_NPPI,2,-24.578,-24.578,3.289,-26.903,-22.252,-10.412,-10.412,23.322,-26.903,6.079,14.166,20.033,0.0,28.331,-13.381,-223.99
Engenharia Elétrica (Bacharelado),EP_R1_PPI,4,-13.514,-6.386,35.724,-62.725,21.442,12.242,5.155,27.824,-12.839,51.5,25.756,34.516,0.0,72.967,-264.351,227.272
Engenharia Elétrica (Bacharelado),EP_R2_NPPI,4,-15.286,-20.468,29.489,-45.468,25.261,105.9,105.566,40.316,66.75,145.719,121.186,63.78,50.659,191.187,-192.916,38.07
Engenharia Elétrica (Bacharelado),EP_R2_NPPIQ,1,-6.585,-6.585,,-6.585,-6.585,58.012,58.012,,58.012,58.012,64.597,,64.597,64.597,,
Engenharia Elétrica (Bacharelado),EP_R2_PPI,4,-5.188,-17.16,39.671,-38.064,51.632,39.95,33.517,22.936,19.809,72.957,45.138,17.361,21.325,58.214,-764.712,57.412
Engenharia Elétrica (Bacharelado),EP_R2_PPIQ,1,-23.359,-23.359,,-23.359,-23.359,-23.359,-23.359,,-23.359,-23.359,0.0,,0.0,0.0,,
Engenharia Florestal (Bacharelado),AC,5,-61.697,-65.083,9.461,-71.066,-50.298,42.234,42.301,18.916,17.752,65.667,103.93,19.169,82.835,134.682,-15.334,44.79
Engenharia Florestal (Bacharelado),CN,5,-34.463,-32.127,14.735,-59.51,-21.139,-27.38,-32.127,24.453,-59.51,8.294,7.083,15.838,0.0,35.415,-42.755,-89.311
Engenharia Florestal (Bacharelado),EP_R1_NPPI,2,-8.835,-8.835,9.365,-15.457,-2.213,3.7,3.7,8.362,-2.213,9.613,12.535,17.727,0.0,25.07,-105.998,226.007
Engenharia Florestal (Bacharelado),EP_R1_PPI,2,-46.842,-46.842,35.886,-72.218,-21.467,-0.652,-0.652,29.436,-21.467,20.162,46.19,65.323,0.0,92.38,-76.611,-4511.287
Engenharia Florestal (Bacharelado),EP_R2_NPPI,3,-32.124,-29.541,19.559,-52.846,-13.984,-31.247,-29.541,18.176,-50.215,-13.984,0.877,1.519,0.0,2.631,-60.888,-58.168
Engenharia Florestal (Bacharelado),EP_R2_NPPIQ,1,-27.754,-27.754,,-27.754,-27.754,-27.754,-27.754,,-27.754,-27.754,0.0,,0.0,0.0,,
Engenharia Florestal (Bacharelado),EP_R2_PPI,3,-33.151,-42.766,23.988,-50.84,-5.848,-20.564,-13.077,19.565,-42.766,-5.848,12.588,21.802,0.0,37.763,-72.358,-95.141
Engenharia Mecatrônica (Bacharelado),AC,5,47.911,71.137,62.957,-40.37,116.231,132.379,156.247,54.447,37.891,170.136,84.468,56.33,29.351,175.129,131.404,41.13
Engenharia Mecatrônica (Bacharelado),CN,5,56.383,53.035,60.031,-19.965,139.153,60.681,53.035,53.626,1.525,139.153,4.298,9.611,0.0,21.49,106.471,88.374
Engenharia Mecatrônica (Bacharelado),EP_R1_NPPI,3,-34.79,-32.767,6.836,-42.409,-29.193,-24.309,-32.767,22.427,-41.277,1.117,10.481,17.182,0.0,30.31,-19.65,-92.258
Engenharia Mecatrônica (Bacharelado),EP_R1_NPPIQ,1,-4.756,-4.756,,-4.756,-4.756,8.105,8.105,,8.105,8.105,12.861,,12.861,12.861,,
Engenharia Mecatrônica (Bacharelado),EP_R1_PPI,3,-29.963,-27.662,6.903,-37.722,-24.504,53.607,54.405,6.637,46.608,59.809,83.57,8.952,74.27,92.127,-23.038,12.38
Engenharia Mecatrônica (Bacharelado),EP_R2_NPPI,5,-15.903,-40.631,47.915,-65.329,49.02,48.061,65.536,40.298,-19.947,79.438,63.964,33.867,30.418,112.362,-301.302,83.847
Engenharia Mecatrônica (Bacharelado),EP_R2_NPPIQ,1,-19.193,-19.193,,-19.193,-19.193,79.642,79.642,,79.642,79.642,98.835,,98.835,98.835,,
Engenharia Mecatrônica (Bacharelado),EP_R2_PPI,3,-27.903,-39.081,26.119,-46.573,1.944,8.256,1.944,31.926,-20.043,42.867,36.159,47.114,0.0,89.44,-93.604,386.706
Engenharia Mecatrônica (Bacharelado),EP_R2_PPIQ,1,-53.086,-53.086,,-53.086,-53.086,-27.897,-27.897,,-27.897,-27.897,25.189,,25.189,25.189,,
Engenharia Mecânica (Bacharelado),AC,6,28.009,69.293,79.775,-102.234,88.12,122.53,142.555,53.665,27.385,154.863,104.949,80.025,48.546,244.789,284.823,43.797
Engenharia Mecânica (Bacharelado),CN,6,25.285,26.444,42.095,-47.32,68.151,25.791,27.962,42.142,-47.32,68.151,0.506,1.24,0.0,3.038,166.484,163.399
Engenharia Mecânica (Bacharelado),EP_R1_NPPI,2,-36.307,-36.307,5.575,-40.249,-32.365,0.708,0.708,46.773,-32.365,33.782,37.016,52.348,0.0,74.031,-15.355,6601.693
Engenharia Mecânica (Bacharelado),EP_R1_NPPIQ,1,-69.376,-69.376,,-69.376,-69.376,-69.376,-69.376,,-69.376,-69.376,0.0,,0.0,0.0,,
Engenharia Mecânica (Bacharelado),EP_R1_PPI,4,-16.873,-27.828,27.043,-34.593,22.756,-1.54,1.04,22.508,-30.996,22.756,15.333,18.014,0.0,39.692,-160.276,-1461.542
Engenharia Mecânica (Bacharelado),EP_R2_NPPI,4,-17.784,-17.391,9.236,-28.117,-8.237,65.032,55.078,47.296,20.947,129.024,82.816,38.81,49.064,137.261,-51.933,72.727
Engenharia Mecânica (Bacharelado),EP_R2_NPPIQ,1,-1.775,-1.775,,-1.775,-1.775,66.886,66.886,,66.886,66.886,68.661,,68.661,68.661,,
Engenharia Mecânica (Bacharelado),EP_R2_PPI,3,-52.895,-68.903,42.084,-84.626,-5.156,-0.875,32.83,66.56,-77.546,42.09,52.02,53.359,7.08,110.993,-79.561,-7603.958
Engenharia Mecânica (Bacharelado),EP_R2_PPIQ,1,5.003,5.003,,5.003,5.003,17.361,17.361,,17.361,17.361,12.358,,12.358,12.358,,
Engenharia Química (Bacharelado),AC,6,26.86,55.614,53.139,-50.087,70.109,101.419,134.041,62.259,-7.947,136.761,83.209,61.147,23.789,184.128,197.837,61.388
Engenharia Química (Bacharelado),CN,3,24.62,11.144,28.148,5.744,56.973,24.62,11.144,28.148,5.744,56.973,0.0,0.0,0.0,0.0,114.328,114.328
Engenharia Química (Bacharelado),EP_R1_NPPI,3,-48.871,-47.162,6.223,-55.77,-43.682,-48.871,-47.162,6.223,-55.77,-43.682,0.0,0.0,0.0,0.0,-12.733,-12.733
Engenharia Química (Bacharelado),EP_R1_PPI,4,9.035,16.528,33.108,-35.915,38.999,29.592,33.441,17.828,5.342,46.146,20.558,23.738,0.0,41.257,366.457,60.245
Engenharia Química (Bacharelado),EP_R2_NPPI,4,1.547,-1.532,40.503,-42.449,51.7,112.688,125.822,29.141,79.292,132.95,115.123,76.383,27.592,168.271,2618.575,25.859
Engenharia Química (Bacharelado),EP_R2_NPPIQ,1,-59.302,-59.302,,-59.302,-59.302,49.093,49.093,,49.093,49.093,108.395,,108.395,108.395,,
