curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Arquivologia (Bacharelado),EP_R2_PPI,2,-51.315,-51.315,21.348,-66.41,-36.22,-50.338,-50.338,22.729,-66.41,-34.267,0.976,1.381,0.0,1.953,-41.601,-45.151
Artes Cênicas (Bacharelado),AC,6,-7.114,-11.186,30.574,-35.963,27.497,42.471,35.787,24.754,22.845,88.886,49.585,47.324,1.726,124.411,-429.767,58.285
Artes Cênicas (Bacharelado),EP_R1_NPPI,1,-64.508,-64.508,,-64.508,-64.508,-64.508,-64.508,,-64.508,-64.508,0.0,,0.0,0.0,,
Artes Cênicas (Bacharelado),EP_R1_PPI,3,-15.928,-5.726,23.209,-42.49,0.432,-15.928,-5.726,23.209,-42.49,0.432,0.0,0.0,0.0,0.0,-145.709,-145.709
Artes Cênicas (Bacharelado),EP_R2_NPPI,3,-2.223,-6.534,20.163,-19.882,19.746,3.793,-1.832,14.014,-6.534,19.746,6.017,10.421,0.0,18.05,-906.864,369.438
Artes Cênicas (Bacharelado),EP_R2_NPPIQ,1,-30.791,-30.791,,-30.791,-30.791,18.165,18.165,,18.165,18.165,48.956,,48.956,48.956,,
Artes Cênicas (Bacharelado),EP_R2_NPPIQ_PCD,1,-33.372,-33.372,,-33.372,-33.372,-33.372,-33.372,,-33.372,-33.372,0.0,,0.0,0.0,,
Artes Cênicas (Bacharelado),EP_R2_PPI,1,-58.968,-58.968,,-58.968,-58.968,-58.968,-58.968,,-58.968,-58.968,0.0,,0.0,0.0,,
Artes Cênicas (Licenciatura),AC,2,-32.88,-32.88,28.985,-53.375,-12.384,23.152,23.152,9.089,16.725,29.579,56.031,19.896,41.963,70.1,-88.155,39.259
Artes Cênicas (Licenciatura),EP_R2_NPPIQ,1,-49.808,-49.808,,-49.808,-49.808,-49.808,-49.808,,-49.808,-49.808,0.0,,0.0,0.0,,
Artes Cênicas (Licenciatura),EP_R2_PPIQ,1,-62.337,-62.337,,-62.337,-62.337,-53.522,-53.522,,-53.522,-53.522,8.815,,8.815,8.815,,
Artes Cênicas (Literatura),AC,5,-30.55,-49.27,37.325,-68.863,18.627,36.423,21.881,33.651,18.627,96.437,66.972,57.866,0.0,145.707,-122.178,92.389
Artes Cênicas (Literatura),EP_R1_NPPI,2,-13.543,-13.543,40.323,-42.056,14.969,4.953,4.953,14.165,-5.063,14.969,18.496,26.158,0.0,36.993,-297.728,285.984
Artes Cênicas (Literatura),EP_R1_PPI,1,-10.798,-10.798,,-10.798,-10.798,-10.798,-10.798,,-10.798,-10.798,0.0,,0.0,0.0,,
Artes Cênicas (Literatura),EP_R2_NPPI,2,-45.06,-45.06,33.225,-68.553,-21.566,-45.06,-45.06,33.225,-68.553,-21.566,0.0,0.0,0.0,0.0,-73.735,-73.735
Artes Cênicas (Literatura),EP_R2_PPI,1,-49.617,-49.617,,-49.617,-49.617,-49.617,-49.617,,-49.617,-49.617,0.0,,0.0,0.0,,
Artes Visuais (Bacharelado),AC,6,-20.002,-19.65,37.916,-68.761,29.41,40.637,44.768,26.194,9.382,75.062,60.638,25.59,29.504,96.379,-189.563,64.458
