Curso,Campus,Turno,Modalidade,Histórico (mín.),Histórico (máx.),Última nota mínima,Última nota máxima,Previsão mínima,Previsão máxima,Intervalo previsto,Desvio (mín.),Desvio (máx.),Modelos (mín.),Modelos (máx.),Confiabilidade (mín.),Confiabilidade (máx.),Tendência (mín.),Tendência (máx.)
Comunicação Organizacional (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,5,5,8.45,66.36,-16.54,42.02,58.56,18.59,17.02,4,4,Moderada,Moderada,Forte queda,Forte queda
Comunicação Organizacional (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,4,4,-4.35,-4.35,1.54,-5.01,-6.55,7.96,4.35,4,4,Moderada,Moderada,Forte alta,Estável
Comunicação Organizacional (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,3,3,-56.79,-56.79,-57.42,-57.42,0.0,9.13,9.13,4,4,Moderada,Moderada,Estável,Estável
Comunicação Organizacional (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPIQ,1,1,-83.24,15.88,-83.24,15.88,99.12,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Organizacional (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,1,1,-46.61,-14.59,-46.61,-14.59,32.02,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Organizacional (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPIQ,1,1,-49.54,-18.44,-49.54,-18.44,31.11,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,1,0,77.92,,77.92,,,0.0,,2,0,Baixa,Sem histórico,Estável,Indeterminada
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,35.41,35.41,35.41,35.41,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,4.22,4.22,4.22,4.22,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,1.11,24.99,1.11,24.99,23.88,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,54.06,54.06,54.06,54.06,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,14.96,56.29,14.96,56.29,41.34,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,56.96,86.41,55.88,73.96,18.08,2.1,10.99,4,4,Alta,Moderada,Queda,Forte queda
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,44.42,44.42,22.72,20.8,-1.92,16.64,18.99,4,4,Moderada,Moderada,Forte queda,Forte queda
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,3,3,28.91,28.91,28.58,18.82,-9.77,22.37,10.75,4,4,Moderada,Moderada,Estável,Forte queda
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-29.33,-29.33,-29.33,-29.33,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-11.44,-1.4,-5.44,-6.83,-1.4,10.34,9.68,4,4,Moderada,Moderada,Forte alta,Forte queda
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,4,4,-39.67,-12.55,-15.15,7.05,22.2,22.21,17.08,4,4,Moderada,Moderada,Forte alta,Forte alta
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,50.59,50.59,50.59,50.59,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-74.58,-74.58,-62.73,-58.77,3.96,16.36,26.43,4,4,Moderada,Moderada,Forte alta,Forte alta
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-41.46,-16.43,-41.46,-16.43,25.03,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,1,0,64.46,,64.46,,,0.0,,2,0,Baixa,Sem histórico,Estável,Indeterminada
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,48.63,48.63,48.63,48.63,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-36.36,-36.36,-36.36,-36.36,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,-7.57,44.38,-7.57,44.38,51.95,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,-28.4,33.34,-28.4,33.34,61.74,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,69.43,134.18,63.67,112.57,48.9,4.12,15.05,4,4,Moderada,Moderada,Forte queda,Forte queda
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,-55.67,-55.67,-32.51,-32.51,0.0,18.18,18.18,4,4,Moderada,Moderada,Forte alta,Forte alta
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,2,2,-34.13,-10.75,-51.54,-18.42,33.11,28.72,12.65,4,4,Moderada,Moderada,Forte queda,Forte queda
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,2,2,-17.0,-14.34,-13.16,-18.36,-5.21,9.43,9.85,4,4,Moderada,Moderada,Alta,Queda
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,4,4,-42.03,-0.54,-32.66,19.63,52.29,9.18,14.25,4,4,Moderada,Moderada,Forte alta,Forte alta
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,41.98,41.98,41.98,41.98,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,2,2,-63.88,-63.88,-69.99,-76.76,-6.77,14.96,31.54,4,4,Moderada,Moderada,Forte queda,Forte queda
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-32.3,26.78,-32.3,26.78,59.07,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI_PCD,1,1,-6.39,-6.39,-6.39,-6.39,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,80.91,98.28,80.91,98.28,17.37,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,24.03,24.03,24.03,24.03,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,-45.6,-45.6,-45.6,-45.6,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-31.24,-11.42,-31.24,-11.42,19.82,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,47.46,47.46,47.46,47.46,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,87.41,110.73,77.41,96.53,19.11,6.96,11.3,4,4,Moderada,Moderada,Forte queda,Forte queda
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,3.14,3.14,-13.79,-17.4,-3.61,16.48,21.1,4,4,Moderada,Moderada,Forte queda,Forte queda
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,4,4,-63.94,-63.94,-47.1,-49.31,-2.22,21.2,22.44,4,4,Moderada,Moderada,Forte alta,Forte alta
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-55.24,-7.15,-55.24,-7.15,48.09,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-10.38,1.2,-9.38,-0.11,9.27,7.43,3.6,4,4,Moderada,Alta,Estável,Queda
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,1,1,26.07,26.07,26.07,26.07,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,4,4,-61.29,-29.64,-56.03,-30.99,25.04,11.73,11.91,4,4,Moderada,Moderada,Forte alta,Queda
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-44.32,-44.26,-44.32,-44.26,0.06,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,71.7,98.15,71.7,98.15,26.44,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,28.28,53.85,28.28,53.85,25.57,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,1.03,53.76,1.03,53.76,52.74,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,48.71,52.73,48.71,52.73,4.02,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Noturno,AC,1,0,77.02,,77.02,,,0.0,,2,0,Baixa,Sem histórico,Estável,Indeterminada
Direito (Bacharelado),Darcy Ribeiro,Noturno,CN,1,1,52.9,84.59,52.9,84.59,31.69,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1,1,12.3,37.52,12.3,37.52,25.21,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,1,1,2.33,42.27,2.33,42.27,39.94,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,1,54.37,61.66,54.37,61.66,7.3,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1,1,38.28,74.35,38.28,74.35,36.07,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,137.49,172.04,132.06,160.71,28.65,6.38,7.61,4,4,Moderada,Moderada,Forte queda,Forte queda
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,85.36,112.75,76.54,101.1,24.56,5.9,8.4,4,4,Moderada,Moderada,Forte queda,Forte queda
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,4,4,1.72,12.53,7.14,18.82,11.68,10.31,14.39,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,14.58,66.25,14.58,66.25,51.66,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI_PCD,1,1,-22.95,-22.95,-22.95,-22.95,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,4,4,-25.54,-13.24,-11.82,3.22,15.03,10.56,23.02,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPIQ,1,1,-87.77,5.7,-87.77,5.7,93.47,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI_PCD,1,1,-15.08,-15.08,-15.08,-15.08,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,4,4,87.93,94.48,102.31,102.07,-0.24,17.95,8.1,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,123.84,123.84,123.84,123.84,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ_PCD,1,1,27.53,27.53,27.53,27.53,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,4,4,19.2,45.87,25.21,66.76,41.54,5.16,15.3,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,61.18,81.56,61.18,81.56,20.38,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,5,5,104.75,126.17,102.88,114.72,11.84,8.3,8.37,4,4,Moderada,Moderada,Queda,Forte queda
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,5,5,80.94,89.34,68.17,74.51,6.34,10.54,10.69,4,4,Moderada,Moderada,Forte queda,Forte queda
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,4,4,-23.73,-20.32,-4.56,14.83,19.39,14.98,26.74,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPIQ,1,1,-26.94,36.28,-26.94,36.28,63.22,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_PPI,3,3,-5.48,1.0,-4.35,3.84,8.2,6.14,3.92,4,4,Moderada,Alta,Alta,Alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_PPIQ,1,1,-40.66,-26.59,-40.66,-26.59,14.08,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,4,4,34.63,65.06,50.18,74.94,24.76,12.31,7.54,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPIQ,1,1,92.18,92.84,92.18,92.84,0.66,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,4,4,-54.3,-22.6,-42.55,-17.02,25.54,17.27,22.0,4,4,Moderada,Moderada,Forte alta,Forte alta
Direito (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPIQ,1,1,31.88,58.33,31.88,58.33,26.44,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,8.35,45.08,8.35,45.08,36.73,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,-7.4,-7.4,-7.4,-7.4,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,-54.43,-33.94,-54.43,-33.94,20.48,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-30.5,-17.98,-30.5,-17.98,12.52,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,6.79,12.56,6.79,12.56,5.77,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,-36.46,24.34,-36.46,24.34,60.8,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,3,3,15.8,78.06,23.77,77.84,54.07,15.3,9.61,4,4,Moderada,Moderada,Forte alta,Estável
Educação Física (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,3,3,32.15,32.15,36.59,28.78,-7.81,13.81,2.96,4,4,Moderada,Alta,Alta,Queda
Educação Física (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,3,3,-32.42,31.84,-33.1,36.58,69.68,2.87,15.95,4,4,Alta,Moderada,Estável,Alta
Educação Física (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-62.95,11.21,-67.66,7.81,75.47,11.43,10.58,4,4,Moderada,Moderada,Queda,Queda
Educação Física (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,9.38,12.1,16.41,22.36,5.95,27.34,8.37,4,4,Moderada,Moderada,Forte alta,Forte alta
Educação Física (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-24.98,-3.54,-16.19,-4.57,11.62,20.96,1.88,4,4,Moderada,Alta,Forte alta,Queda
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,AC,1,1,-21.26,46.72,-21.26,46.72,67.98,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,CN,1,1,-18.38,-18.38,-18.38,-18.38,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,-53.87,-18.28,-53.87,-18.28,35.59,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-73.64,-24.24,-73.64,-24.24,49.4,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,-21.89,-19.46,-21.89,-19.46,2.43,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,-21.73,-5.99,-21.73,-5.99,15.74,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,3,3,-13.22,39.1,-2.87,39.59,42.45,16.66,8.17,4,4,Moderada,Moderada,Forte alta,Estável
Educação Física (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,3,3,20.09,20.09,21.53,18.2,-3.33,11.64,6.64,4,4,Moderada,Moderada,Alta,Queda
Educação Física (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,3,3,-50.6,-24.86,-63.23,-38.79,24.44,10.04,10.9,4,4,Moderada,Moderada,Forte queda,Forte queda
Educação Física (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-52.01,-31.87,-43.86,-31.61,12.26,15.46,1.16,4,4,Moderada,Alta,Forte alta,Estável
Educação Física (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,-16.34,-15.77,-5.66,-10.94,-5.29,17.68,5.77,4,4,Moderada,Moderada,Forte alta,Alta
Educação Física (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-72.47,-34.58,-68.41,-47.5,20.91,6.25,19.33,4,4,Moderada,Moderada,Alta,Forte queda
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,2,2,1.61,38.08,13.55,59.57,46.02,19.7,35.45,4,4,Moderada,Moderada,Forte alta,Forte alta
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,2,2,-19.32,0.65,-12.96,14.96,27.92,10.49,23.59,4,4,Moderada,Moderada,Forte alta,Forte alta
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-69.59,-46.36,-69.59,-46.36,23.23,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,1,1,-72.6,-29.22,-72.6,-29.22,43.38,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-16.97,0.77,-16.97,0.77,17.74,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-86.27,-8.85,-86.27,-8.85,77.42,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândi a (FCE),Diurno,AC,1,1,26.43,71.32,26.43,71.32,44.89,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândi a (FCE),Diurno,CN,1,1,36.97,36.97,36.97,36.97,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândi a (FCE),Diurno,EP_R1_NPPI,1,1,14.13,22.52,14.13,22.52,8.39,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândi a (FCE),Diurno,EP_R1_PPI,1,1,3.02,34.41,3.02,34.41,31.4,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândi a (FCE),Diurno,EP_R2_NPPI,1,1,26.36,46.55,26.36,46.55,20.19,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândi a (FCE),Diurno,EP_R2_PPI,1,1,4.95,31.29,4.95,31.29,26.34,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,AC,5,5,28.04,92.81,25.03,68.96,43.93,2.86,16.31,4,4,Alta,Moderada,Queda,Forte queda
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,CN,5,5,22.7,22.7,3.56,1.98,-1.58,13.03,14.56,4,4,Moderada,Moderada,Forte queda,Forte queda
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R1_NPPI,4,4,-49.85,-32.13,-36.75,-10.82,25.94,12.48,18.79,4,4,Moderada,Moderada,Forte alta,Forte alta
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R1_NPPIQ,1,1,-46.84,3.14,-46.84,3.14,49.98,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R1_PPI,3,3,-35.67,-13.95,-33.93,-9.35,24.58,4.35,9.74,4,4,Moderada,Moderada,Alta,Alta
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R2_NPPI,4,4,-16.27,-1.68,-9.91,1.72,11.63,7.12,9.06,4,4,Moderada,Moderada,Forte alta,Alta
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R2_NPPIQ,1,1,8.74,18.4,8.74,18.4,9.66,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R2_NPPIQ_PCD,1,1,-43.64,-43.64,-43.64,-43.64,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R2_PPI,4,4,-77.47,-39.61,-78.97,-45.48,33.49,16.73,15.1,4,4,Moderada,Moderada,Queda,Forte queda
Enfermagem (Bacharelado),Ceilândia / DF,Diurno,EP_R2_PPIQ,1,1,-46.02,-16.22,-46.02,-16.22,29.8,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,AC,1,0,53.94,,53.94,,,0.0,,2,0,Baixa,Sem histórico,Estável,Indeterminada
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,33.36,33.36,33.36,33.36,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,26.39,29.6,26.39,29.6,3.21,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,4.88,33.84,4.88,33.84,28.97,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
