curso,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Engenharia Mecatrônica (Bacharelado),27,3.221,-19.965,55.895,-65.329,139.153,51.041,46.608,61.399,-41.277,170.136,47.821,45.188,0.0,175.129,1735.585,120.292
Engenharia Mecânica (Bacharelado),28,-4.154,-10.129,52.011,-102.234,88.12,38.334,30.337,63.723,-77.546,154.863,45.611,56.348,0.0,244.789,-1252.042,166.231
Engenharia Química (Bacharelado),25,1.214,5.172,42.908,-59.302,70.109,41.186,38.999,64.143,-55.77,136.761,43.501,57.925,0.0,184.128,3534.747,155.739
Engenharia de Computação (Bacharelado),32,29.279,23.089,58.284,-67.012,132.082,63.804,48.438,57.325,-51.296,167.223,34.01,33.441,0.0,122.813,199.061,89.845
Engenharia de Produção (Bacharelado),21,-15.284,-20.158,41.739,-86.266,49.032,23.998,12.835,61.218,-71.003,159.558,42.156,57.947,0.0,179.254,-273.094,255.091
Engenharia de Redes de Comunicação (Bacharelado),25,-23.97,-31.904,39.102,-73.187,67.472,7.583,2.297,43.785,-66.201,84.551,31.553,34.463,0.0,121.62,-163.126,577.441
Engenharias (FGA),33,-22.827,-36.993,48.32,-101.981,70.386,60.275,52.13,48.672,-11.45,178.331,85.384,43.465,21.798,235.798,-211.678,80.75
Estatística (Bacharelado),20,-22.127,-29.903,32.036,-86.083,34.508,11.857,-0.406,55.447,-44.549,136.549,36.964,46.535,0.0,129.943,-144.781,467.645
Farmácia (Bacharelado),91,-14.42,-11.157,40.107,-93.87,76.858,19.623,15.491,39.479,-84.214,148.69,34.874,34.389,0.0,167.23,-278.128,201.188
Filosofia (Bacharelado/Licenciatura),19,-40.996,-37.555,35.329,-100.426,45.216,0.99,-8.586,42.371,-68.136,92.933,41.986,52.96,0.0,158.711,-86.176,4278.282
Filosofia (Licenciatura),8,-43.785,-50.224,16.858,-63.589,-20.759,-21.188,-21.64,35.322,-63.589,37.478,22.597,34.795,0.0,90.461,-38.501,-166.703
Fisioterapia (Bacharelado),35,-8.918,-1.995,31.565,-79.757,43.008,16.022,16.69,36.207,-65.973,91.814,26.103,23.78,0.0,80.331,-353.946,225.984
Fonoaudiologia (Bacharelado),32,-25.293,-28.096,30.029,-75.822,46.715,3.447,4.076,32.725,-60.121,64.645,28.74,31.374,0.0,98.137,-118.721,949.443
Física (Bacharelado),23,-6.036,-11.788,45.252,-74.73,91.722,47.104,42.394,54.504,-74.73,141.578,57.583,60.471,0.0,172.421,-749.732,115.71
Física (Licenciatura),8,-37.776,-53.068,42.93,-76.547,55.585,58.555,45.634,62.749,-46.226,149.957,96.33,61.645,0.0,187.951,-113.645,107.164
Geofísica (Bacharelado),12,-38.78,-43.82,20.174,-82.398,-6.216,-3.013,-11.238,45.541,-50.006,113.042,35.767,49.173,0.0,143.132,-52.021,-1511.365
Geografia (Bacharelado/Licenciatura),20,-30.041,-25.24,25.978,-90.016,13.323,8.02,5.485,46.295,-53.491,129.343,38.061,53.67,0.0,219.359,-86.473,577.25
Geologia (Bacharelado),15,-36.26,-36.351,33.079,-96.644,33.859,12.152,-3.498,50.524,-59.404,97.846,48.412,67.845,0.0,154.609,-91.226,415.755
Gestão Ambiental (Bacharelado),5,-45.458,-46.76,24.503,-73.509,-10.728,-7.186,-10.728,43.122,-62.155,39.118,38.272,53.759,0.0,112.627,-53.903,-600.124
Gestão de Agronegócio (Bacharelado),12,-53.117,-52.865,23.474,-93.752,-12.02,-22.586,-26.748,22.801,-57.616,16.69,30.531,31.137,0.0,72.217,-44.193,-100.954
Gestão de Políticas Públicas (Bacharelado),28,-45.792,-44.415,26.548,-95.963,5.313,-6.857,-11.004,43.091,-94.961,89.961,38.935,42.681,0.0,145.775,-57.975,-628.461
Gestão do Agronegócio (Bacharelado),7,-70.468,-78.135,18.717,-96.675,-45.106,-36.649,-36.7,25.589,-78.135,4.58,33.819,35.262,0.0,101.255,-26.561,-69.821
História (Bacharelado/Licenciatura),34,-0.785,-2.024,26.74,-54.201,47.472,23.935,17.254,37.696,-36.358,120.935,26.079,23.639,0.0,94.998,-3406.473,157.495
História (Licenciatura),23,-39.315,-43.023,27.89,-85.388,25.055,3.125,4.551,36.378,-66.834,60.754,42.44,46.647,0.0,130.814,-70.94,1164.173
Japonês (Licenciatura),11,-38.67,-53.013,32.104,-83.555,5.9,-22.018,-18.525,31.809,-70.486,18.808,16.652,28.222,0.0,81.733,-83.02,-144.468
Jornalismo (Bacharelado),34,23.217,17.96,42.986,-53.574,95.519,34.24,26.716,41.158,-31.769,130.233,12.895,17.495,0.0,69.412,185.151,120.206
Letras - Espanhol (Licenciatura),13,-51.07,-46.586,21.896,-98.76,-14.494,-24.34,-27.428,23.83,-60.693,21.384,26.73,34.406,0.0,112.461,-42.874,-97.903
Letras - Francês (Bacharelado/Licenciatura),13,-48.76,-48.692,25.794,-87.339,-2.644,-17.773,-20.18,27.278,-84.371,28.361,30.987,30.753,0.0,72.872,-52.901,-153.484
Letras - Inglês (Bacharelado/Licenciatura),30,-9.734,-11.484,28.909,-77.785,32.546,6.262,5.214,35.657,-77.785,83.036,15.995,19.262,0.0,67.73,-297.003,569.458
Letras - Português (Bacharelado/Licenciatura),33,-8.634,-16.142,35.039,-75.985,52.636,13.227,9.729,36.874,-60.705,88.696,21.861,27.489,0.0,102.582,-405.83,278.773
Letras - Português (Licenciatura),17,-35.917,-39.823,24.594,-79.901,6.56,-0.33,-7.475,35.9,-54.044,78.089,35.587,50.005,0.0,152.623,-68.475,-10876.772
Letras – Português do Brasil como Segunda Língua (Licenciatura),19,-39.899,-41.555,23.38,-83.522,3.895,-12.517,-24.411,35.458,-55.76,58.052,27.382,37.091,0.0,108.012,-58.598,-283.287
Letras – Tradução – Espanhol (Bacharelado),10,-53.471,-52.94,16.085,-80.944,-26.219,-38.05,-35.651,14.979,-56.295,-20.326,15.421,18.253,0.0,49.734,-30.081,-39.365
Letras – Tradução – Francês (Bacharelado),6,-41.01,-28.67,24.081,-75.823,-18.595,2.783,-4.801,59.383,-67.216,108.22,43.793,56.236,0.0,135.308,-58.72,2134.015
Letras – Tradução – Inglês (Bacharelado),22,-31.86,-42.502,32.598,-75.983,21.242,4.225,0.25,41.566,-59.741,119.299,36.085,38.28,0.0,112.132,-102.317,983.696
Línguas Estrangeiras Aplicadas (Bacharelado),18,-26.222,-33.609,36.545,-76.629,47.66,8.464,2.483,36.415,-67.757,59.227,34.685,42.866,0.0,113.965,-139.369,430.239
Matemática (Bacharelado/Licenciatura),29,-26.949,-29.962,36.38,-96.948,40.087,12.902,13.305,47.07,-96.948,105.88,39.851,42.834,0.0,153.97,-134.998,364.831
Matemática (Licenciatura),13,-30.985,-44.481,35.099,-73.474,43.063,4.18,9.671,32.787,-64.383,43.063,35.165,37.84,0.0,96.332,-113.277,784.358
Medicina (Bacharelado),37,103.949,101.507,56.737,-40.024,183.5,120.176,119.954,58.03,-40.024,211.738,16.227,18.725,0.0,65.964,54.581,48.287
Medicina Veterinária (Bacharelado),36,24.068,28.8,41.617,-62.784,93.664,49.696,48.048,37.334,-34.547,134.95,27.305,25.353,0.0,76.843,172.912,75.126
Museologia (Bacharelado),13,-64.325,-63.96,14.46,-86.04,-38.902,-21.676,-38.902,43.734,-75.472,42.048,42.649,45.012,0.0,106.008,-22.48,-201.762
Música (Bacharelado),4,-12.09,-12.901,17.38,-29.764,7.205,29.386,40.828,41.374,-29.764,65.653,41.477,33.662,0.0,69.676,-143.747,140.792
Música (Licenciatura),11,-28.679,-41.36,38.374,-69.94,30.345,5.534,13.326,61.381,-69.94,132.273,34.213,52.595,0.0,148.244,-133.805,1109.164
Nutrição (Bacharelado),35,9.696,4.712,38.106,-67.72,79.99,31.985,26.599,40.321,-67.72,130.595,22.289,26.778,0.0,104.593,393.01,126.062
Odontologia (Bacharelado),35,33.229,35.47,47.517,-62.296,113.007,54.315,56.549,44.541,-47.773,136.8,22.514,26.485,0.0,90.808,143.0,82.004
Pedagogia (Licenciatura),56,-47.412,-52.694,29.616,-98.292,17.691,-5.278,-8.815,27.318,-55.588,65.014,42.134,30.847,0.0,110.726,-62.466,-517.61
Psicologia (Bacharelado / Licenciatura / Psicólogo),37,36.302,32.086,41.452,-60.075,112.073,56.768,60.228,43.636,-34.654,149.897,20.466,20.151,0.0,77.227,114.186,76.868
Química (Bacharelado),25,-13.888,-12.868,32.423,-76.374,40.202,24.435,21.491,47.41,-76.374,126.092,38.323,39.93,0.0,105.71,-233.465,194.026
Química (Licenciatura),15,-28.086,-30.664,24.509,-73.401,13.391,-6.378,-15.838,26.737,-44.645,44.043,21.709,31.403,0.0,98.745,-87.264,-419.226
Química Tecnológica (Bacharelado),14,-27.714,-30.494,27.942,-67.895,26.655,14.81,10.581,46.805,-45.547,126.278,42.525,52.663,0.0,156.364,-100.822,316.032
Relações Internacionais (Bacharelado),34,32.738,34.96,46.005,-59.284,105.105,60.896,56.756,45.709,-35.003,162.477,30.65,29.918,0.0,106.578,140.523,75.062
Saúde Coletiva (Bacharelado),36,-61.161,-67.914,26.787,-105.487,-1.391,-26.696,-23.352,27.479,-105.487,25.273,34.465,32.739,0.0,104.99,-43.798,-102.933
Serviço Social (Bacharelado),43,-40.262,-42.517,23.354,-96.288,16.93,-12.298,-17.915,29.164,-61.615,58.364,27.964,29.214,0.0,107.7,-58.004,-237.142
"Teoria, Crítica e História da Arte (Bacharelado)",9,-32.091,-27.615,30.782,-74.639,4.736,-6.003,3.161,37.843,-74.639,50.763,26.087,30.779,0.0,81.734,-95.923,-630.35
Terapia Ocupacional (Bacharelado),29,-42.608,-38.795,31.528,-98.316,8.543,-0.804,-4.201,28.464,-38.795,55.294,41.804,36.781,0.0,132.067,-73.994,-3538.132
Turismo (Bacharelado),18,-58.323,-63.276,26.899,-101.482,-13.362,-21.404,-22.92,28.661,-64.42,51.489,36.919,42.85,0.0,113.741,-46.12,-133.904
