subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-17.699,30.922
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,18.823,94.124
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,83.431,83.431
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,98.037,136.512
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-30.926,-30.926
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-70.919,-49.487
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-91.423,-6.3
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,-32.205,-32.205
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-34.923,-32.091
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-15.532,69.84
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-44.036,-4.601
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-23.781,-23.781
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-22.177,45.581
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-49.545,-18.438
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-83.245,15.877
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-4.348,-4.348
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,8.45,66.357
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-32.295,26.778
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,41.977,41.977
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-55.674,-55.674
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,69.433,134.182
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social – Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-29.329,-29.329
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social – Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-41.458,-16.426
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social – Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,50.59,50.59
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social – Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,44.425,44.425
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social – Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,56.963,86.414
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Design (Bacharelado),Diurno,Design (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-55.242,-7.149
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Design (Bacharelado),Diurno,Design (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-44.318,-44.259
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Design (Bacharelado),Diurno,Design (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,3.136,3.136
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Design (Bacharelado),Diurno,Design (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,87.407,110.73
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,-87.773,5.701
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,14.584,66.246
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,61.18,81.56
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,123.845,123.845
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,27.527,27.527
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,85.357,112.75
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,137.491,172.039
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,-40.663,-26.586
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-26.945,36.277
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,31.885,58.328
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,92.181,92.842
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,80.945,89.34
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,104.746,126.174
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Diurno,Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-69.589,-46.355
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Diurno,Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-86.267,-8.852
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Diurno,Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-16.974,0.769
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Diurno,Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-19.322,0.653
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico (Bacharelado/Licenciatura),Diurno,Educação Física Ciclo Básico (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,1.609,38.076
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-31.522,17.682
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-32.977,21.488
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,28.885,42.362
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,39.99,39.99
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,53.833,90.752
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-44.993,-34.671
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-51.192,-51.192
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-53.928,39.353
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-46.606,-6.776
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-20.258,41.376
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,19.123,44.103
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,26.849,26.849
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,71.072,110.0
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-33.752,-33.752
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-67.012,55.801
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,82.189,83.309
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,25.163,25.163
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,70.718,70.718
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,120.918,167.223
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-20.589,-16.273
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-5.763,-5.763
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-30.464,60.182
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-31.733,-31.733
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,49.032,130.073
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-55.125,-55.125
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-54.018,-24.926
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-73.187,2.297
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-20.38,-20.38
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,34.703,63.406
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-23.359,-23.359
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-6.585,58.012
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,19.288,19.288
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,97.075,144.38
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-27.754,-27.754
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-59.51,-59.51
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-69.015,65.667
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-69.376,-69.376
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,5.003,17.361
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-1.775,66.886
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,68.151,68.151
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,83.117,151.18
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica (Bacharelado),Diurno,Engenharia Mecatrônica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-4.756,8.105
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica (Bacharelado),Diurno,Engenharia Mecatrônica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-53.086,-27.897
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica (Bacharelado),Diurno,Engenharia Mecatrônica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-19.193,79.642
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica (Bacharelado),Diurno,Engenharia Mecatrônica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,25.527,25.527
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica (Bacharelado),Diurno,Engenharia Mecatrônica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,84.017,170.136
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-17.786,2.511
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-59.302,49.093
