subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2023-2025,2025,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,-18.436,-18.436
2023-2025,2025,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,2.706,46.76
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-67.831,-19.227
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-25.422,-3.245
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-17.433,18.394
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-12.58,6.842
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,38.131,99.156
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-55.503,-4.817
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-54.846,-53.83
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-7.05,44.901
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-56.39,-56.39
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-62.778,-36.2
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-58.036,-13.042
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-22.112,-14.127
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-5.377,112.172
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-32.379,4.506
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,12.661,61.488
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,65.505,97.824
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,65.15,65.15
