Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2023-2025,2025,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-46.839,3.143
2023-2025,2025,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-46.024,-16.22
2023-2025,2025,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,8.744,18.405
2023-2025,2025,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,NPPIQ,True,1.0,-43.64,-43.64
2023-2025,2025,Ceilândia,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,22.701,22.701
2023-2025,2025,Ceilândia,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,28.045,92.811
2023-2025,2025,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-33.173,14.394
2023-2025,2025,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-83.68,-4.707
2023-2025,2025,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,14.796,18.796
2023-2025,2025,Ceilândia,Farmácia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,15.618,15.618
2023-2025,2025,Ceilândia,Farmácia (Bacharelado),Diurno,AC,AC,False,,,False,,31.936,92.243
2023-2025,2025,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,PPIQ,False,1.0,-59.032,-59.032
2023-2025,2025,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-35.235,-33.078
2023-2025,2025,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-59.558,8.862
2023-2025,2025,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,12.991,24.746
2023-2025,2025,Ceilândia,Fisioterapia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,13.637,13.637
2023-2025,2025,Ceilândia,Fisioterapia (Bacharelado),Diurno,AC,AC,False,,,False,,30.23,81.869
2023-2025,2025,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-60.121,-60.121
2023-2025,2025,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-48.358,-48.358
2023-2025,2025,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,-20.384,5.716
2023-2025,2025,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,NPPIQ,True,1.0,-43.816,-43.816
2023-2025,2025,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,5.402,5.402
2023-2025,2025,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,AC,AC,False,,,False,,16.721,40.508
2023-2025,2025,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,AC,AC,False,,,False,,-73.062,-3.918
2023-2025,2025,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-82.855,-36.853
2023-2025,2025,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-72.221,-22.382
2023-2025,2025,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,-14.671,-6.035
2023-2025,2025,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-18.436,-18.436
2023-2025,2025,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,AC,AC,False,,,False,,2.706,46.76
