subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-16.701,-16.701
2021-2023,2023,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-88.602,-3.99
2021-2023,2023,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-37.682,-4.11
2021-2023,2023,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-46.005,1.824
2021-2023,2023,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,8.543,8.543
2021-2023,2023,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,-9.621,42.752
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-53.789,-9.772
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-59.221,-21.197
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-51.29,2.093
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,13.596,33.653
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-4.981,44.699
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,46.485,94.873
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-45.664,6.082
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-63.326,12.204
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-6.548,-2.003
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-17.276,52.003
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-64.647,-16.992
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-28.599,19.269
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-61.917,-4.933
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-35.875,1.054
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-86.604,32.518
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-7.422,85.304
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-23.28,23.159
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-14.415,58.507
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-10.139,15.247
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,59.408,79.914
