subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-59.857,-59.857
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-49.303,44.815
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-21.687,-21.687
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-50.174,55.242
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-24.684,3.632
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,12.567,74.209
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-54.966,-29.047
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-29.321,-6.142
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-60.649,0.749
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-70.205,-24.978
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-69.227,45.134
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-37.553,35.066
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-37.254,59.411
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-8.931,73.774
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,13.26,13.26
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,105.597,150.5
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-61.197,-32.867
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-65.302,-5.054
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-57.603,10.11
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-37.615,33.041
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-9.211,20.554
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,3.024,73.106
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-5.522,-5.522
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-50.802,-11.64
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI_PCD,EP_R2_NPPI_PCD,True,R2,1.5,NPPI,True,18.874,18.874
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,35.66,35.66
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-26.5,71.725
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-56.789,-56.789
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-9.15,-9.15
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-28.122,57.848
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-34.127,-10.753
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI_PCD,EP_R2_PPI_PCD,True,R2,1.5,PPI,True,-6.39,-6.39
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-15.585,74.452
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,3.32,3.32
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,64.129,103.109
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-11.438,-1.404
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,28.907,28.907
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-74.578,-74.578
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,22.817,31.547
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,66.561,66.561
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,69.286,79.509
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-10.378,1.203
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-3.349,-3.349
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-33.34,-24.481
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,61.424,61.424
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,72.512,107.697
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,19.392,69.167
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,28.509,56.079
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,31.732,114.506
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,100.598,133.701
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,71.16,85.356
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,120.424,173.239
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-5.484,1.005
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,26.665,96.173
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-10.725,9.184
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,74.138,94.779
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,66.815,97.6
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,101.522,131.453
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-62.949,11.211
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-32.422,31.837
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-24.98,-3.544
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,9.385,12.097
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,32.152,32.152
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,15.802,78.06
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-52.013,-31.87
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-50.604,-24.864
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-72.467,-34.575
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-16.337,-15.772
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,20.087,20.087
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-13.216,39.102
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-7.654,20.717
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,6.742,13.82
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-19.606,42.63
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,5.924,41.75
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,11.027,11.027
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,59.656,128.899
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-53.536,-53.536
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,110.263,110.263
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-58.071,12.011
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,70.353,70.353
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,18.395,67.115
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-33.289,-33.289
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-19.162,28.158
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-29.887,76.766
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,39.079,39.079
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,66.769,120.301
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,16.988,70.613
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,29.216,40.403
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,8.39,40.382
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,72.542,154.756
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,46.95,46.95
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,120.445,156.459
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-30.751,-18.063
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-13.4,-13.4
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-75.158,104.096
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-22.553,-22.553
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-66.487,-9.02
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-14.191,13.092
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-25.064,7.869
