subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-5.784,15.316
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-19.882,-1.832
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,27.497,29.223
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado),Diurno,Artes Visuais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-25.519,9.382
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais Licenciatura,Diurno,Artes Visuais Licenciatura | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-23.748,-23.748
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais Licenciatura,Diurno,Artes Visuais Licenciatura | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-59.575,-16.763
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais Licenciatura,Diurno,Artes Visuais Licenciatura | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-33.237,-33.237
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais Licenciatura,Diurno,Artes Visuais Licenciatura | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-7.957,70.753
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-32.078,-32.078
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-84.167,-24.822
