subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-52.004,-11.328
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-47.32,-47.32
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-39.537,27.385
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-65.329,-19.947
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,8.54,37.891
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-31.736,-7.947
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-86.083,-0.406
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-18.151,16.198
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,27.53,42.869
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-73.721,-9.583
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-54.201,-12.401
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-27.515,-27.515
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-8.561,17.254
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-11.956,-11.956
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-53.574,-0.525
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,16.995,16.995
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-3.462,-3.462
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,69.365,78.377
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-52.428,-20.242
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-26.435,-26.435
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-40.908,-19.451
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-15.468,4.023
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-26.314,-26.314
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-53.691,-27.208
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-60.705,-60.705
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-22.941,-4.114
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,Matemática (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-53.025,-53.025
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,Matemática (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-65.029,17.561
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,55.923,61.257
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,88.009,109.377
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,78.632,98.015
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,155.1,155.1
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,146.826,146.826
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,162.424,173.057
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-2.808,16.671
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-62.784,-29.375
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,37.329,41.765
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,47.188,47.188
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,52.582,63.333
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,4.712,4.712
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-67.72,-67.72
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,3.412,36.899
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-9.709,-9.709
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,41.989,56.753
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,11.177,11.177
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-50.627,2.933
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,35.47,36.069
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,9.216,9.216
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,59.352,71.127
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,Pedagogia (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-70.173,-54.697
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,Pedagogia (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-71.523,-19.368
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,Psicologia (Bacharelado / Licenciatura / Psicólogo) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-60.075,-34.654
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,Psicologia (Bacharelado / Licenciatura / Psicólogo) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,3.278,8.523
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,Psicologia (Bacharelado / Licenciatura / Psicólogo) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-3.291,10.344
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,Psicologia (Bacharelado / Licenciatura / Psicólogo) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,62.168,80.75
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,Psicologia (Bacharelado / Licenciatura / Psicólogo) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,19.287,19.287
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,Psicologia (Bacharelado / Licenciatura / Psicólogo) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,81.553,93.909
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-76.374,-76.374
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-9.802,-9.802
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,4.306,32.131
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,Relações Internacionais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-5.024,0.805
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,Relações Internacionais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-29.25,-2.275
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,Relações Internacionais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,34.208,34.299
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,Relações Internacionais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,51.877,51.877
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,Relações Internacionais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,68.855,80.765
2022-2024,2024,Gama / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)** | Diurno | Gama / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-90.269,-6.587
2022-2024,2024,Gama / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)** | Diurno | Gama / DF,CN,CN,False,,,NEGROS,False,-7.303,15.846
2022-2024,2024,Gama / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)** | Diurno | Gama / DF,AC,AC,False,,,,False,24.317,50.424
