subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2018-2020,2020,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,9.2,70.871
2018-2020,2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-82.285,-1.885
2018-2020,2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-71.408,-43.768
2018-2020,2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-63.379,-4.543
2018-2020,2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-62.249,-43.547
2018-2020,2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,-87.136,-3.078
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Licenciatura)*,Noturno,Artes Visuais (Licenciatura)* | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-13.502,-13.502
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-44.303,-44.303
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-41.243,-37.835
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-55.012,-5.413
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Museologia (Bacharelado),Diurno,Museologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-54.777,-54.777
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Museologia (Bacharelado),Diurno,Museologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-86.04,-63.772
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Museologia (Bacharelado),Diurno,Museologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-68.311,-68.311
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Museologia (Bacharelado),Diurno,Museologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-63.96,42.048
