subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,2.976,41.968
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,73.446,73.446
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,64.041,64.041
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,62.484,120.186
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-24.693,-12.16
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,38.427,38.427
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-12.903,16.702
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,35.281,35.281
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,77.866,108.078
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,6.044,66.651
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,44.672,55.688
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI_PCD,EP_R1_NPPI_PCD,True,R1,1.5,NPPI,True,-22.954,-22.954
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,44.407,72.089
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,94.622,113.21
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,101.124,130.856
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,129.903,176.907
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-16.116,19.571
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,23.633,54.154
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,30.892,77.986
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,59.961,87.15
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,34.08,91.279
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,86.54,128.71
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-54.13,-26.608
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-28.061,11.714
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-40.481,-3.232
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-29.762,44.154
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,16.093,16.093
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,Educação Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,11.455,53.752
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-55.945,-28.09
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-92.355,-73.207
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-70.465,-42.643
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-14.459,13.1
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-2.82,-2.82
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Licenciatura),Diurno,Educação Física (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-10.111,20.985
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,17.032,48.519
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,9.678,12.691
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,9.318,19.495
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,61.872,75.478
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,49.514,49.514
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,48.594,73.121
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,65.209,65.209
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-56.495,68.61
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,7.046,7.046
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-7.834,139.431
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-39.011,-21.766
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-43.065,-7.167
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-16.627,82.763
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-48.61,-48.61
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,Engenharia Civil (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-14.958,126.978
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-0.447,35.476
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-52.218,-10.159
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,12.403,47.079
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,132.082,142.531
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,44.324,44.324
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,120.321,160.318
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,11.401,11.401
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,27.336,27.336
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,Engenharia de Produção (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,38.913,159.558
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-49.0,-49.0
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,67.472,67.472
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,Engenharia de Redes de Comunicação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-37.069,84.551
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,0.067,0.067
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-9.239,33.9
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-20.364,135.211
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,77.957,77.957
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,Engenharia Elétrica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,41.135,163.248
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-15.457,9.613
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-50.84,-13.077
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-52.846,-50.215
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-21.139,-21.139
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,Engenharia Florestal (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-50.298,54.606
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-34.593,-30.996
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-84.626,-77.546
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-12.021,70.474
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,12.814,12.814
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,58.439,154.863
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-24.504,59.809
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-42.409,-41.277
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,1.944,1.944
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-41.875,43.548
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,53.035,53.035
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,Engenharia Mecatrônica – Controle e Automação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,116.231,162.86
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,5.172,46.146
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-43.682,-43.682
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,30.811,59.008
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,51.7,79.292
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,59.512,108.454
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-32.737,-32.737
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-49.618,5.697
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,10.445,122.669
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-4.013,-0.12
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-14.318,-8.04
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-18.29,26.718
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,72.441,79.533
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-29.349,-29.349
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,57.242,101.253
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-12.46,40.572
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-23.033,12.84
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-48.92,-1.44
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,13.926,13.926
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,27.978,27.978
