Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,54.422,17.0696,False
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2,2018-2020,2021-2023,50.751000000000005,16.917,False
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,51.239999999999995,16.58770000000001,False
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,49.23800000000001,16.541,False
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,2,2019-2021,2020-2022,16.448,16.447999999999983,False
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2018-2020,2021-2023,46.847,16.4039,False
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,AC,4,2018-2020,2021-2023,50.88,16.378500000000003,False
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,4,2018-2020,2021-2023,35.705,15.947800000000003,False
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,56.482,15.6782,False
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,3,2019-2021,2021-2023,30.768,15.383999999999988,False
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,46.86,15.345500000000007,False
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,2,2022-2024,2023-2025,15.27,15.270000000000046,False
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,64.325,15.170100000000005,False
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,AC,4,2018-2020,2021-2023,48.851,14.965600000000002,False
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,61.586,14.503200000000005,False
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,2018-2020,2020-2022,28.546999999999997,14.273499999999999,False
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,41.13699999999999,14.19030000000001,False
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2021-2023,38.318000000000005,13.781142857142855,False
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,45.96000000000001,13.779500000000008,False
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,CN,4,2018-2020,2021-2023,40.714,13.770199999999999,False
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,40.022,13.631799999999997,False
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,2018-2020,2021-2023,46.494,13.310142857142855,False
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2020-2022,26.575999999999997,13.288000000000002,False
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,2019-2021,2021-2023,26.344,13.171999999999992,False
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,2018-2020,2021-2023,20.184999999999995,12.599071428571424,False
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2021-2023,36.436,12.35157142857142,False
