Curso,Campus,Turno,modalidade_normalizada,n_trienios
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,CN,3
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,AC,6
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,CN,6
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ,1
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,2
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,2
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharias (FGA),Gama,Diurno,AC,6
Engenharias (FGA),Gama,Diurno,CN,6
Engenharias (FGA),Gama,Diurno,EP_R1_NPPI,4
Engenharias (FGA),Gama,Diurno,EP_R1_NPPIQ,1
Engenharias (FGA),Gama,Diurno,EP_R1_PPI,4
Engenharias (FGA),Gama,Diurno,EP_R2_NPPI,5
Engenharias (FGA),Gama,Diurno,EP_R2_NPPIQ,1
Engenharias (FGA),Gama,Diurno,EP_R2_NPPIQ_PCD,1
Engenharias (FGA),Gama,Diurno,EP_R2_PPI,4
Engenharias (FGA),Gama,Diurno,EP_R2_PPIQ,1
Estatística (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Estatística (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,2
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Farmácia (Bacharelado),Ceilândia,Diurno,AC,6
Farmácia (Bacharelado),Ceilândia,Diurno,CN,6
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,5
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ,1
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,4
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ,1
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,4
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ,1
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,AC,6
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,CN,3
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ,1
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,2
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,2
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD,1
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,AC,4
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2
Fisioterapia (Bacharelado),Ceilândia,Diurno,AC,6
Fisioterapia (Bacharelado),Ceilândia,Diurno,CN,6
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,5
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ,1
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,4
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_PPIQ,1
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ,1
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,5
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ,1
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,AC,6
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,CN,5
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,4
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ,1
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,4
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ,1
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ_PCD,1
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,4
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ,1
Física (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Física (Bacharelado),Darcy Ribeiro,Diurno,CN,3
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Física (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Física (Licenciatura),Darcy Ribeiro,Noturno,CN,1
Física (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,1
Física (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,CN,1
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,2
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,2
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,2
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Geologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Geologia (Bacharelado),Darcy Ribeiro,Diurno,CN,2
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1
Gestão Ambiental (Bacharelado),Planaltina,Noturno,AC,2
Gestão Ambiental (Bacharelado),Planaltina,Noturno,EP_R2_NPPI,2
Gestão Ambiental (Bacharelado),Planaltina,Noturno,EP_R2_PPI,1
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,CN,2
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,1
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,2
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,CN,5
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ,1
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,AC,5
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,CN,1
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,EP_R2_NPPI,1
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,6
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ_PCD,1
História (Licenciatura),Darcy Ribeiro,Noturno,AC,5
História (Licenciatura),Darcy Ribeiro,Noturno,CN,3
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,4
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,4
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,3
Japonês (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Japonês (Licenciatura),Darcy Ribeiro,Noturno,CN,2
Japonês (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
Japonês (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI_PCD,1
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,1
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,2
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,2
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,3
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,4
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,1
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,4
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,6
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,CN,1
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,3
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,AC,5
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,CN,2
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,1
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1
Letras – Tradução – Francês (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Letras – Tradução – Francês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,2
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,CN,2
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,4
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Matemática (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Matemática (Licenciatura),Darcy Ribeiro,Noturno,CN,3
Matemática (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,2
Matemática (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1
Matemática (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2
Medicina (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Medicina (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ_PCD,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD,2
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ_PCD,1
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Museologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Museologia (Bacharelado),Darcy Ribeiro,Diurno,CN,3
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,2
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,2
Música (Bacharelado),Darcy Ribeiro,Diurno,AC,4
Música (Licenciatura),Darcy Ribeiro,Diurno,AC,5
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,2
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1
Música (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,CN,6
