Curso,Campus,Turno,modalidade_normalizada,n_trienios
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,CN,1
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,AC,3
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,CN,2
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,2
Artes Visuais (Licenciatura),Darcy Ribeiro,Noturno,AC,1
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Biologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Biologia (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD,1
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Biologia (Licenciatura),Darcy Ribeiro,Diurno,AC,1
Biologia (Licenciatura),Darcy Ribeiro,Diurno,CN,1
