Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-38.01200000000001,-9.410459459459464,True
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-37.483000000000004,-9.605459459459457,True
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,-52.803,-9.659885714285714,True
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-38.277,-9.992700000000005,True
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-23.769,-10.056699999999998,True
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-32.596999999999994,-10.457100000000002,True
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2022-2024,-39.591,-10.46814285714285,True
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-57.156000000000006,-10.472700000000001,True
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-60.309,-11.234000000000004,True
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-52.791,-11.315399999999995,True
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-48.361999999999995,-11.642100000000001,True
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,CN,6,2018-2020,2023-2025,-44.838,-11.927457142857142,True
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-33.102999999999994,-12.011499999999995,True
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-54.947,-13.4722,True
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,5,2018-2020,2022-2024,-43.903000000000006,-13.681299999999998,True
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-60.760999999999996,-13.757299999999999,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-53.146,-15.515,True
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-38.80499999999999,-15.8414,True
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-67.982,-18.00150000000001,True
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-56.96600000000001,-18.5313,True
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-79.98400000000001,-22.208700000000004,True
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-84.631,-25.8913,True
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2019-2021,2023-2025,-123.811,-26.281314285714288,True
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-49.940000000000005,,True
