Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-92.652,-4.201
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-45.148,-25.927
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-74.63,27.307
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,5.337,6.491
2018-2020,2020,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,AC,AC,False,,,False,,-73.944,20.377
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-5.802,-5.802
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-33.514,0.916
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-40.393,-16.378
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-75.822,6.478
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-28.93,45.132
2018-2020,2020,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,AC,AC,False,,,False,,-40.855,57.282
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-16.495,13.421
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-31.032,13.229
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-26.611,40.374
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-1.995,27.517
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,10.489,34.882
2018-2020,2020,Ceilândia,Fisioterapia (Bacharelado),Diurno,AC,AC,False,,,False,,5.582,54.666
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-39.519,-39.519
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-60.347,21.528
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-83.874,19.707
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-76.441,-2.832
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-26.27,-25.843
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,AC,AC,False,,,False,,-85.275,81.955
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-50.128,18.233
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-16.36,12.216
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-20.508,11.174
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,12.11,43.716
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,6.016,17.233
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,9.2,70.871
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-82.285,-1.885
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-71.408,-43.768
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-63.379,-4.543
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-62.249,-43.547
2018-2020,2020,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,AC,AC,False,,,False,,-87.136,-3.078
2018-2020,2020,Darcy Ribeiro,Artes Visuais (Licenciatura),Noturno,AC,AC,False,,,False,,-13.502,-13.502
2018-2020,2020,Darcy Ribeiro,Letras - Espanhol (Licenciatura),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-44.303,-44.303
2018-2020,2020,Darcy Ribeiro,Letras - Espanhol (Licenciatura),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-41.243,-37.835
2018-2020,2020,Darcy Ribeiro,Letras - Espanhol (Licenciatura),Noturno,AC,AC,False,,,False,,-55.012,-5.413
2018-2020,2020,Darcy Ribeiro,Museologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-54.777,-54.777
2018-2020,2020,Darcy Ribeiro,Museologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-86.04,-63.772
2018-2020,2020,Darcy Ribeiro,Museologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-68.311,-68.311
2018-2020,2020,Darcy Ribeiro,Museologia (Bacharelado),Diurno,AC,AC,False,,,False,,-63.96,42.048
2018-2020,2020,Darcy Ribeiro,Letras – Tradução – Inglês (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-66.721,14.502
2018-2020,2020,Darcy Ribeiro,Letras – Tradução – Inglês (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-50.511,-13.166
2018-2020,2020,Darcy Ribeiro,Letras – Tradução – Inglês (Bacharelado),Diurno,AC,AC,False,,,False,,-73.348,38.784
2018-2020,2020,Darcy Ribeiro,Letras – Tradução – Francês (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-28.725,-28.725
2018-2020,2020,Darcy Ribeiro,Letras – Tradução – Francês (Bacharelado),Diurno,AC,AC,False,,,False,,-67.216,-67.216
2018-2020,2020,Darcy Ribeiro,Japonês (Licenciatura),Noturno,CN,CN,False,,NEGROS,False,,-70.486,-70.486
2018-2020,2020,Darcy Ribeiro,Japonês (Licenciatura),Noturno,AC,AC,False,,,False,,-60.848,-60.848
2018-2020,2020,Darcy Ribeiro,Engenharia Mecânica (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-33.726,5.966
2018-2020,2020,Darcy Ribeiro,Engenharia Mecânica (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-5.156,32.83
2018-2020,2020,Darcy Ribeiro,Engenharia Mecânica (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-8.237,129.024
2018-2020,2020,Darcy Ribeiro,Engenharia Mecânica (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,27.299,30.337
2018-2020,2020,Darcy Ribeiro,Engenharia Mecânica (Bacharelado),Diurno,AC,AC,False,,,False,,-102.234,142.555
2018-2020,2020,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-36.22,-34.267
2018-2020,2020,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-55.757,-55.757
2018-2020,2020,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-71.228,-71.228
2018-2020,2020,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,AC,AC,False,,,False,,-46.303,-10.847
2018-2020,2020,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-20.735,4.398
2018-2020,2020,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-23.763,2.994
2018-2020,2020,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-68.378,55.251
2018-2020,2020,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-48.057,24.311
