Curso,Campus,Turno,modalidade_normalizada
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,AC
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R2_PPI
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Matemática (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,CN
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD
