Curso,Campus,Turno,modalidade_normalizada
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,AC
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,CN
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_PPIQ
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,AC
Física (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI
Japonês (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Engenharias (FGA),Gama,Diurno,EP_R2_NPPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,CN
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Ciências Naturais (Licenciatura),Planaltina,Noturno,EP_R2_PPI
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Artes Cênicas (Licenciatura),Darcy Ribeiro,Noturno,AC
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,AC
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,EP_R1_PPI
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,AC
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,AC
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Museologia (Bacharelado),Darcy Ribeiro,Diurno,CN
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,CN
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,CN
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ_PCD
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Música (Bacharelado),Darcy Ribeiro,Diurno,AC
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,AC
Física (Bacharelado),Darcy Ribeiro,Diurno,AC
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,CN
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,CN
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Física (Bacharelado),Darcy Ribeiro,Diurno,CN
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,CN
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_PPI
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Letras – Tradução – Francês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Física (Licenciatura),Darcy Ribeiro,Noturno,CN
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,CN
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
História (Licenciatura),Darcy Ribeiro,Noturno,AC
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_PPI
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,AC
Computação (Licenciatura),Darcy Ribeiro,Noturno,CN
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,AC
Matemática (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,AC
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Engenharias (FGA),Gama,Diurno,EP_R2_NPPIQ_PCD
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Gestão Ambiental (Bacharelado),Planaltina,Noturno,EP_R2_PPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,CN
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,CN
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,CN
Matemática (Licenciatura),Darcy Ribeiro,Noturno,AC
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,CN
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R2_PPI
Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,AC
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,CN
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,CN
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,AC
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R1_PPI
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,AC
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,CN
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,CN
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,CN
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ_PCD
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,CN
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,CN
Museologia (Bacharelado),Darcy Ribeiro,Diurno,AC
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,AC
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Engenharias (FGA),Gama,Diurno,EP_R2_PPI
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,CN
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
