Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Computação (Licenciatura),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,74.156,2.6917714285714296,True
Estatística (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,86.548,2.5890857142857095,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,31.948000000000008,1.9725428571428554,True
Física (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,63.344,1.9078513513513493,True
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-2.4200000000000017,1.6347837837837815,True
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,AC,5,2018-2020,2023-2025,14.073999999999998,1.475635135135131,True
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,43.004000000000005,1.4735714285714268,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,24.648,1.1318857142857146,True
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,94.317,0.9287428571428522,True
Enfermagem (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,18.845000000000002,0.9220857142857126,True
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,AC,5,2018-2020,2023-2025,-2.655000000000001,0.8462567567567499,True
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,12.21799999999999,0.781500000000002,True
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,16.456000000000003,0.47882857142856516,True
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,17.475,0.36587837837837633,True
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,21.440000000000005,0.32419999999999805,True
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-3.932000000000002,0.19341891891891308,True
Ciências Naturais (Licenciatura),Planaltina,Diurno,AC,5,2018-2020,2023-2025,0.19299999999999784,0.1489054054054032,True
Física (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-47.738,-0.057054054054059535,True
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,25.558999999999997,-0.1837428571428588,True
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-5.68,-0.19105405405405734,True
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,4.640000000000001,-0.2692857142857147,True
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-11.565000000000005,-0.27381081081081027,True
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-24.016999999999996,-0.32318918918918654,True
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,53.574,-0.6637714285714312,True
Medicina (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,1.88900000000001,-0.7483648648648499,True
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,53.869,-0.7908000000000014,True
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-5.5219999999999985,-0.8675270270270287,True
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,14.088000000000001,-1.0079714285714356,True
Japonês (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-22.707000000000008,-1.2169054054054114,True
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,7.653999999999996,-1.2947999999999988,True
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,AC,4,2019-2021,2023-2025,0.8239999999999981,-1.605828571428577,True
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,9.148000000000003,-1.911891891891895,True
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-18.462000000000003,-2.143527027027025,True
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-19.627000000000002,-2.2155810810810794,True
Matemática (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-7.159999999999997,-2.455391891891895,True
Museologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-15.445,-2.499743243243247,True
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-27.593000000000004,-3.252310810810818,True
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-5.016999999999996,-4.016743243243246,True
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-10.22099999999999,-5.997459459459457,True
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-25.254999999999995,-6.136513513513519,True
Química (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-38.138,-6.387756756756757,True
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,-2.635000000000005,-7.047228571428571,True
História (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-29.03900000000001,-7.494243243243246,True
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,4,2018-2020,2023-2025,-31.448,-7.551714285714283,True
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-38.01200000000001,-9.410459459459464,True
