subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,EP_R2_NPPI,-20.37,18.629
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,CN,9.788,35.977
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,AC,-36.584,45.635
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Licenciatura),Noturno,EP_R2_NPPI,-22.521,-22.521
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,CN,13.105,18.914
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Produção (Bacharelado),Noturno,AC,-45.285,97.751
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,EP_R1_PPI,-25.052,-25.052
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,EP_R1_NPPI,-22.536,-22.536
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,EP_R2_PPI,-94.317,2.411
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,EP_R2_NPPI,-84.571,3.39
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,CN,-14.695,27.052
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Educação Física (Bacharelado),Diurno,AC,-33.049,44.232
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,EP_R1_PPI,5.858,5.858
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,EP_R1_NPPI,-10.46,-10.46
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,EP_R2_PPI,-27.977,1.668
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,EP_R2_NPPI,-68.924,39.037
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,CN,66.75,101.479
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Civil (Bacharelado),Diurno,AC,-10.667,147.15
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,EP_R1_PPI,-62.725,10.242
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,EP_R2_PPI,-25.08,33.134
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,EP_R2_NPPI,-45.468,145.719
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,CN,-12.144,-12.144
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Elétrica (Bacharelado),Diurno,AC,-54.46,165.36
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,-44.527,18.536
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPI,-74.003,-50.838
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R2_PPI,-33.644,16.99
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R2_NPPI,23.187,39.321
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,46.911,54.412
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,65.986,111.643
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_NPPI,-65.025,5.459
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R2_PPI,-17.044,-17.044
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R2_NPPI,-25.804,12.181
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,-66.223,-53.075
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,-31.822,62.419
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,EP_R1_PPI,-29.883,-29.883
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,EP_R2_PPI,-50.627,3.941
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,EP_R2_NPPI,-66.201,-66.201
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,CN,-6.137,-4.801
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Redes de Comunicação (Bacharelado),Diurno,AC,-31.904,55.127
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,EP_R1_PPI,28.975,94.939
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,EP_R1_PPI_PCD,-40.024,-40.024
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,EP_R1_NPPI,93.731,117.434
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,EP_R2_PPI,101.453,124.97
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,EP_R2_NPPI,137.999,190.592
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,CN,157.264,157.983
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,AC,164.861,190.742
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,EP_R2_NPPI,-28.409,-28.409
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,AC,-96.644,38.599
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,EP_R2_PPI,30.256,30.256
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,EP_R2_NPPI,-23.583,22.033
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,CN,6.547,6.547
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química (Bacharelado),Diurno,AC,-58.334,47.376
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R1_PPI,-39.486,-31.425
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,-16.876,-16.876
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,-71.639,18.495
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,-29.217,73.365
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,CN,-46.766,-21.415
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,AC,-25.6,59.203
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Licenciatura),Noturno,EP_R2_NPPI,-3.889,18.043
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Licenciatura),Noturno,AC,-54.535,1.714
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,-20.959,-20.877
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,-20.18,-20.18
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,CN,-84.371,-84.371
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,AC,-55.891,5.252
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R1_PPI,6.406,6.406
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,-17.712,25.713
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,-63.889,-9.992
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,14.039,21.415
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,CN,-52.719,-40.613
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,AC,-10.253,20.671
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução Espanhol (Bacharelado),Noturno,EP_R1_PPI,-45.083,-45.083
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução Espanhol (Bacharelado),Noturno,EP_R2_PPI,-26.219,-26.219
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução Espanhol (Bacharelado),Noturno,EP_R2_NPPI,-49.61,-49.61
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução Espanhol (Bacharelado),Noturno,AC,-37.809,-20.326
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,EP_R1_PPI,-37.722,54.405
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,EP_R1_NPPI,-32.767,-32.767
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,EP_R2_PPI,-46.573,42.867
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,EP_R2_NPPI,19.302,65.536
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,CN,-19.965,1.525
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecatrônica – Controle e Automação (Bacharelado),Diurno,AC,-40.37,134.759
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,EP_R1_PPI,-45.399,-22.287
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,EP_R1_NPPI,-9.001,-8.705
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,EP_R2_PPI,-5.212,13.931
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,EP_R2_NPPI,7.89,26.716
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,CN,14.706,26.97
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,AC,81.255,115.406
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,EP_R1_PPI,-81.497,2.447
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,EP_R1_NPPI,-78.056,3.175
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,EP_R2_PPI,-81.223,-8.872
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,EP_R2_NPPI,-76.273,-1.675
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,CN,-89.114,7.463
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Diurno,AC,-65.666,20.859
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Noturno,EP_R1_NPPI,-55.369,-30.436
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Noturno,EP_R2_PPI,-87.878,-15.856
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Noturno,EP_R2_NPPI,-62.118,-25.054
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Noturno,CN,-24.934,-16.109
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Pedagogia (Licenciatura),Noturno,AC,-98.292,-22.179
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Física,Noturno,AC,-14.535,38.883
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,"Teoria, Crítica e História da Arte (Bacharelado)",Noturno,EP_R1_PPI,3.161,3.161
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,"Teoria, Crítica e História da Arte (Bacharelado)",Noturno,AC,-74.639,-74.639
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,EP_R1_PPI,-72.218,20.162
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,EP_R2_PPI,-42.766,-42.766
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,CN,-27.121,8.294
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Florestal (Bacharelado),Diurno,AC,-65.083,17.752
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,EP_R1_PPI,-25.958,38.511
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,EP_R1_NPPI,-0.561,39.193
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,EP_R2_PPI,7.086,84.313
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,EP_R2_NPPI,59.772,78.747
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,CN,41.936,77.339
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,AC,80.474,117.229
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,EP_R1_PPI,-1.016,32.712
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,EP_R1_NPPI,-96.948,-96.948
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,EP_R2_PPI,-54.452,-2.143
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,EP_R2_NPPI,-42.476,6.428
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,CN,-78.171,-78.171
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/ Licenciatura),Diurno,AC,-74.606,79.364
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,EP_R1_PPI,-42.429,-6.123
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,EP_R1_NPPI,-58.578,-3.085
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,EP_R2_PPI,-40.62,42.573
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,EP_R2_NPPI,5.725,31.993
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,CN,-8.39,-0.152
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,AC,47.639,102.589
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,EP_R1_PPI,-79.622,13.422
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,EP_R1_NPPI,-58.842,12.31
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,EP_R2_PPI,-62.078,-12.864
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,EP_R2_NPPI,-34.495,6.009
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,CN,-2.423,22.985
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),Diurno,AC,-73.444,63.097
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,EP_R1_PPI,-31.962,3.364
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,EP_R1_NPPI,-19.708,37.407
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,EP_R2_PPI,-48.677,23.009
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,EP_R2_NPPI,-31.155,71.256
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,CN,52.181,54.601
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,AC,39.606,170.983
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,EP_R1_PPI,5.759,24.413
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,-8.107,18.517
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,-17.943,11.17
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,6.108,45.889
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,CN,25.571,48.115
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,AC,4.468,99.466
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Noturno,EP_R1_PPI,-34.792,-34.792
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Noturno,EP_R2_PPI,-54.902,-23.751
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Noturno,EP_R2_NPPI,-33.578,-7.92
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Noturno,CN,-40.425,-31.165
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Noturno,AC,-55.437,9.712
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,EP_R1_PPI,-37.873,-35.003
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,EP_R1_NPPI,-9.56,59.411
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,EP_R2_PPI,-23.088,43.825
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,EP_R2_NPPI,35.713,88.167
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,CN,39.989,43.033
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Relações Internacionais (Bacharelado),Diurno,AC,73.157,133.87
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado) *,Diurno,EP_R1_PPI,-5.726,-5.726
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado) *,Diurno,EP_R2_NPPI,19.746,19.746
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado) *,Diurno,AC,-35.963,47.134
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,EP_R1_PPI,-36.333,-11.018
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,EP_R1_NPPI,-13.605,-0.286
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,EP_R2_PPI,-22.489,9.31
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,CN,6.632,32.212
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,AC,79.753,125.943
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Turismo (Bacharelado),Diurno,EP_R1_NPPI,-35.506,-35.506
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Turismo (Bacharelado),Diurno,EP_R2_PPI,-68.241,-14.636
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Turismo (Bacharelado),Diurno,EP_R2_NPPI,-64.299,-37.943
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Turismo (Bacharelado),Diurno,AC,-101.482,-8.137
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_PPI,-32.289,-1.11
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_NPPI,-90.624,-3.524
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_PPI,-66.919,-1.149
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_NPPI,-80.471,-26.835
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,CN,-40.808,3.022
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,AC,-5.813,69.035
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_PPI,2.342,2.342
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_NPPI,-64.264,-17.504
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_PPI,-74.731,-4.551
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_NPPI,-30.302,31.847
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,CN,-3.806,1.212
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,AC,-98.9,38.986
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_PPI,-43.64,29.027
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_NPPI,-49.871,2.367
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_PPI,-26.233,8.751
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_NPPI,-27.135,-14.554
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,CN,39.163,52.808
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,AC,42.875,95.093
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,EP_R1_PPI,-16.819,65.641
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,EP_R1_PPI_PCD,-15.077,-15.077
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,EP_R1_NPPI,35.037,69.129
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,EP_R2_PPI,16.331,49.195
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,EP_R2_NPPI,26.201,124.283
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,CN,67.814,109.896
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,AC,101.827,146.068
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,EP_R1_NPPI,-33.95,-9.24
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,EP_R2_PPI,-43.271,60.116
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,EP_R2_NPPI,-26.025,9.416
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,CN,5.872,5.872
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,AC,-77.991,70.338
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,EP_R1_NPPI,-54.029,-54.029
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,EP_R2_PPI,-37.932,-13.347
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,AC,-71.302,44.077
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,EP_R1_PPI,-26.837,12.579
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,EP_R1_NPPI,-30.887,1.416
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,EP_R2_PPI,-10.395,45.688
