subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,CN,-71.228,-71.228
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,AC,-46.303,-10.847
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,EP_R1_PPI,-20.735,4.398
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,EP_R1_NPPI,-23.763,2.994
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,EP_R2_PPI,-68.378,55.251
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,EP_R2_NPPI,-48.057,24.311
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,CN,-6.36,63.804
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,AC,-16.226,118.576
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,EP_R1_PPI,-56.987,-0.878
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,EP_R1_NPPI,-46.52,4.292
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,EP_R2_PPI,-80.254,1.161
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,EP_R2_NPPI,-100.534,41.234
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,CN,-57.125,76.031
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,Diurno,AC,-101.981,133.817
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Artes Cênicas*,Noturno,EP_R2_NPPI,-68.553,-68.553
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,EP_R2_PPI,-20.904,-20.904
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,AC,-82.398,-2.424
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,EP_R1_PPI,-44.598,18.4
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,EP_R2_PPI,-31.837,53.774
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,EP_R2_NPPI,-63.631,29.797
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,CN,21.015,92.852
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,AC,76.169,143.359
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,EP_R1_PPI,-48.659,-25.066
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,EP_R1_NPPI,-66.834,-66.834
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,EP_R2_PPI,-61.065,15.096
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,EP_R2_NPPI,-68.468,42.212
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,CN,-59.895,-59.895
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,AC,-56.349,60.754
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,EP_R2_PPI,-45.547,-45.547
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,EP_R2_NPPI,26.655,26.655
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,CN,-32.241,-32.241
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,AC,-47.561,-17.112
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,EP_R1_PPI,-25.614,-25.614
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,EP_R1_NPPI,-2.767,-2.767
