Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,0 salário mínimo								Renda > 1,0 salário mínino											
		PPIQ		PCD e PPIQ		Não PPIQ		PCD e Não PPIQ		PPIQ		PCD e PPIQ		Não PPIQ		PCD e Não PPIQ		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Enfermagem (Bacharelado)	Diurno	-	-	-	-	-46,839	3,143	-	-	-46,024	-16,220	-	-	8,744	18,405	-43,640	-43,640	22,701	22,701	28,045	92,811
Farmácia (Bacharelado)	Diurno	-	-	-	-	-33,173	14,394	-	-	-83,680	-4,707	-	-	14,796	18,796	-	-	15,618	15,618	31,936	92,243
Fisioterapia (Bacharelado)	Diurno	-59,032	-59,032	-	-	-35,235	-33,078	-	-	-59,558	8,862	-	-	12,991	24,746	-	-	13,637	13,637	30,230	81,869
Fonoaudiologia (Bacharelado)	Diurno	-	-	-	-	-60,121	-60,121	-	-	-48,358	-48,358	-	-	-20,384	5,716	-43,816	-43,816	5,402	5,402	16,721	40,508
Saúde Coletiva (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-73,062	-3,918
Terapia Ocupacional (Bacharelado)	Diurno	-	-	-	-	-82,855	-36,853	-	-	-72,221	-22,382	-	-	-14,671	-6,035	-	-	-18,436	-18,436	2,706	46,760
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF																					
Administração (Bacharelado)	Diurno	-	-	-	-	-67,831	-19,227	-	-	-25,422	-3,245	-	-	-17,433	18,394	-	-	-12,580	6,842	38,131	99,156
Administração (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-55,503	-4,817	-	-	-54,846	-53,830	-7,050	44,901
Agronomia (Bacharelado)	Diurno	-	-	-	-	-56,390	-56,390	-	-	-62,778	-36,200	-	-	-58,036	-13,042	-	-	-22,112	-14,127	-5,377	112,172
Arquitetura e Urbanismo (Bacharelado)	Diurno	-	-	-	-	-32,379	4,506	-	-	12,661	61,488	-	-	65,505	97,824	-	-	65,150	65,150	98,047	146,303
Arquitetura e Urbanismo (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-57,497	11,923	-	-	23,271	23,271	48,138	74,131
Arquivologia (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-70,619	-31,332	-	-	-	-	-57,868	41,329
Artes Cênicas (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-30,791	18,165	-33,372	-33,372	-	-	23,679	42,350
Artes Cênicas (Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-62,337	-53,522	-	-	-49,808	-49,808	-	-	-	-	-12,384	29,579
Artes Cênicas (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-53,375	16,725
Artes Visuais (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-64,314	-16,574	-	-	-21,925	-21,925	13,225	75,062
Biblioteconomia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-54,547	-52,729	-	-	-46,402	-46,402	-57,490	36,282
Biotecnologia (Bacharelado)	Diurno	-	-	-	-	22,903	22,903	-	-	-47,168	-47,168	-	-	-36,957	43,540	-	-	64,205	64,205	67,536	157,410
Ciência da Computação (Bacharelado)	Diurno	0,178	0,178	-	-	-38,263	32,989	-	-	48,884	74,724	-	-	118,288	118,288	42,861	42,861	117,648	117,648	135,827	166,528
Ciência Política (Bacharelado)	Diurno	-	-	-	-	-33,164	-3,300	-	-	-37,151	-5,970	-	-	13,769	47,698	-31,841	-24,216	48,441	48,441	55,467	112,083
Ciências Ambientais (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-60,711	-15,392
Ciências Biológicas (Bacharelado)	Diurno	-	-	-	-	-78,848	-26,937	-	-	-67,982	8,016	-	-	29,597	56,051	-	-	29,652	29,652	78,793	119,236
Ciências Biológicas (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-40,608	7,610	-	-	-17,183	-17,183	-14,729	54,739
Ciências Contábeis (Bacharelado)	Diurno	-	-	-	-	-24,064	-24,064	-	-	-81,153	-5,417	-	-	-50,333	11,211	-	-	-0,627	14,496	17,850	82,737
Ciências Contábeis (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-72,809	-37,134	-	-	-36,706	-21,206	-	-	-40,834	-24,325	-27,789	31,880
Ciências Econômicas (Bacharelado)	Diurno	-	-	-	-	-30,927	-30,927	-	-	-17,699	30,922	-	-	18,823	94,124	-	-	83,431	83,431	98,037	136,512
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-30,926	-30,926	-	-	-70,919	-49,487	-	-	-91,423	-6,300	-32,205	-32,205	-34,923	-32,091	-15,532	69,840
Computação (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-44,036	-4,601	-	-	-23,781	-23,781	-22,177	45,581
Comunicação Organizacional (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-49,545	-18,438	-	-	-83,245	15,877	-	-	-4,348	-4,348	8,450	66,357
Comunicação Social – Audiovisual (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-32,295	26,778	-	-	41,977	41,977	-	-	-55,674	-55,674	69,433	134,182
Comunicação Social – Publicidade e Propaganda (Bacharelado)	Diurno	-	-	-	-	-29,329	-29,329	-	-	-41,458	-16,426	-	-	50,590	50,590	-	-	44,425	44,425	56,963	86,414
Design (Bacharelado)	Diurno	-	-	-	-	-55,242	-7,149	-	-	-44,318	-44,259	-	-	-	-	-	-	3,136	3,136	87,407	110,730
Direito (Bacharelado)	Diurno	-87,773	5,701	-	-	14,584	66,246	-	-	61,180	81,560	-	-	123,845	123,845	27,527	27,527	85,357	112,750	137,491	172,039
Direito (Bacharelado)	Noturno	-40,663	-26,586	-	-	-26,945	36,277	-	-	31,885	58,328	-	-	92,181	92,842	-	-	80,945	89,340	104,746	126,174
Educação Física Ciclo Básico (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-69,589	-46,355	-	-	-86,267	-8,852	-	-	-16,974	0,769	-	-	-19,322	0,653	1,609	38,076
Enfermagem (Bacharelado)	Diurno	-	-	-	-	-31,522	17,682	-	-	-32,977	21,488	-	-	28,885	42,362	-	-	39,990	39,990	53,833	90,752
Engenharia Ambiental (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-44,993	-34,671	-	-	-51,192	-51,192	-53,928	39,353
Engenharia Civil (Bacharelado)	Diurno	-	-	-	-	-46,606	-6,776	-	-	-20,258	41,376	-	-	19,123	44,103	-	-	26,849	26,849	71,072	110,000
Engenharia de Computação (Bacharelado)	Diurno	-	-	-	-	-33,752	-33,752	-	-	-67,012	55,801	-	-	82,189	83,309	25,163	25,163	70,718	70,718	120,918	167,223
Engenharia de Produção (Bacharelado)	Noturno	-	-	-	-	-20,589	-16,273	-	-	-5,763	-5,763	-	-	-30,464	60,182	-	-	-31,733	-31,733	49,032	130,073
Engenharia de Redes de Comunicação (Bacharelado)	Diurno	-	-	-	-	-55,125	-55,125	-	-	-54,018	-24,926	-	-	-73,187	2,297	-	-	-20,380	-20,380	34,703	63,406
Engenharia Elétrica (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-23,359	-23,359	-	-	-6,585	58,012	-	-	19,288	19,288	97,075	144,380
Engenharia Florestal (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-27,754	-27,754	-	-	-59,510	-59,510	-69,015	65,667
Engenharia Mecânica (Bacharelado)	Diurno	-	-	-	-	-69,376	-69,376	-	-	5,003	17,361	-	-	-1,775	66,886	-	-	68,151	68,151	83,117	151,180
Engenharia Mecatrônica (Bacharelado)	Diurno	-	-	-	-	-4,756	8,105	-	-	-53,086	-27,897	-	-	-19,193	79,642	-	-	25,527	25,527	84,017	170,136
Engenharia Química (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-17,786	2,511	-	-	-59,302	49,093	-	-	5,744	5,744	51,716	135,786
Estatística (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-34,447	-34,447	-	-	-27,068	22,541	-	-	8,239	8,239	14,483	111,408
Farmácia (Bacharelado)	Diurno	-	-	-	-	-45,410	3,367	-	-	-19,971	38,952	-	-	50,704	50,704	0,119	0,119	15,902	15,902	51,180	93,959
Farmácia (Bacharelado)	Noturno	-	-	-	-	-32,371	-7,880	-	-	-46,669	-21,564	-	-	-10,117	7,338	-	-	-	-	18,047	45,641
Filosofia (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-100,426	-3,548
Filosofia (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-52,159	5,216
Física (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-15,865	-15,865	-	-	-29,298	5,538	-	-	-	-	14,167	97,592
Física (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-62,273	125,678
Geofísica (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-47,993	45,309
Geografia (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-66,839	-44,521	-	-	-	-	-90,016	129,343
Geologia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-63,489	80,103
Gestão de Agronegócio (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-46,176	16,690
Gestão de Políticas Públicas (Bacharelado)	Noturno	-	-	-	-	-34,132	-29,670	-	-	-50,028	-41,002	-	-	-39,713	-11,757	-	-	-10,584	-10,584	-2,832	64,854
História (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-17,032	14,503	-	-	-31,060	16,426	-30,955	-30,955	21,418	21,418	-4,958	-4,958	-27,232	-27,232	47,472	96,499
História (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-61,207	-26,631	-	-	-27,164	-27,164	-85,388	45,426
Jornalismo (Bacharelado)	Diurno	-	-	-	-	-37,174	-31,769	-	-	-49,264	20,148	-	-	41,607	41,607	-	-	52,710	52,710	85,895	103,700
Letras Português do Brasil como Seg. Língua (Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-75,904	-4,147
Letras Tradução Espanhol (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-56,271	-56,271
Letras Tradução Francês (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-18,595	-18,595
Letras Tradução Inglês (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-59,741	-59,741	-20,506	-20,506	-	-	-75,983	32,724
Língua e Literatura Japonesa (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-83,555	-45,663
Língua Espanhola e Literatura Espanhola e Hispano - Americana (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-79,029	-60,693
Língua Francesa (Bacharelado/ Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-87,339	-26,043
Língua Inglesa (Bacharelado/ Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-34,486	-34,486	-	-	-14,226	12,035	-	-	-	-	15,306	83,036
Língua Portuguesa (Bacharelado/ Licenciatura)	Diurno	-	-	-	-	-21,143	-21,143	-	-	-30,580	-30,580	-	-	-39,521	-1,814	-	-	30,129	30,129	46,683	88,696
Língua Portuguesa (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-56,955	23,041
Línguas Estrangeiras Aplicadas (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-67,757	-67,757	-	-	-	-	-60,260	-0,938
