Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
Matemática (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-29,962	-29,962	-	-	-20,656	-20,656	-	-	-31,236	-31,236	-20,737	105,880
Matemática (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-64,383	-64,383	-51,641	31,378
Medicina (Bacharelado)	Diurno	81,446	96,795	-	-	98,649	98,649	46,775	46,775	115,802	119,954	-27,585	-2,377	162,281	162,281	103,215	103,215	120,046	120,046	166,750	190,334
Medicina Veterinária (Bacharelado)	Diurno	-40,556	10,004	-	-	-18,653	20,350	-	-	11,522	23,973	-	-	53,433	53,433	-34,547	-34,547	55,857	55,857	66,643	99,685
Museologia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-79,405	19,145
Música (Bacharelado)*	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-2,409	65,653
Música (Licenciatura)*	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-15,971	132,273
Nutrição (Bacharelado)	Diurno	-31,894	-31,894	-	-	-26,223	13,911	-	-	-7,668	10,936	-	-	31,534	31,534	-	-	50,784	50,784	70,097	99,320
Odontologia (Bacharelado)	Diurno	-62,296	-47,773	-	-	-36,853	-34,533	-	-	-28,308	0,733	-	-	84,068	84,068	-	-	55,210	55,210	91,436	127,254
Pedagogia (Licenciatura)	Diurno	-	-	-	-	-58,937	-19,995	-	-	-62,243	-20,304	-	-	-39,068	-5,105	-	-	-26,747	-22,220	-4,674	65,014
Pedagogia (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-73,336	-46,101	-	-	-25,370	-25,370	-24,607	-8,018
Psicologia (Bacharelado/Licenciatura/ Psicólogo)	Diurno	-37,309	2,578	-	-	0,742	19,870	-	-	29,315	44,612	-	-	75,146	75,146	-2,927	-2,927	83,135	83,135	92,692	149,897
Química (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-12,868	-12,868	-	-	-54,782	11,654	-	-	-10,181	-10,181	5,562	107,231
Química (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-54,702	44,043
Química Tecnológica (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-30,086	126,278
Relações Internacionais (Bacharelado)	Diurno	-	-	-	-	-59,284	22,165	-	-	1,225	60,338	-	-	72,126	90,752	-	-	100,775	100,775	105,105	162,477
Saúde Coletiva (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-72,556	9,485
Serviço Social (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-37,837	-37,837	-	-	-49,665	-35,419	-	-	-34,475	-34,475	-49,336	58,364
Serviço Social (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-61,117	-3,129
Teoria Crítica e História da Arte (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-22,040	8,621
Turismo (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-53,591	-53,591	-62,252	51,489
Campus UnB — Planaltina / DF																					
Ciências Naturais (Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-78,391	13,110
Gestão do Agronegócio (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-82,791	-28,816
Campus UnB — Gama / DF																					
Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**	Diurno	-	-	-	-	-52,564	-11,450	-	-	-63,197	17,991	-	-	-8,202	60,620	-2,520	19,278	17,209	55,531	61,705	145,390
