Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Terapia Ocupacional (Bacharelado)	Diurno	-	-	-	-	-92,652	-4,201	-	-	-45,148	-25,927	-	-	-74,630	27,307	-	-	5,337	6,491	-73,944	20,377
Fonoaudiologia (Bacharelado)	Diurno	-5,802	-5,802	-	-	-33,514	0,916	-	-	-40,393	-16,378	-	-	-75,822	6,478	-	-	-28,930	45,132	-40,855	57,282
Fisioterapia (Bacharelado)	Diurno	-16,495	13,421	-	-	-31,032	13,229	-	-	-26,611	40,374	-	-	-1,995	27,517	-	-	10,489	34,882	5,582	54,666
Farmácia (Bacharelado)	Diurno	-39,519	-39,519	-	-	-60,347	21,528	-	-	-83,874	19,707	-	-	-76,441	-2,832	-	-	-26,270	-25,843	-85,275	81,955
Enfermagem (Bacharelado)	Diurno	-50,128	18,233	-	-	-16,360	12,216	-	-	-20,508	11,174	-	-	12,110	43,716	-	-	6,016	17,233	9,200	70,871
Saúde Coletiva (Bacharelado)	Diurno	-82,285	-1,885	-	-	-71,408	-43,768	-	-	-63,379	-4,543	-	-	-62,249	-43,547	-	-	-	-	-87,136	-3,078
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF																					
Artes Visuais (Licenciatura)*	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-13,502	-13,502
Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)	Noturno	-44,303	-44,303	-	-	-	-	-	-	-	-	-	-	-41,243	-37,835	-	-	-	-	-55,012	-5,413
Museologia (Bacharelado)	Diurno	-	-	-	-	-54,777	-54,777	-	-	-	-	-	-	-86,040	-63,772	-	-	-68,311	-68,311	-63,960	42,048
Letras – Tradução – Inglês (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-66,721	14,502	-	-	-50,511	-13,166	-73,348	38,784
Letras – Tradução – Francês (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-28,725	-28,725	-	-	-	-	-	-	-	-	-67,216	-67,216
Língua e Literatura Japonesa (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-70,486	-70,486	-60,848	-60,848
Engenharia Mecânica (Bacharelado)	Diurno	-33,726	5,966	-	-	-	-	-	-	-5,156	32,830	-	-	-8,237	129,024	-	-	27,299	30,337	-102,234	142,555
