Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Enfermagem (Bacharelado)	Diurno	-35,670	-13,949	-	-	4,774	52,752	-	-	-66,432	-42,493	-	-	19,111	35,365	-	-	2,879	2,879	40,205	65,958
Farmácia (Bacharelado)	Diurno	-42,825	-3,477	-	-	-55,330	-35,599	-	-	-59,032	1,504	-	-	-1,811	86,786	-	-	11,437	11,437	11,818	63,743
Fisioterapia (Bacharelado)	Diurno	-29,528	-6,075	-	-	16,592	40,502	-	-	-56,521	-28,036	-	-	11,653	27,267	-	-	-9,095	-9,095	31,089	79,217
Fonoaudiologia (Bacharelado)	Diurno	-68,611	20,447	-	-	-27,261	-17,719	-	-	-49,838	-49,838	-	-	-38,678	34,443	-	-	-21,229	-21,229	19,105	64,645
Saúde Coletiva (Bacharelado)	Diurno	-	-	-	-	-92,731	-92,731	-	-	-	-	-	-	-42,438	-23,874	-	-	-39,762	-28,877	-79,717	25,273
Terapia Ocupacional (Bacharelado)	Diurno	-16,701	-16,701	-	-	-88,602	-3,990	-	-	-37,682	-4,110	-	-	-46,005	1,824	-	-	8,543	8,543	-9,621	42,752
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF																					
Administração (Bacharelado)	Diurno	-53,789	-9,772	-	-	-59,221	-21,197	-	-	-51,290	2,093	-	-	13,596	33,653	-	-	-4,981	44,699	46,485	94,873
Administração (Bacharelado)	Noturno	-	-	-	-	-45,664	6,082	-	-	-	-	-	-	-63,326	12,204	-	-	-6,548	-2,003	-17,276	52,003
Agronomia (Bacharelado)	Diurno	-64,647	-16,992	-	-	-28,599	19,269	-	-	-61,917	-4,933	-	-	-35,875	1,054	-	-	-86,604	32,518	-7,422	85,304
Arquitetura e Urbanismo (Bacharelado)	Diurno	-23,280	23,159	-	-	-14,415	58,507	-	-	-10,139	15,247	-	h	59,408	79,914	-	-	53,175	53,175	89,757	125,136
Arquitetura e Urbanismo (Bacharelado)	Noturno	-20,256	-20,256	-	-	-	-	-	-	-39,050	-39,050	-	-	-44,019	37,832	-	-	-49,856	-49,856	61,623	87,641
Arquivologia (Bacharelado)	Noturno	-	-	-	-	-30,721	-19,200	-	-	-	-	-	-	-34,645	-30,382	-	-	-	-	-55,630	-13,001
Artes Cênicas - Interpretação Teatral (Bacharelado)	Diurno	-42,490	-42,490	-	-	-64,508	-64,508	-	-	-58,968	-58,968	-	-	-6,534	-6,534	-	-	-	-	9,492	24,387
