Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Educação Física (Bacharelado)	Diurno	-54,130	-26,608	-	-	-28,061	11,714	-	-	-40,481	-3,232	-	-	-29,762	44,154	-	-	16,093	16,093	11,455	53,752
Educação Física (Licenciatura)	Diurno	-55,945	-28,090	-	-	-92,355	-73,207	-	-	-70,465	-42,643	-	-	-14,459	13,100	-	-	-2,820	-2,820	-10,111	20,985
Enfermagem (Bacharelado)	Diurno	17,032	48,519	-	-	9,678	12,691	-	-	9,318	19,495	-	-	61,872	75,478	-	-	49,514	49,514	48,594	73,121
Engenharia Ambiental (Bacharelado)	Diurno	-	-	-	-	65,209	65,209	-	-	-56,495	68,610	-	-	-	-	-	-	7,046	7,046	-7,834	139,431
Engenharia Civil (Bacharelado)	Diurno	-39,011	-21,766	-	-	-	-	-	-	-43,065	-7,167	-	-	-16,627	82,763	-	-	-48,610	-48,610	-14,958	126,978
Engenharia de Computação (Bacharelado)	Diurno	-0,447	35,476	-	-	-52,218	-10,159	-	-	12,403	47,079	-	-	132,082	142,531	-	-	44,324	44,324	120,321	160,318
Engenharia de Produção (Bacharelado)	Noturno	11,401	11,401	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27,336	27,336	38,913	159,558
Engenharia de Redes de Comunicação (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-49,000	-49,000	-	-	67,472	67,472	-37,069	84,551
Engenharia Elétrica (Bacharelado)	Diurno	0,067	0,067	-	-	-	-	-	-	-9,239	33,900	-	-	-20,364	135,211	-	-	77,957	77,957	41,135	163,248
Engenharia Florestal (Bacharelado)	Diurno	-	-	-	-	-15,457	9,613	-	-	-50,840	-13,077	-	-	-52,846	-50,215	-	-	-21,139	-21,139	-50,298	54,606
Engenharia Mecânica (Bacharelado)	Diurno	-34,593	-30,996	-	-	-	-	-	-	-84,626	-77,546	-	-	-12,021	70,474	-	-	12,814	12,814	58,439	154,863
Engenharia Mecatrônica – Controle e Automação (Bacharelado)	Diurno	-24,504	59,809	-	-	-42,409	-41,277	-	-	1,944	1,944	-	-	-41,875	43,548	-	-	53,035	53,035	116,231	162,860
Engenharia Química (Bacharelado)	Diurno	5,172	46,146	-	-	-43,682	-43,682	-	-	30,811	59,008	-	-	51,700	79,292	-	-	-	-	59,512	108,454
Estatística (Bacharelado)	Diurno	-	-	-	-	-32,737	-32,737	-	-	-	-	-	-	-49,618	5,697	-	-	-	-	10,445	122,669
Farmácia (Bacharelado)	Diurno	-4,013	-0,120	-	-	-14,318	-8,040	-	-	-18,290	26,718	-	-	72,441	79,533	-	-	-29,349	-29,349	57,242	101,253
Farmácia (Bacharelado)	Noturno	-12,460	40,572	-	-	-23,033	12,840	-	-	-48,920	-1,440	-	-	13,926	13,926	-	-	27,978	27,978	1,833	15,434
Filosofia (Bacharelado/Licenciatura)	Diurno	-55,356	-55,356	-	-	-	-	-	-	-24,861	-18,079	-	-	-36,860	29,673	-	-	-	-	-65,778	92,933
Filosofia (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-20,759	-20,759	-	-	-	-	-	-	-	-	-30,212	2,725
Física (Bacharelado)	Diurno	72,767	72,767	-	-	-20,071	43,762	-	-	-19,355	-19,355	-	-	-72,920	99,501	-	-	60,143	60,143	18,948	130,469
